sloka	pada	english	verb_part
5.48.12	अक्षतम्	without being destroyed in the middle	[('being', 'VBG'), ('destroyed', 'VBN')]
5.55.34	अक्षताम्	not hurt	[('hurt', 'VB')]
5.65.4	अक्षताम्	not harmed	[('harmed', 'VBN')]
2.20.46	अक्षयम्	unending	[('unending', 'VBG')]
4.40.25	अक्षयाः	who cannot be destroyed	[('cannot', 'VBP'), ('be', 'VB'), ('destroyed', 'VBN')]
2.14.7	अक्षयाः	is imperishable	[('is', 'VBZ')]
1.32.17	अक्षय्यम्	permanent (not liable to deterioration)	[('deterioration)', 'VB')]
2.7.20	अक्षय्यम्	unending	[('unending', 'VBG')]
2.64.40	अक्षय्याम्	unfailing	[('unfailing', 'VBG')]
2.38.15	अक्षुद्रशीला च	does not possess meanness of character	[('does', 'VBZ'), ('possess', 'VB')]
2.75.41	अक्षेषु च	in dice for gambling	[('gambling', 'VBG')]
5.38.41	अक्षोभ्यम्	never to be stirred	[('be', 'VB'), ('stirred', 'VBN')]
4.42.8	अक्षोभ्यम्	which cannot be agitated	[('be', 'VB'), ('agitated', 'VBN')]
1.51.21	अक्षौहीणीपरिवृतः	surrounded by army of the magnitude of Akshauhini	[('surrounded', 'VBN')]
5.65.20	अखिलेन	should tell	[('tell', 'VB')]
3.17.13	अख्यातुम्	to tell	[('tell', 'VB')]
3.11.10	अख्यातुम्	to narrate	[('narrate', 'VB')]
1.59.8	अख्येयम्	should be reported.	[('be', 'VB'), ('reported.', 'VB')]
5.13.39	अगच्छति	not go	[('go', 'VB')]
5.30.7	अगच्छतीम्	not approaching	[('approaching', 'VBG')]
1.35.19	अगच्छन्	had gone.	[('had', 'VBD')]
1.42.9	अगत्वा	not able to arrive	[('arrive', 'VB')]
1.71.16	अगमत्	set out.	[('set', 'VBN')]
3.74.15	अगमिष्यति	will come	[('come', 'VB')]
4.40.65	अगम्या स्यात्	not possible to reach	[('reach', 'VB')]
2.17.2	अगरुधूपितम्	made fragrant with agaru	[('made', 'VBN')]
1.1.68	अगर्जत्	roared	[('roared', 'VBN')]
5.3.43	अगर्बितम्	deflated of pride	[('deflated', 'VBN')]
4.52.7	अगस्त्यचरिताम्	where sage Agasthya lived	[('lived', 'VBD')]
3.11.36	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]
3.11.44	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]
3.11.89	अगस्त्यम्	to Agastya's	"[(""Agastya's"", 'VB')]"
3.11.88	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]
1.1.42	अगस्त्यवचनात् च एव	as directed by sage Agastya	[('directed', 'VBN')]
4.45.5	अगस्त्याचरिताम्	inhabited by Agastya	[('inhabited', 'VBN')]
2.49.10	अगस्त्याध्युषिताम्	where Agastya was  residing	[('was', 'VBD'), ('residing', 'VBG')]
3.16.25	अगाग्रस्थमपि	although flowing from top of the mountain	[('flowing', 'VBG')]
1.35.4	अगाधः	is deep	[('is', 'VBZ')]
1.4.31	अगायताम्	chanted	[('chanted', 'VBN')]
5.30.29	अगृहीतार्था	may not receive the message	[('receive', 'VB')]
5.60.6	अगृह्णन्त	agreed upon.	[('agreed', 'VBN')]
2.42.8	अगृह्णां	(इति) यत् the fact of holding	[('यत्', 'VBZ'), ('holding', 'VBG')]
2.109.33	अगृह्णात्	had taken	[('had', 'VBD'), ('taken', 'VBN')]
1.60.5	अग्निकल्पः	he is like fire	[('is', 'VBZ')]
1.1.44	अग्निकल्पानाम्	in lustre resembling flaming fire	[('resembling', 'VBG')]
1.51.22	अग्निकल्पैः	by those resembling fire in brightness	[('resembling', 'VBG')]
2.24.28	अग्निकार्येषु	in offering oblations to the firegod	[('offering', 'VBG')]
5.4.15	अग्निकुण्डायुधान्	equipped with tools for fire sacrifice	[('equipped', 'VBN')]
2.76.20	अग्निचितम्	engulfed by flames	[('engulfed', 'VBN')]
1.1.92	अग्निजं भयम्	fear due to fire	[('fire', 'VB')]
3.69.29	अग्निज्वालानिकाशेन	resembling the flaming fire	[('resembling', 'VBG')]
3.38.29	अग्निज्वालासमावृताम्	surrounded by flames of fire	[('surrounded', 'VBN')]
2.75.45	अग्निदायके	one who sets fire to human settlements	[('sets', 'VBZ'), ('fire', 'VBP')]
4.42.20	अग्निनिकाशानाम्	blazing like fire	[('blazing', 'VBG')]
3.24.17	अग्निनिकाशेन	blazing like fire	[('blazing', 'VBG')]
1.5.23	अग्निमद्भिः	by brahmins worshipping the  sacrificial fire	[('worshipping', 'VBG')]
5.39.53	अग्निमारुतकल्पौ	equal to fire and wind	[('fire', 'VB'), ('wind', 'VB')]
2.65.29	अग्निमिव	like blazing fire	[('blazing', 'VBG')]
2.66.1	अग्निमिव	like blazing fire	[('blazing', 'VBG')]
2.52.49	अग्निम्	into fire प्रवेक्ष्यामि I will enter.	[('enter.', 'VB')]
2.42.11	अग्निम्	to fire	[('fire', 'VB')]
2.96.14	अग्निम्	sacredfires (Agnihotra)	[('(Agnihotra)', 'VBP')]
1.65.16	अग्निरूपः	resembling fire	[('resembling', 'VBG')]
2.3.8	अग्निवर्चसाम्	shining like fire	[('shining', 'VBG')]
2.110.30	अग्निवर्णस्य	to Agnivarna	[('Agnivarna', 'VB')]
3.1.4	अग्निशरणैः	with fire sanctuaries स्रुग्भाण्डैः with wooden ladles for offering ghee अजिनैः with deerskins	[('स्रुग्भाण्डैः', 'VBP'), ('offering', 'VBG')]
3.43.27	अग्निशिखोपमाम्	like flaming fires	[('flaming', 'VBG')]
5.58.152	अग्निसंवृतम्	set on fire	[('set', 'VBN')]
1.45.20	अग्निसङ्काशम्	resembling fire	[('resembling', 'VBG')]
3.51.15	अग्निसदृशम्	burning like fire	[('burning', 'VBG')]
2.103.28	अग्निसमस्य	of a man equivalent to fire	[('fire', 'VB')]
1.36.18	अग्निसम्भवः	born from fire	[('born', 'VBN')]
3.9.24	अग्निसम्योगवत्	like contact with fire हेतुः becomes a cause	[('becomes', 'VBZ')]
1.1.60	अग्निसाक्षिकं चैव	witnessed by Agni	[('witnessed', 'VBN')]
1.35.9	अग्निहोत्राणि हुत्वा	after lighting their sacrificial fires	[('lighting', 'VBG')]
2.58.18	अग्न्यगारपरा भव	perform the rituals in the chamber of sacrificial fire	[('perform', 'VB')]
2.32.2	अग्न्यगारस्थम्	staying in the firesanctuary	[('staying', 'VBG')]
2.3.8	अग्न्यगारे	in the place set aside for sacred fire	[('set', 'VBN')]
1.15.33	अग्य्रपौरुषम्	having foremost manliness	[('having', 'VBG'), ('foremost', 'VBN')]
5.10.3	अग्य्रमालाविभूषितम्	decorated with best of garlands	[('decorated', 'VBN')]
2.5.26	अग्य्रवेषप्रमदाजनाकुलम्	thronged with excellently attired women	[('thronged', 'VBN'), ('attired', 'VBN')]
2.105.11	अग्य्राः	leading	[('leading', 'VBG')]
2.32.9	अग्य्रास्तरणम्	exquisite bed cover	[('bed', 'VBD')]
2.16.38	अग्य्रैः	charming	[('charming', 'VBG')]
1.45.23	अग्रजः असि	were born earliest	[('were', 'VBD'), ('born', 'VBN')]
2.27.31	अग्रतः कृत्वा	placing ahead	[('placing', 'VBG')]
1.4.6	अग्राहयत	got them initiated.	[('got', 'VBD'), ('initiated.', 'VB')]
3.33.16	अग्राह्यम्	one who is not acceptable (to good people)	[('is', 'VBZ')]
3.16.19	अग्राह्यवीर्यः	when his(Sun's) heat cannot be felt	[('be', 'VB'), ('felt', 'VBN')]
1.43.14	अग्रे प्रायात्	marched forward	[('marched', 'VBN')]
2.64.21	अघशंसिना	conveying my sinful act	[('conveying', 'VBG')]
5.58.152	अघोषयन्	announced loudly.	[('announced', 'VBD')]
2.118.13	अघ्राय	having kissed	[('having', 'VBG'), ('kissed', 'VBN')]
1.73.20	अङ्कुराढ्यैः	filled with sprouts	[('filled', 'VBN')]
5.57.51	अङ्गदबद्धबाहुना	bedecked with armlets	[('bedecked', 'VBN')]
4.65.33	अङ्गदम्	to Angada	[('Angada', 'VB')]
5.62.5	अङ्गदम्	to Angada	[('Angada', 'VB')]
4.54.7	अङ्गदम्	to Angada	[('Angada', 'VB')]
5.10.33	अङ्गदानि च	and Angadas (bracelets worn on upper arms)	[('worn', 'VBP')]
5.35.56	अङ्गदो नाम	called Angada	[('called', 'VBN')]
2.74.14	अङ्गप्रत्यङ्गजः	born from every limb big or small	[('born', 'VBN')]
5.15.51	अङ्गप्रत्यङ्गसौष्ठवम्	charming body with perfectly symmetrical limbs	[('charming', 'VBG')]
1.24.22	अङ्गमलधारिणौ	bearing impurities of my body	[('bearing', 'VBG')]
2.33.9	अङ्गरागोचिताम्	used to fragrant unguents	[('used', 'VBN'), ('fragrant', 'VB')]
1.42.25	अङ्गुष्ठाग्रनिपीडिताम्	pressing with the tip of his great toe	[('pressing', 'VBG')]
2.64.10	अचक्षुषाम्	for us who have no eyes	[('have', 'VBP')]
3.31.14	अचचक्षे	started telling.	[('started', 'VBN')]
4.50.17	अचन्द्रसूर्यम्	where there is no Moon or Sun light	[('is', 'VBZ')]
4.66.10	अचरत्	she was wandering.	[('was', 'VBD')]
2.114.9	अचरन्तीं	no longer grazing	[('grazing', 'VBG')]
5.10.22	अचलसङ्काशः	(he) appeared like a mountain	[('appeared', 'VBN')]
5.22.27	अचलसङ्काशः	looked like a mountain	[('looked', 'VBN')]
2.94.21	अचलेन्द्रस्य	of this lord of the hills (Chitrakuta's)	"[(""(Chitrakuta's)"", 'VBP')]"
1.40.19	अचलोपमम्	resembling mountain	[('resembling', 'VBG')]
3.68.19	अचलोपमम्	looking like a mountain	[('looking', 'VBG')]
5.68.26	अचारत्	making	[('making', 'VBG')]
2.45.33	अचारयत्	made them graze.	[('made', 'VBN'), ('graze.', 'VB')]
1.43.5	अचिन्तयच्च	also thought over	[('thought', 'VBN')]
5.55.21	अचिन्तयत्	he reflected upon them again.	[('reflected', 'VBD'), ('again.', 'VBP')]
5.53.44	अचिन्तयत्	pondered over.	[('pondered', 'VBN')]
5.9.73	अचिन्तयत्	he thought	[('thought', 'VBD')]
2.27.11	अचिन्तयन्ती	without thinking	[('thinking', 'VBG')]
5.59.25	अचिन्तयन्ती	not even thinking	[('thinking', 'VBG')]
5.16.19	अचिन्तयित्वा	not caring for	[('caring', 'VBG')]
5.63.5	अचिन्तयित्वा	not cared for	[('cared', 'VBN')]
3.51.10	अचिन्तयित्वा	without minding	[('minding', 'VBG')]
1.51.14	अचिन्त्यकर्मा	performed deeds defying imagination	[('performed', 'VBN'), ('defying', 'VBG')]
2.102.38	अचिरप्रोषितम्	exiled recently	[('exiled', 'VBN')]
5.19.18	अचिरोद्धृताम्	just plucked out	[('plucked', 'VBN')]
2.20.6	अचुक्रुशुश्च एव	blamed also.	[('blamed', 'VBN')]
3.22.26	अचूचुदत्	impelled him to drive.	[('impelled', 'VBD'), ('drive.', 'VB')]
3.38.20	अचेतनः	lost conciousness	[('lost', 'VBN')]
2.75.60	अचेतनम्	lying unconscious	[('lying', 'VBG')]
3.25.2	अचोदयत्	ordered to go.	[('ordered', 'VBN'), ('go.', 'VB')]
2.20.2	अचोदितः	without being urged	[('being', 'VBG'), ('urged', 'VBN')]
3.3.7	अच्छेद्याभेद्यत्वमेव च	not to be cut or broken by any.	[('be', 'VB'), ('cut', 'VBN'), ('broken', 'VBN')]
2.11.18	अच्यावयत्	pulled down.	[('pulled', 'VBN')]
2.14.45	अजज्ञिवान्	was unaware	[('was', 'VBD')]
1.18.13	अजनयत्	gave birth.	[('gave', 'VBD')]
3.14.26	अजनयत्	gave birth to.	[('gave', 'VBD')]
3.14.26	अजनयत्	gave girth to	[('gave', 'VBD')]
3.14.16	अजनयत्	gave birth to	[('gave', 'VBD')]
3.14.15	अजनयत्	gave birth to	[('gave', 'VBD')]
1.21.17	अजनयत्	gave birth.	[('gave', 'VBD')]
3.14.28	अजनयत्	procreated	[('procreated', 'VBN')]
1.17.10	अजनयत्	gave birth.	[('gave', 'VBD')]
1.18.8	अजनयत्	gave birth .	[('gave', 'VBD')]
2.14.48	अजयत्	conquered	[('conquered', 'VBN')]
2.110.30	अजस्यैव	to Aja	[('Aja', 'VB')]
2.21.13	अजानतः	of one who does not know	[('does', 'VBZ'), ('know', 'VB')]
4.51.6	अजानताम्	do not know	[('do', 'VB'), ('know', 'VB')]
3.51.26	अजानन्तः	not knowing	[('knowing', 'VBG')]
2.72.14	अजानन्तम्	ignorant of what had transpired	[('had', 'VBD'), ('transpired', 'VBN')]
2.2.23	अजानन्निव	as if he did not know earlier	[('did', 'VBD'), ('know', 'VB')]
5.24.44	अजामुखी नाम	called Ajamukhi	[('called', 'VBN')]
5.17.9	अजामुखीः	having goat's face	[('having', 'VBG')]
3.14.27	अजायत	gave birth to	[('gave', 'VBD')]
5.55.2	अजायत	was felt	[('was', 'VBD'), ('felt', 'VBN')]
1.17.18	अजायत	was born.	[('was', 'VBD')]
1.17.6	अजायत	was created.	[('was', 'VBD')]
1.25.8	अजायत	gave birth	[('gave', 'VBD')]
3.41.15	अजितेन्द्रियः	having no control over the senses	[('having', 'VBG')]
3.37.12	अजितेन्द्रियः	not that he has no control over the senses	[('has', 'VBZ')]
3.48.22	अजितेन्द्रियः	having no control over the senses	[('having', 'VBG')]
2.2.9	अजितेन्द्रियैः	by those who have not controlled their senses	[('have', 'VBP'), ('controlled', 'VBN')]
3.25.17	अजिह्मगान्	going straight without missing the goal	[('going', 'VBG'), ('missing', 'VBG')]
3.39.25	अजिह्मगैः	that which moves straight	[('moves', 'VBZ')]
3.34.27	अजिह्मगैः	not moving obliquely	[('moving', 'VBG')]
3.67.11	अजिह्मगैः	by those which can go straight	[('go', 'VB')]
3.51.9	अजिह्मगैः	going straight	[('going', 'VBG')]
2.38.7	अजीवनार्हेण	unfit to live	[('live', 'VB')]
3.3.17	अजृम्भत	yawned	[('yawned', 'VBN')]
5.2.44	अज्ञातः	without being detected	[('being', 'VBG'), ('detected', 'VBN')]
5.32.14	अञ्चलिम्	having folded palms	[('having', 'VBG'), ('folded', 'VBN')]
4.37.20	अञ्जनसङ्काशाः	who were like collyrium	[('were', 'VBD')]
1.6.23	अञ्जनात्	from Anjana (one of the Diggajas guarding a quarter)	[('guarding', 'VBG')]
4.37.2	अञ्जनाम्बुदसङ्काशाः	resembling black clouds	[('resembling', 'VBG')]
2.15.46	अञ्जलि कारकैश्च	(अञ्जलि कारिभिश्च) paying obeisance with folded palms	[('paying', 'VBG')]
2.12.36	अञ्जलिं करोमि	I bow to you with folded palms	[('bow', 'VBP'), ('folded', 'VBN')]
2.55.24	अञ्जलिं कृत्वा	offering reverential salutations with folded hands	[('offering', 'VBG')]
2.92.4	अञ्जलिं कृत्वा	with palms joined together	[('joined', 'VBD')]
2.13.17	अञ्जलिः	with palms folded	[('folded', 'VBD')]
2.62.7	अञ्जलिः	folded  palms	[('folded', 'VBN')]
2.69.9	अञ्जलिना	with both palms cupped	[('cupped', 'VBD')]
2.2.54	अञ्जलिपद्मानि	palms folded  like lotuses	[('folded', 'VBD')]
2.102.26	अञ्जलिम्	both palms cupped	[('cupped', 'VBD')]
2.62.11	अञ्जलिम्	folded palms	[('folded', 'VBN')]
5.39.13	अञ्जलिम्	folded palms	[('folded', 'VBN')]
2.55.6	अञ्जलिम्	folded palms	[('folded', 'VBN')]
2.59.6	अञ्जलिम्	folded palms	[('folded', 'VBN')]
2.3.33	अञ्जलौ	by holding the folded hands	[('holding', 'VBG')]
2.75.40	अटताम्	may wander.	[('wander.', 'VB')]
5.43.20	अटन्ति	we are wandering.	[('are', 'VBP')]
5.58.47	अट्टहासम्	yelling	[('yelling', 'VBG')]
2.111.21	अत एव	that is why	[('is', 'VBZ')]
2.12.114	अतथोचितम्	who was not accustomed to that (treatment)	[('was', 'VBD'), ('accustomed', 'VBN')]
2.13.1	अतथोचितम्	who was not accustomed to that (treatment)	[('was', 'VBD'), ('accustomed', 'VBN')]
2.12.114	अतदर्हम्	who did not merit such treatment	[('did', 'VBD'), ('merit', 'VB')]
2.13.1	अतदर्हम्	who did not merit such treatment	[('did', 'VBD'), ('merit', 'VB')]
4.50.22	अतन्द्रिताः	without feeling lazy	[('feeling', 'VBG')]
2.70.23	अति संवृद्धान्	wellraised	[('wellraised', 'VBN')]
1.8.24	अतिकान्तेन	by the excessively charming	[('charming', 'VBG')]
2.104.13	अतिक्रमितुम्	to transgress	[('transgress', 'VB')]
2.9.26	अतिक्रमितुम्	to transgress	[('transgress', 'VB')]
5.35.58	अतिक्रमेण च	exceeding	[('exceeding', 'VBG')]
2.55.8	अतिक्रमेत वा	or can go past	[('go', 'VB')]
2.9.28	अतिक्रमेत्	may not transgress.	[('transgress.', 'VB')]
4.43.21	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
4.42.36	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
2.17.20	अतिक्रम्य	having crossed over	[('having', 'VBG'), ('crossed', 'VBN')]
5.1.210	अतिक्रम्य	having crossed	[('having', 'VBG'), ('crossed', 'VBN')]
4.43.20	अतिक्रम्य	after passing	[('passing', 'VBG')]
4.42.33	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
4.43.17	अतिक्रम्य	after passing	[('passing', 'VBG')]
4.43.55	अतिक्रम्य	after crossing that place	[('crossing', 'VBG')]
2.49.12	अतिक्रम्य	having crossed	[('having', 'VBG'), ('crossed', 'VBN')]
3.69.8	अतिक्रम्य	crossed	[('crossed', 'VBN')]
4.40.30	अतिक्रम्य	going beyond	[('going', 'VBG')]
4.43.39	अतिक्रम्य	on passing	[('passing', 'VBG')]
3.73.6	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
1.62.16	अतिक्रम्य	having trangressed	[('having', 'VBG'), ('trangressed', 'VBN')]
3.54.5	अतिक्रम्य	on crossing	[('crossing', 'VBG')]
4.43.30	अतिक्रम्य	after passing	[('passing', 'VBG')]
4.41.28	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
1.58.2	अतिक्रम्य	having by passed	[('having', 'VBG'), ('passed', 'VBN')]
4.41.40	अतिक्रम्य	after crossing	[('crossing', 'VBG')]
5.41.2	अतिक्रम्य	crossing	[('crossing', 'VBG')]
2.38.12	अतिक्रम्य	having exceeded	[('having', 'VBG'), ('exceeded', 'VBN')]
4.36.11	अतिक्रान्तं यदि	have exceeded time	[('have', 'VB'), ('exceeded', 'VBN')]
2.51.19	अतिक्रान्तमतिक्रान्तम्	past is past	[('is', 'VBZ')]
2.86.17	अतिक्रान्तम् अतिक्रान्तम्	gone by one after another	[('gone', 'VBN')]
2.58.23	अतिक्रान्तवयाः	is advanced in age	[('is', 'VBZ'), ('advanced', 'VBN')]
4.57.25	अतिक्रान्ताः	we exceeded	[('exceeded', 'VBD')]
4.53.3	अतिक्रान्तान्	those who exceeded	[('exceeded', 'VBD')]
4.67.17	अतिक्रान्तुम्	to overtake	[('overtake', 'VB')]
2.17.13	अतिक्रान्तेऽपि	even though he passed them	[('passed', 'VBD')]
2.76.23	अतिगते	having passed	[('having', 'VBG'), ('passed', 'VBN')]
3.70.5	अतिजितम्	having conquered	[('having', 'VBG'), ('conquered', 'VBN')]
3.34.18	अतिजीवेत्	may wish to live long.	[('wish', 'VB'), ('live', 'VB')]
2.20.45	अतितानि	have been spent.	[('have', 'VBP'), ('been', 'VBN')]
1.70.10	अतितेजसौ	possessing great splendour	[('possessing', 'VBG')]
1.52.14	अतिथिश्रेष्ठः	distinguished guest.	[('distinguished', 'VBN')]
3.64.67	अतिदूरातिगामिनाम्	of those that can reach very distant places	[('reach', 'VB')]
1.24.11	अतिधार्मिकौ	both who were exceedingly righteous	[('were', 'VBD')]
2.35.37	अतिनिश्श्वस्य	sighing deeply	[('sighing', 'VBG')]
5.33.10	अतिनिश्श्वासात्	breathing heavily	[('breathing', 'VBG')]
3.29.11	अतिपतिष्यतनि	will come out.	[('come', 'VB')]
5.1.90	अतिपतिष्यति	will leap over.	[('leap', 'VB')]
2.37.22	अतिप्रवृत्ते	exceeding all limits of decency	[('exceeding', 'VBG')]
5.54.34	अतिप्रवृद्धः	increasing violently	[('increasing', 'VBG')]
2.25.39	अतिप्रहृष्टेव	as if she was exceedingly happy	[('was', 'VBD')]
4.44.17	अतिबल	O mighty one	[('mighty', 'VBZ')]
3.63.15	अतिबिभेति	is scared a lot.	[('is', 'VBZ'), ('scared', 'VBN')]
5.17.9	अतिमात्रकुचोदरीः	having heavy breasts	[('having', 'VBG')]
2.12.114	अतिमात्रया	exceeding the limit of respect	[('exceeding', 'VBG')]
5.17.9	अतिमात्रशिरोग्रीवाः	having huge head and neck	[('having', 'VBG')]
5.17.9	अतिमात्रास्यनेत्राश्च	having large and uneven mouths and eyes	[('having', 'VBG')]
2.57.4	अतिययौ	passed through them.	[('passed', 'VBN')]
2.49.3	अतिययौ	went a long distance.	[('went', 'VBD')]
1.77.27	अतियशाः	possessing great fame	[('possessing', 'VBG')]
1.5.23	अतिरथः	a great charioteer capable of fighting with many maharathas singlehandedly	[('fighting', 'VBG')]
2.1.29	अतिरथसम्मतः	reckoned as a great wielder of warchariots by his equals	[('reckoned', 'VBN')]
4.27.20	अतिरम्यैः	enchanting	[('enchanting', 'VBG')]
2.12.44	अतिवर्तते	does not cross	[('does', 'VBZ'), ('cross', 'VB')]
