sloka	pada	english	verb_part	speech_part	word_count	verb_count
1.33.26	अकल्पयत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
1.69.7	अकल्पयत्	made	[('made', 'VBN')]	[[('made', 'VBN')]]	1	1
2.25.29	अकल्पयत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
2.25.33	अकल्पयत्	created	[('created', 'VBN')]	[[('created', 'VBN')]]	1	1
2.54.18	अकल्पयत्	arranged	[('arranged', 'VBN')]	[[('arranged', 'VBN')]]	1	1
2.97.29	अकल्पयत्	made	[('made', 'VBN')]	[[('made', 'VBN')]]	1	1
3.7.22	अकल्पयत्	arranged	[('arranged', 'VBN')]	[[('arranged', 'VBN')]]	1	1
3.71.13	अकल्पयत्	created	[('created', 'VBN')]	[[('created', 'VBN')]]	1	1
3.13.27	अकातरौ	never frightened	[('frightened', 'VBN')]	[[('never', 'RB'), ('frightened', 'VBN')]]	2	1
2.1.33	अकामयत	desired	[('desired', 'VBN')]	[[('desired', 'VBN')]]	1	1
2.2.48	अकामयत	desired	[('desired', 'VBN')]	[[('desired', 'VBN')]]	1	1
2.45.11	अकामयन्	desired	[('desired', 'VBN')]	[[('desired', 'VBN')]]	1	1
5.20.6	अकामाम्	not force to accept my desire	[('accept', 'VB')]	[[('not', 'RB'), ('force', 'NN'), ('to', 'TO'), ('accept', 'VB'), ('my', 'PRP$'), ('desire', 'NN')]]	6	1
1.1.80	अकारयत्	got it built	[('got', 'VBD'), ('built', 'VBD')]	[[('got', 'VBD'), ('it', 'PRP'), ('built', 'VBD')]]	3	2
1.18.22	अकारयत्	were made to be performed	[('were', 'VBD'), ('made', 'VBN'), ('be', 'VB'), ('performed', 'VBN')]	[[('were', 'VBD'), ('made', 'VBN'), ('to', 'TO'), ('be', 'VB'), ('performed', 'VBN')]]	5	4
1.42.8	अकारयत्	ruled	[('ruled', 'VBN')]	[[('ruled', 'VBN')]]	1	1
1.51.20	अकारयत्	ruled	[('ruled', 'VBN')]	[[('ruled', 'VBN')]]	1	1
2.12.63	अकारयत्	ruled	[('ruled', 'VBN')]	[[('ruled', 'VBN')]]	1	1
2.76.23	अकारयत्	got them performed	[('got', 'VBD'), ('performed', 'VBD')]	[[('got', 'VBD'), ('them', 'PRP'), ('performed', 'VBD')]]	3	2
2.35.5	अकार्यतमम्	incapable of being done	[('being', 'VBG'), ('done', 'VBN')]	[[('incapable', 'NN'), ('of', 'IN'), ('being', 'VBG'), ('done', 'VBN')]]	4	2
5.62.3	अकार्यमपि	tells not to do	[('do', 'VB')]	[[('tells', 'NNS'), ('not', 'RB'), ('to', 'TO'), ('do', 'VB')]]	4	1
1.62.14	अकार्यमिव	as if a prohibited act	[('prohibited', 'VBN')]	[[('as', 'IN'), ('if', 'IN'), ('a', 'DT'), ('prohibited', 'VBN'), ('act', 'NN')]]	5	1
2.109.2	अकार्यम्	is unfit to be done	[('is', 'VBZ'), ('be', 'VB'), ('done', 'VBN')]	[[('is', 'VBZ'), ('unfit', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('done', 'VBN')]]	5	3
2.64.53	अकार्षीः	rendered	[('rendered', 'VBN')]	[[('rendered', 'VBN')]]	1	1
2.10.32	अकिञ्चनः	shall be rendered poor	[('be', 'VB'), ('rendered', 'VBN')]	[[('shall', 'MD'), ('be', 'VB'), ('rendered', 'VBN'), ('poor', 'JJ')]]	4	2
5.35.49	अकुरुताम्	reached	[('reached', 'VBN')]	[[('reached', 'VBN')]]	1	1
1.12.19	अकुर्वत	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
2.71.3	अकुर्वतीम्	originating	[('originating', 'VBG')]	[[('originating', 'VBG')]]	1	1
1.23.19	अकुर्वन्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
1.29.27	अकुर्वन्	extended	[('extended', 'VBN')]	[[('extended', 'VBN')]]	1	1
2.18.15	अकुर्वन्	disobeying	[('disobeying', 'VBG')]	[[('disobeying', 'VBG')]]	1	1
3.38.26	अकुर्वन्तोऽपि	even without committing	[('committing', 'VBG')]	[[('even', 'RB'), ('without', 'IN'), ('committing', 'VBG')]]	3	1
1.21.8	अकुर्वाणस्य	for one who does not fulfill	[('does', 'VBZ'), ('fulfill', 'VB')]	[[('for', 'IN'), ('one', 'CD'), ('who', 'WP'), ('does', 'VBZ'), ('not', 'RB'), ('fulfill', 'VB')]]	6	2
1.54.23	अकुलीकृताः	were tormented	[('were', 'VBD'), ('tormented', 'VBN')]	[[('were', 'VBD'), ('tormented', 'VBN')]]	2	2
5.9.71	अकुलीना	lowbred	[('lowbred', 'VBN')]	[[('lowbred', 'VBN')]]	1	1
2.37.13	अकुशला	unskilled unhabituated	[('unhabituated', 'VBD')]	[[('unskilled', 'JJ'), ('unhabituated', 'VBD')]]	2	1
5.57.23	अकृतकार्यस्य	if he was not successsful	[('was', 'VBD')]	[[('if', 'IN'), ('he', 'PRP'), ('was', 'VBD'), ('not', 'RB'), ('successsful', 'JJ')]]	5	1
5.63.15	अकृतकृत्यानाम्	if they had not accomplished their purpose	[('had', 'VBD'), ('accomplished', 'VBN')]	[[('if', 'IN'), ('they', 'PRP'), ('had', 'VBD'), ('not', 'RB'), ('accomplished', 'VBN'), ('their', 'PRP$'), ('purpose', 'NN')]]	7	2
5.64.27	अकृतकृत्यानाम्	in case they have not accomplished	[('have', 'VBP'), ('accomplished', 'VBN')]	[[('in', 'IN'), ('case', 'NN'), ('they', 'PRP'), ('have', 'VBP'), ('not', 'RB'), ('accomplished', 'VBN')]]	6	2
2.92.24	अकृतप्रज्ञाम्	is not discerning	[('is', 'VBZ'), ('discerning', 'VBG')]	[[('is', 'VBZ'), ('not', 'RB'), ('discerning', 'VBG')]]	3	2
5.1.97	अकृतम्	not carried out	[('carried', 'VBN')]	[[('not', 'RB'), ('carried', 'VBN'), ('out', 'RP')]]	3	1
1.20.7	अकृतविद्यश्च	is not learned in the science of warfare	[('is', 'VBZ'), ('learned', 'VBN')]	[[('is', 'VBZ'), ('not', 'RB'), ('learned', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('science', 'NN'), ('of', 'IN'), ('warfare', 'NN')]]	8	2
3.43.38	अकृतात्मना	by evilminded	[('evilminded', 'VBD')]	[[('by', 'IN'), ('evilminded', 'VBD')]]	2	1
2.29.12	अकृतात्मभिः	by those whose senses are not under their control	[('are', 'VBP')]	[[('by', 'IN'), ('those', 'DT'), ('whose', 'WP$'), ('senses', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('under', 'IN'), ('their', 'PRP$'), ('control', 'NN')]]	9	1
3.5.28	अकृतात्मभिः	by those who have not realised their self	[('have', 'VBP'), ('realised', 'VBN')]	[[('by', 'IN'), ('those', 'DT'), ('who', 'WP'), ('have', 'VBP'), ('not', 'RB'), ('realised', 'VBN'), ('their', 'PRP$'), ('self', 'NN')]]	8	2
3.29.18	अकृतात्मानः	having no control over self	[('having', 'VBG')]	[[('having', 'VBG'), ('no', 'DT'), ('control', 'NN'), ('over', 'IN'), ('self', 'NN')]]	5	1
4.53.25	अकृतार्थानाम्	not having achieved the objective of finding Sita	[('having', 'VBG'), ('achieved', 'VBN'), ('finding', 'VBG')]	[[('not', 'RB'), ('having', 'VBG'), ('achieved', 'VBN'), ('the', 'DT'), ('objective', 'NN'), ('of', 'IN'), ('finding', 'VBG'), ('Sita', 'NNP')]]	8	3
3.72.19	अकृतार्थो वा	or not done	[('done', 'VBN')]	[[('or', 'CC'), ('not', 'RB'), ('done', 'VBN')]]	3	1
3.38.6	अकृतास्त्रश्च	not experienced in the use of weapons	[('experienced', 'VBN')]	[[('not', 'RB'), ('experienced', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('use', 'NN'), ('of', 'IN'), ('weapons', 'NNS')]]	7	1
3.38.22	अकृतास्त्रेण	who had not mastered archery	[('had', 'VBD'), ('mastered', 'VBN')]	[[('who', 'WP'), ('had', 'VBD'), ('not', 'RB'), ('mastered', 'VBN'), ('archery', 'NN')]]	5	2
2.13.12	अकृत्वा	not inflicting	[('inflicting', 'VBG')]	[[('not', 'RB'), ('inflicting', 'VBG')]]	2	1
3.72.10	अकृत्वा	without doing so	[('doing', 'VBG')]	[[('without', 'IN'), ('doing', 'VBG'), ('so', 'RB')]]	3	1
4.53.25	अकृत्वा	not executing	[('executing', 'VBG')]	[[('not', 'RB'), ('executing', 'VBG')]]	2	1
4.65.30	अकृत्वा	by not fulfilling	[('fulfilling', 'VBG')]	[[('by', 'IN'), ('not', 'RB'), ('fulfilling', 'VBG')]]	3	1
1.20.24	अकोविदम्	not experienced	[('experienced', 'VBN')]	[[('not', 'RB'), ('experienced', 'VBN')]]	2	1
3.73.13	अकोविदाः	not knowing	[('knowing', 'VBG')]	[[('not', 'RB'), ('knowing', 'VBG')]]	2	1
5.15.25	अकोविदाम्	who had not experienced	[('had', 'VBD'), ('experienced', 'VBN')]	[[('who', 'WP'), ('had', 'VBD'), ('not', 'RB'), ('experienced', 'VBN')]]	4	2
2.12.82	अक्रोष्ठुम्	to condemn	[('condemn', 'VB')]	[[('to', 'TO'), ('condemn', 'VB')]]	2	1
1.32.18	अक्लिष्टकर्मणः	of him who accompanies pious and wise acts	[('accompanies', 'VBZ')]	[[('of', 'IN'), ('him', 'PRP'), ('who', 'WP'), ('accompanies', 'VBZ'), ('pious', 'JJ'), ('and', 'CC'), ('wise', 'JJ'), ('acts', 'NNS')]]	8	1
3.24.26	अक्लिष्टकर्मणः	of one who is unwearied in action	[('is', 'VBZ'), ('unwearied', 'VBN')]	[[('of', 'IN'), ('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('unwearied', 'VBN'), ('in', 'IN'), ('action', 'NN')]]	7	2
4.34.17	अक्लिष्टकर्मणः	of a man who accomplishes a task with ease	[('accomplishes', 'VBZ')]	[[('of', 'IN'), ('a', 'DT'), ('man', 'NN'), ('who', 'WP'), ('accomplishes', 'VBZ'), ('a', 'DT'), ('task', 'NN'), ('with', 'IN'), ('ease', 'NN')]]	9	1
5.35.35	अक्लिष्टकर्मणः	one who is adept in accomplishing tasks with ease	[('is', 'VBZ'), ('adept', 'VBN'), ('accomplishing', 'VBG')]	[[('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('adept', 'VBN'), ('in', 'IN'), ('accomplishing', 'VBG'), ('tasks', 'NNS'), ('with', 'IN'), ('ease', 'NN')]]	9	3
5.43.9	अक्लिष्टकर्मणः	one who can  acomplish any task with ease	[('acomplish', 'VB')]	[[('one', 'CD'), ('who', 'WP'), ('can', 'MD'), ('acomplish', 'VB'), ('any', 'DT'), ('task', 'NN'), ('with', 'IN'), ('ease', 'NN')]]	8	1
3.31.40	अक्लिष्टकर्मणा	by one who is capable of doing difficult deeds	[('is', 'VBZ'), ('doing', 'VBG')]	[[('by', 'IN'), ('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('capable', 'JJ'), ('of', 'IN'), ('doing', 'VBG'), ('difficult', 'JJ'), ('deeds', 'NNS')]]	9	2
3.38.22	अक्लिष्टकर्मणा	by one who acomplishes any task with ease	[('acomplishes', 'VBZ')]	[[('by', 'IN'), ('one', 'CD'), ('who', 'WP'), ('acomplishes', 'VBZ'), ('any', 'DT'), ('task', 'NN'), ('with', 'IN'), ('ease', 'NN')]]	8	1
3.39.23	अक्लिष्टकर्मणा	by one who can accomplish a work easily	[('accomplish', 'VB')]	[[('by', 'IN'), ('one', 'CD'), ('who', 'WP'), ('can', 'MD'), ('accomplish', 'VB'), ('a', 'DT'), ('work', 'NN'), ('easily', 'RB')]]	8	1
4.53.30	अक्लिष्टकर्मणा	who never harms others	[('harms', 'VBZ')]	[[('who', 'WP'), ('never', 'RB'), ('harms', 'VBZ'), ('others', 'NNS')]]	4	1
5.30.41	अक्लिष्टकर्माणम्	one who is judicious in action	[('is', 'VBZ')]	[[('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('judicious', 'JJ'), ('in', 'IN'), ('action', 'NN')]]	6	1
5.1.156	अक्लिष्टकारिणम्	one who may makes work easy without any trouble	[('makes', 'VBZ')]	[[('one', 'CD'), ('who', 'WP'), ('may', 'MD'), ('makes', 'VBZ'), ('work', 'NN'), ('easy', 'JJ'), ('without', 'IN'), ('any', 'DT'), ('trouble', 'NN')]]	9	1
5.58.26	अक्लिष्टकारिणम्	after revealing about her	[('revealing', 'VBG')]	[[('after', 'IN'), ('revealing', 'VBG'), ('about', 'IN'), ('her', 'PRP$')]]	4	1
2.14.21	अक्लिष्टम्	one who is not pained	[('is', 'VBZ')]	[[('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('not', 'RB'), ('pained', 'JJ')]]	5	1
1.25.21	अक्लीबम्	determined	[('determined', 'VBN')]	[[('determined', 'VBN')]]	1	1
5.48.12	अक्षतम्	without being destroyed in the middle	[('being', 'VBG'), ('destroyed', 'VBN')]	[[('without', 'IN'), ('being', 'VBG'), ('destroyed', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('middle', 'NN')]]	6	2
5.55.34	अक्षताम्	not hurt	[('hurt', 'VB')]	[[('not', 'RB'), ('hurt', 'VB')]]	2	1
5.65.4	अक्षताम्	not harmed	[('harmed', 'VBN')]	[[('not', 'RB'), ('harmed', 'VBN')]]	2	1
2.20.46	अक्षयम्	unending	[('unending', 'VBG')]	[[('unending', 'VBG')]]	1	1
2.14.7	अक्षयाः	is imperishable	[('is', 'VBZ')]	[[('is', 'VBZ'), ('imperishable', 'JJ')]]	2	1
4.40.25	अक्षयाः	who cannot be destroyed	[('cannot', 'VBP'), ('be', 'VB'), ('destroyed', 'VBN')]	[[('who', 'WP'), ('cannot', 'VBP'), ('be', 'VB'), ('destroyed', 'VBN')]]	4	3
1.32.17	अक्षय्यम्	permanent not liable to deterioration	[('deterioration', 'VB')]	[[('permanent', 'JJ'), ('not', 'RB'), ('liable', 'JJ'), ('to', 'TO'), ('deterioration', 'VB')]]	5	1
2.7.20	अक्षय्यम्	unending	[('unending', 'VBG')]	[[('unending', 'VBG')]]	1	1
2.64.40	अक्षय्याम्	unfailing	[('unfailing', 'VBG')]	[[('unfailing', 'VBG')]]	1	1
2.38.15	अक्षुद्रशीला च	does not possess meanness of character	[('does', 'VBZ'), ('possess', 'VB')]	[[('does', 'VBZ'), ('not', 'RB'), ('possess', 'VB'), ('meanness', 'NN'), ('of', 'IN'), ('character', 'NN')]]	6	2
2.75.41	अक्षेषु च	in dice for gambling	[('gambling', 'VBG')]	[[('in', 'IN'), ('dice', 'NN'), ('for', 'IN'), ('gambling', 'VBG')]]	4	1
4.42.8	अक्षोभ्यम्	which cannot be agitated	[('be', 'VB'), ('agitated', 'VBN')]	[[('which', 'WDT'), ('cannot', 'NN'), ('be', 'VB'), ('agitated', 'VBN')]]	4	2
5.38.41	अक्षोभ्यम्	never to be stirred	[('be', 'VB'), ('stirred', 'VBN')]	[[('never', 'RB'), ('to', 'TO'), ('be', 'VB'), ('stirred', 'VBN')]]	4	2
1.51.21	अक्षौहीणीपरिवृतः	surrounded by army of the magnitude of Akshauhini	[('surrounded', 'VBN')]	[[('surrounded', 'VBN'), ('by', 'IN'), ('army', 'NN'), ('of', 'IN'), ('the', 'DT'), ('magnitude', 'NN'), ('of', 'IN'), ('Akshauhini', 'NNP')]]	8	1
5.65.20	अखिलेन	should tell	[('tell', 'VB')]	[[('should', 'MD'), ('tell', 'VB')]]	2	1
3.11.10	अख्यातुम्	to narrate	[('narrate', 'VB')]	[[('to', 'TO'), ('narrate', 'VB')]]	2	1
3.17.13	अख्यातुम्	to tell	[('tell', 'VB')]	[[('to', 'TO'), ('tell', 'VB')]]	2	1
1.59.8	अख्येयम्	should be reported	[('be', 'VB'), ('reported', 'VBN')]	[[('should', 'MD'), ('be', 'VB'), ('reported', 'VBN')]]	3	2
5.13.39	अगच्छति	not go	[('go', 'VB')]	[[('not', 'RB'), ('go', 'VB')]]	2	1
5.30.7	अगच्छतीम्	not approaching	[('approaching', 'VBG')]	[[('not', 'RB'), ('approaching', 'VBG')]]	2	1
2.9.11	अगच्छत्	went	[('went', 'VBD')]	[[('went', 'VBD')]]	1	1
1.35.19	अगच्छन्	had gone	[('had', 'VBD'), ('gone', 'VBN')]	[[('had', 'VBD'), ('gone', 'VBN')]]	2	2
1.42.9	अगत्वा	not able to arrive	[('arrive', 'VB')]	[[('not', 'RB'), ('able', 'JJ'), ('to', 'TO'), ('arrive', 'VB')]]	4	1
1.70.14	अगमत्	went	[('went', 'VBD')]	[[('went', 'VBD')]]	1	1
1.71.16	अगमत्	set out	[('set', 'VBN')]	[[('set', 'VBN'), ('out', 'RP')]]	2	1
2.59.38	अगमत्	seized	[('seized', 'VBN')]	[[('seized', 'VBN')]]	1	1
2.7.16	अगमत्	obtained	[('obtained', 'VBN')]	[[('obtained', 'VBN')]]	1	1
5.45.14	अगमत्	fled	[('fled', 'VBN')]	[[('fled', 'VBN')]]	1	1
3.74.15	अगमिष्यति	will come	[('come', 'VB')]	[[('will', 'MD'), ('come', 'VB')]]	2	1
4.40.65	अगम्या स्यात्	not possible to reach	[('reach', 'VB')]	[[('not', 'RB'), ('possible', 'JJ'), ('to', 'TO'), ('reach', 'VB')]]	4	1
2.17.2	अगरुधूपितम्	made fragrant with agaru	[('made', 'VBN')]	[[('made', 'VBN'), ('fragrant', 'NN'), ('with', 'IN'), ('agaru', 'NN')]]	4	1
1.1.68	अगर्जत्	roared	[('roared', 'VBN')]	[[('roared', 'VBN')]]	1	1
5.3.43	अगर्बितम्	deflated of pride	[('deflated', 'VBN')]	[[('deflated', 'VBN'), ('of', 'IN'), ('pride', 'NN')]]	3	1
4.52.7	अगस्त्यचरिताम्	where sage Agasthya lived	[('lived', 'VBD')]	[[('where', 'WRB'), ('sage', 'NN'), ('Agasthya', 'NNP'), ('lived', 'VBD')]]	4	1
3.11.36	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]	[[('to', 'TO'), ('Agastya', 'VB')]]	2	1
3.11.44	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]	[[('to', 'TO'), ('Agastya', 'VB')]]	2	1
3.11.88	अगस्त्यम्	to Agastya	[('Agastya', 'VB')]	[[('to', 'TO'), ('Agastya', 'VB')]]	2	1
3.11.89	अगस्त्यम्	to Agastyas	[('Agastyas', 'VB')]	[[('to', 'TO'), ('Agastyas', 'VB')]]	2	1
1.1.42	अगस्त्यवचनात् च एव	as directed by sage Agastya	[('directed', 'VBN')]	[[('as', 'IN'), ('directed', 'VBN'), ('by', 'IN'), ('sage', 'NN'), ('Agastya', 'NNP')]]	5	1
4.45.5	अगस्त्याचरिताम्	inhabited by Agastya	[('inhabited', 'VBN')]	[[('inhabited', 'VBN'), ('by', 'IN'), ('Agastya', 'NNP')]]	3	1
2.49.10	अगस्त्याध्युषिताम्	where Agastya was  residing	[('was', 'VBD'), ('residing', 'VBG')]	[[('where', 'WRB'), ('Agastya', 'NNP'), ('was', 'VBD'), ('residing', 'VBG')]]	4	2
3.16.25	अगाग्रस्थमपि	although flowing from top of the mountain	[('flowing', 'VBG')]	[[('although', 'IN'), ('flowing', 'VBG'), ('from', 'IN'), ('top', 'NN'), ('of', 'IN'), ('the', 'DT'), ('mountain', 'NN')]]	7	1
3.29.26	अगात्	reached	[('reached', 'VBN')]	[[('reached', 'VBN')]]	1	1
1.35.4	अगाधः	is deep	[('is', 'VBZ')]	[[('is', 'VBZ'), ('deep', 'JJ')]]	2	1
1.4.14	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
1.4.18	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
1.4.19	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
1.4.28	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
1.4.31	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
1.4.8	अगायताम्	chanted	[('chanted', 'VBN')]	[[('chanted', 'VBN')]]	1	1
5.30.29	अगृहीतार्था	may not receive the message	[('receive', 'VB')]	[[('may', 'MD'), ('not', 'RB'), ('receive', 'VB'), ('the', 'DT'), ('message', 'NN')]]	5	1
5.60.6	अगृह्णन्त	agreed upon	[('agreed', 'VBN')]	[[('agreed', 'VBN'), ('upon', 'IN')]]	2	1
2.42.8	अगृह्णां इति यत्	the fact of holding	[('holding', 'VBG')]	[[('the', 'DT'), ('fact', 'NN'), ('of', 'IN'), ('holding', 'VBG')]]	4	1
2.109.33	अगृह्णात्	had taken	[('had', 'VBD'), ('taken', 'VBN')]	[[('had', 'VBD'), ('taken', 'VBN')]]	2	2
1.4.4	अगृह्णीताम्	touched	[('touched', 'VBN')]	[[('touched', 'VBN')]]	1	1
1.60.5	अग्निकल्पः	he is like fire	[('is', 'VBZ')]	[[('he', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('fire', 'NN')]]	4	1
1.1.44	अग्निकल्पानाम्	in lustre resembling flaming fire	[('resembling', 'VBG')]	[[('in', 'IN'), ('lustre', 'JJ'), ('resembling', 'VBG'), ('flaming', 'NN'), ('fire', 'NN')]]	5	1
1.51.22	अग्निकल्पैः	by those resembling fire in brightness	[('resembling', 'VBG')]	[[('by', 'IN'), ('those', 'DT'), ('resembling', 'VBG'), ('fire', 'NN'), ('in', 'IN'), ('brightness', 'NN')]]	6	1
2.24.28	अग्निकार्येषु	in offering oblations to the firegod	[('offering', 'VBG')]	[[('in', 'IN'), ('offering', 'VBG'), ('oblations', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('firegod', 'NN')]]	6	1
5.4.15	अग्निकुण्डायुधान्	equipped with tools for fire sacrifice	[('equipped', 'VBN')]	[[('equipped', 'VBN'), ('with', 'IN'), ('tools', 'NNS'), ('for', 'IN'), ('fire', 'NN'), ('sacrifice', 'NN')]]	6	1
2.76.20	अग्निचितम्	engulfed by flames	[('engulfed', 'VBN')]	[[('engulfed', 'VBN'), ('by', 'IN'), ('flames', 'NNS')]]	3	1
1.1.92	अग्निजं भयम्	fear due to fire	[('fire', 'VB')]	[[('fear', 'NN'), ('due', 'JJ'), ('to', 'TO'), ('fire', 'VB')]]	4	1
3.69.29	अग्निज्वालानिकाशेन	resembling the flaming fire	[('resembling', 'VBG')]	[[('resembling', 'VBG'), ('the', 'DT'), ('flaming', 'NN'), ('fire', 'NN')]]	4	1
3.38.29	अग्निज्वालासमावृताम्	surrounded by flames of fire	[('surrounded', 'VBN')]	[[('surrounded', 'VBN'), ('by', 'IN'), ('flames', 'NNS'), ('of', 'IN'), ('fire', 'NN')]]	5	1
2.75.45	अग्निदायके	one who sets fire to human settlements	[('sets', 'VBZ'), ('fire', 'VBP')]	[[('one', 'CD'), ('who', 'WP'), ('sets', 'VBZ'), ('fire', 'VBP'), ('to', 'TO'), ('human', 'JJ'), ('settlements', 'NNS')]]	7	2
