journal	paper	subject	category	author	url	size_in_kb	year	ju_url
IJHS-2-1967-Issue-1	An Estimate of the Vaisesika Sutra in the History of Science	Philosophy	Indic	 B V Subbarayappa	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_2_BVSubbarayappa.pdf	286.0		
IJHS-2-1967-Issue-1	Anatomy in the Vedic Literature	Medicine	Indic	 Mira Roy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_3_MRoy.pdf	263.0		
IJHS-2-1967-Issue-1	History of Plus and Minus Signs	Math	Other	 Brij Mohan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_4_BMohan.pdf	108.0		
IJHS-2-1967-Issue-1	The Embryonic Development and the Human Body in the Yajnavalkya Smrti	Medicine	Indic	 Mamata Choudhury	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_5_MChowdhury.pdf	176.0		
IJHS-2-1967-Issue-1	Reviews	General	Other	 	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_6_Reviews.pdf	207.0		
IJHS-2-1967-Issue-2	The Problem of the Fertilization and Evolution of Phanerogams in Darwin’s Work: A Critical Study	Biology	Western	 Vasile D Marza and Ion T Tarnavschi	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_1_VDMarza.pdf	841.0		
IJHS-2-1967-Issue-2	WMW Haffkine‚ Bacteriologist—A Great Saviour of Mankind	Medicine	Western	 H I Jhala	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_2_HIJhala.pdf	394.0		
IJHS-2-1967-Issue-2	Bhaskara I’s Approximation to Sine	Math	Indic	 R C Gupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_3_RCGupta.pdf	246.0		
IJHS-2-1967-Issue-2	Notes: Rasarnavakalpa of Rudrayamala Tantra	Metallurgy	Indic	 Mira Roy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_4_Notes.pdf	99.0		
IJHS-2-1967-Issue-2	News	General	Other	 	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_5_News.pdf	18.0		
IJHS-2-1967-Issue-2	Review	Other	Other	 P Ray	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_6_Review.pdf	51.0		
IJHS-4-1969-Issue-1&2	Source Materials Concerning Astronomy and Mathematics	Astronomy	Indic	 A K Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_1_AKBag.pdf	85.0		
IJHS-4-1969-Issue-1&2	Archaeological Plant Remainsfrom Pre– and Proto–Historic Periods as a Source of Historyof Sciences	Agriculture	Indic	 K A Chowdhury	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_2_KAChowdhury.pdf	117.0		
IJHS-4-1969-Issue-1&2	The Sivatattvratnakara as a Source for Sciences in Ancient and Medieval India	Other	Indic	 G S Dikshit	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_3_GSDikshit.pdf	81.0		
IJHS-4-1969-Issue-1&2	Pottery in the Vedic Literature	Metallurgy	Indic	 C G Kashikar	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_4_CGKashikar.pdf	245.0		
IJHS-4-1969-Issue-1&2	Philosophical Trends viz History of Sciences of India — Orthodox Systems	Philosophy	Indic	 T M P Mahadevan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_5_TMPMahadevan.pdf	306.0		
IJHS-4-1969-Issue-1&2	Philosophical Trends and the History of Science in India— Heterodox Trends	Philosophy	Indic	 G C Pande	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_6_GCPande.pdf	200.0		
IJHS-4-1969-Issue-1&2	Social Set–Up of Science and Technology in Mughal India	Culture	Indic	 Surendra Gopal	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_7_SGopal.pdf	158.0		
IJHS-4-1969-Issue-1&2	Development of Mathematical Ideas in India	Math	Indic	 T A Saraswathi	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_8_TASaraswathi.pdf	421.0		
IJHS-4-1969-Issue-1&2	Sine Table in Ancient India	Math	Indic	 AK Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_9_AKBag.pdf	133.0		
IJHS-4-1969-Issue-1&2	Second Order Interpolation in Indian Mathematics Up To the Fifteenth Century	Math	Indic	 B C Gupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_10_RCGupta.pdf	233.0		
IJHS-4-1969-Issue-1&2	Astronomy in Ancient and Medieval India	Astronomy	Indic	 K S Shukla	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_11_KSShukla.pdf	146.0		
IJHS-4-1969-Issue-1&2	A Historical Development of Certain Hindu Astronomical Processes	Astronomy	Indic	 T S K Shastri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_12_TSKShastri.pdf	482.0		
IJHS-4-1969-Issue-1&2	The System of the Vatesvara Siddhanta	Astronomy	Indic	 T S K Shastri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_13_TSKShastri.pdf	189.0		
IJHS-4-1969-Issue-1&2	Ahargana In Hindu Astronomy	Astronomy	Indic	 S P Bhattacharyya	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_14_SPBhattacharyya.pdf	221.0		
IJHS-4-1969-Issue-1&2	News	General	Other	 	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_15_News.pdf	36.0		
IJHS-4-1969-Issue-1&2	Book Review: Digestion and Metabolism in Ayurveda by C Dwarkanath	General	Other	 P V Sharma	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_16_Review.pdf	57.0		
IJHS-5-1970-Issue-1	Some Significant Aspects of The Origin and Development of Medicine in Ancient India	Medicine	Indic	 C Dwarkanath	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_1_CDwarkanath.pdf	325.0		
IJHS-5-1970-Issue-1	Contribution to the Fundamentala of Orthopaedic Surgery	Medicine	Indic	 P J Deshpande	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_2_PJDeshpande.pdf	525.0		
IJHS-5-1970-Issue-1	Susruta’s Contributions to the Fundamentals of Surgery	Medicine	Indic	 L M Singh	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_3_LMSingh.pdf	366.0		
IJHS-5-1970-Issue-1	The Theory of Pancamahabhuta with Special Reference to Ayurveda	Medicine	Indic	 D S Gaur	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_4_DSGaur.pdf	422.0		
IJHS-5-1970-Issue-1	Methodology for Experimental Research In Ancient India	Philosophy	Indic	 Jyotir Mitra	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_5_JMitra.pdf	215.0		
IJHS-5-1970-Issue-1	Medical Science and Dispensaries in Ancient South India as Gleaned From Epigraphy	Medicine	Indic	 S Gurumurthy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_6_SGurumurthy.pdf	97.0		
IJHS-5-1970-Issue-1	The Brahmanas on Medicine and Biological Sciences	Biology	Indic	 R S Shivaganesha Murthy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_7_RSSMurthy.pdf	116.0		
IJHS-5-1970-Issue-1	Medicine—As it Evolved in Ancient and Medieval India	Medicine	Indic	 Priyadaranjan Ray	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_8_PRay.pdf	289.0		
IJHS-5-1970-Issue-1	Human Anatomy According to the Agni Purana	Medicine	Indic	 B B Mishra	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_9_BBMishra.pdf	219.0		
IJHS-5-1970-Issue-1	Surgical Principles in the Sutrasthanam of the Susruta Samhita	Medicine	Indic	 R C Chakravorty	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_10_RCChakravorty.pdf	109.0		
IJHS-5-1970-Issue-1	Biology in Ancient and Medieval India	Biology	Indic	 R N Kapil	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_11_RNKapil.pdf	463.0		
IJHS-5-1970-Issue-1	Wood and its Use During Pre–and Proto–Historic Time	Other	Indic	 K A Chowdhury	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_12_KAChowdhury.pdf	53.0		
IJHS-5-1970-Issue-1	Biological Concepts and Agriculture in Ancient India	Agriculture	Indic	 Vishnu Mittre	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_13_VMittre.pdf	352.0		
IJHS-5-1970-Issue-1	Family Relations of Some Plants in The Atharvaveda	Biology	Indic	 Mira Roy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_14_MRoy.pdf	351.0		
IJHS-5-1970-Issue-1	History of Land Use in India	Agriculture	Indic	 S P Raychaudhuri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_15_SPRaychaudhuri.pdf	29.0		
IJHS-5-1970-Issue-1	Arbori–Horticulture in Ancient India	Agriculture	Indic	 M S Shukla	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_16_MSShukla.pdf	83.0		
IJHS-5-1970-Issue-2	Jaina Atomic Theory	Philosophy	Indic	 J C Sikdar	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_1_JCSikdar.pdf	488.0		
IJHS-5-1970-Issue-2	Concept of The Structure of Space–Time	Astronomy	Indic	 G N Chakravarthy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_2_GNChakravarthy.pdf	216.0		
IJHS-5-1970-Issue-2	Problem of Advent of Copper in India	Metallurgy	Indic	 H C Bhardwaj	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_3_HCBhardwaj.pdf	180.0		
IJHS-5-1970-Issue-2	Metal Technology of The Harappa Culture and Its Socio–Economic Implications	Metallurgy	Indic	 D P Agrawal	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_4_DPAgrawal.pdf	236.0		
IJHS-5-1970-Issue-2	Development of Technology During The Iron Age in South India	Metallurgy	Indic	 B K Gururaja Rao	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_5_BKGRao.pdf	388.0		
IJHS-5-1970-Issue-2	The Techniques of Colouring Glass and Ceramic Materials in Ancient and Medieval India	Metallurgy	Indic	 Mamata Chowdhury	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_6_MChoudhury.pdf	230.0		
IJHS-5-1970-Issue-2	Some Aspects of Glass Manufacturing in Ancient India	Metallurgy	Indic	 Vijay Govind	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_7_VGovind.pdf	521.0		
IJHS-5-1970-Issue-2	The South Indian Temple– Medium of Construction	Other	Indic	 T V Mahalingam	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_8_TVMahalingam.pdf	127.0		
IJHS-5-1970-Issue-2	A Brief Account of the Ancient Irrigation Engineering Systems Prevalent in South India	Other	Indic	 T M Srinivasan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_9_TMSrinivasan.pdf	216.0		
IJHS-5-1970-Issue-2	Influence of Mediterranean Culture Areas on Indian Science	Culture	Other	 Jean Filliozat	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_10_JFilliozat.pdf	123.0		
IJHS-5-1970-Issue-2	Influence of Indian Science on Other Culture Areas	Culture	Other	 S N Sen	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_11_SNSen.pdf	358.0		
IJHS-5-1970-Issue-2	The Growth of Greco–Arabian Medicine in Medieval India	Medicine	Indic	 R L Verma	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_12_RLVerma.pdf	402.0		
IJHS-5-1970-Issue-2	The Date of Dhanvantari Nighantu	Medicine	Indic	 P V Sharma	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_13_PVSharma.pdf	154.0		
IJHS-5-1970-Issue-2	Ideas of Scientific Measurement in Basic Principkles of Ayurveda with Special Reference to Somatometry	Medicine	Indic	 H C Shukla	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_14_HCShukla.pdf	160.0		
IJHS-5-1970-Issue-2	Water–Lifting Devices in Ancient India: Their Origin and Mechanisms	Agriculture	Indic	 T M Srinivasan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_15_TMSrinivasan.pdf	161.0		
IJHS-6-1971-Issue-1	Archaeological Sources for the Reconstruction of The History of Sciences of India	Other	Indic	 M N Deshpande	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_1_MNDeshpande.pdf	433.0		
IJHS-6-1971-Issue-1	Inluence of Certain Harappan Architectural Features on Some Texts of Early–Historical Period	Culture	Indic	 R Sengupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_2_RSengupta.pdf	94.0		
IJHS-6-1971-Issue-1	Karanasara of Vatesvara	Astronomy	Indic	 RN Rai	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vo0l6_1_3_RNRai.pdf	177.0		
IJHS-6-1971-Issue-1	The Concept of Tides in Ancient India	Other	Indic	 N K Panikkar	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_4_NKPanikkar.pdf	335.0		
IJHS-6-1971-Issue-1	Fractional Parts of Aryabhata's Sines and Certain Rules	Math	Indic	 R C Gupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_5_RCGupta.pdf	149.0		
IJHS-6-1971-Issue-1	Lucien Cayeux: A Challenger of the Principle of Uniformity in Geology?	Other	Western	 Albert V Carozzi	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_6_AVCarozzi.pdf	124.0		
IJHS-6-1971-Issue-1	Triamlla Bhatta: His Date and Works in 100 Verses	Other	Indic	 P V Sharma	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_7_PVSharma.pdf	172.0		
IJHS-6-1971-Issue-1	A Short History of the Meson Theory from 1935 to 1943_I	Other	Western	 V Mukherji	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_8_VMukherji.pdf	521.0		
IJHS-6-1971-Issue-1	Histrory of Sciences in india: Pali Sources	Other	Indic	 B M Chintamani and B V Subbarayyapa	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_9_BMChintamani.pdf	195.0		
IJHS-6-1971-Issue-1	Book Review	General	Other	 	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_10_BookReviews.pdf	63.0		
IJHS-6-1971-Issue-2	A Short History of the Meson Theory from 1935 to 1943_II	Other	Western	 V Mukherji	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_1_VMukherji.pdf	354.0		
IJHS-6-1971-Issue-2	The Extant Siddhanta Sekhra: An Error in one of its Sine Values	Math	Indic	 R N Rai	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_2_RNRai.pdf	70.0		
IJHS-6-1971-Issue-2	Exploration of Underground Water Springs According to the Ancient Hindus	Other	Indic	 E G K Rao	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_3_EGKRao.pdf	165.0		
IJHS-6-1971-Issue-2	The Ardharatrika System of Aryabhata I	Astronomy	Indic	 R N Rai	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_4_RNRai.pdf	123.0		
IJHS-6-1971-Issue-2	Sivadasa Sen— A Scholar Commentator on Indian Medicine of Later Medieval Period	Medicine	Indic	 G P Sharma and P V Sharma	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_5_GPSharma.pdf	278.0		
IJHS-6-1971-Issue-2	Notices of Thirteen Mss. In Prakrit	Linguistics	Indic	 B M Chintamani	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_6_BMChintamani.pdf	111.0		
IJHS-7-1972-Issue-1	Sine Values of the Vatesvara Siddhanta	Math	Indic	 R N Rai	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_1_RNRai.pdf	252.0		
IJHS-7-1972-Issue-1	Kappal Sattiram: A Tamil Treatise on Shipbuilding During the Seventeenth Century AD	Other	Indic	 N K Panikkar and T M Srinivasan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_2_NKPanikkar.pdf	216.0		
IJHS-7-1972-Issue-1	Calculation of Ahargana in the Vatesvara Siddhanta	Astronomy	Indic	 R N Rai	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_3_RNRai.pdf	311.0		
IJHS-7-1972-Issue-1	Botany in the Vedas (Part I)	Biology	Indic	 A L Sharma‚ A B Seerwani and V R Shastry	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_4_ALSharma.pdf	134.0		
IJHS-7-1972-Issue-1	Scientific Works in Sanskrit‚ Translated into Foreign Languages and Vice–Versa in the 18th and 19th Century AD	Other	Indic	 S N Sen	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_5_SNSen.pdf	531.0		
IJHS-7-1972-Issue-1	Notes: The Sine Table in Ancient India	Math	Indic	 A K Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_6_Notes_AKBag.pdf	66.0		
IJHS-7-1972-Issue-1	News: Symposium on Al–Biruni and the Indian Sciences	General	Other	 B V Subbarayappa	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_7_News.pdf	62.0		
IJHS-7-1972-Issue-1	Book Review: Teaching the History of Chemistry	General	Other	 A Rehman	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_8_BookReview.pdf	37.0		
IJHS-7-1972-Issue-2	Early Indians on Second Order Sine Differences	Math	Indic	 R C Gupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_1_RCGupta.pdf	132.0		
