m	s	im	is	confidence	edit_dist	i_edit_dist
जातिक्खेपनतो	सर्वजातिक्षेपणतः	jatikkhepanato	sarvajatikshepanatah	0.375	7	8
जातिधम्मो	जातिधर्मो	jatidhammo	jatidharmo	0.8888888888888888	1	1
जातिया	जातौ	jatiya	jatau	0.5	3	3
जानामि	जानामि	janami	janami	1.0	0	0
जानामी	जानामि	janami	janami	0.9166666666666666	1	0
जानासि	जानासि	janasi	janasi	1.0	0	0
जानाहि	जानीहि	janahi	janihi	0.8333333333333334	1	1
जानिस्सामि	जानिष्यामि	janissami	janishyami	0.8	2	2
जानेय्य	जानीयाः?	janeyya	janiyah?	0.4285714285714286	4	4
ञत्वा	गत्वा	~natva	gatva	0.7	1	2
ठपेत्वा	स्थापयित्वा	thapetva	sthapayitva	0.2857142857142857	6	4
ठितो	स्थितः	thito	sthitah	0.125	4	3
तं	तं	tam	tam	1.0	0	0
तज्जेत्वा	तर्जित्वा	tajjetva	tarjitva	0.7777777777777778	2	2
तञ्हि	तञ्हि	ta~nhi	ta~nhi	1.0	0	0
ततो	ततो	tato	tato	1.0	0	0
तत्थ	तत्र	tattha	tatra	0.625	1	2
तत्र	तत्र	tatra	tatra	1.0	0	0
तथा	तथा	tatha	tatha	1.0	0	0
तथाभावं	तथाभावं	tathabhavam	tathabhavam	1.0	0	0
तथारूपानं	तथारूपाणां	tatharupanam	tatharupanam	0.8888888888888888	2	0
तथासन्तंयेव	तथासन्तंयेव?	tathasantamyeva	tathasantamyeva?	0.9090909090909091	1	1
तथेव	तथैव	tatheva	tathaiva	0.625	1	2
तदवसरि	अवससार	tadavasari	avasasara	0.25	5	4
तदा	तदा	tada	tada	1.0	0	0
तदूपिका	तद्रूपिका	tadupika	tadrupika	0.7857142857142857	2	1
तप्पटिपक्सेन	तत्प्रतिपक्षेण	tappatipaksena	tatpratipakshena	0.625	6	3
तमहं	तमहं	tamaham	tamaham	1.0	0	0
तळाकं	तडागो	talakam	tadago	0.30000000000000004	3	4
तळाकस्स	तडागस्य	talakassa	tadagasya	0.5714285714285714	3	3
तव	तव	tava	tava	1.0	0	0
तवेव	तवैव	taveva	tavaiva	0.625	1	2
तव्हं	अहं	tavham	aham	0.5	3	2
तस्मिं	तस्मिन्	tasmim	tasmin	0.75	2	1
तस्स	तस्य	tassa	tasya	0.75	1	1
तस्सा	तस्या	tassa	tasya	0.8	1	1
तस्सिमानि	इमानि	tassimani	imani	0.5	5	4
तात	तात	tata	tata	1.0	0	0
तादिसो	यदि	tadiso	yadi	0.41666666666666663	4	3
तालेत्वा	ताडयित्वा	taletva	tadayitva	0.5625	3	4
ति	ति	ti	ti	1.0	0	0
ति?	इति?	ti?	iti?	0.6666666666666667	1	1
तिक्खत्तुं	कुक्षिं	tikkhattum	kukshim	0.30000000000000004	7	7
तिण्णं	तेन	tinnam	tena	0.33333333333333337	5	3
तिस्सा	इति	tissa	iti	0.25	5	4
तुम्हं	मुखं	tumham	mukham	0.5	4	2
तुम्हे	कुत्र	tumhe	kutra	0.33333333333333337	4	4
तुम्हेपि	अपि	tumhepi	api	0.3125	6	5
तूलयिं	अतूलयम्	tulayim	atulayam	0.5833333333333333	3	2
तूलयित्वा	तूलयित्वा	tulayitva	tulayitva	1.0	0	0
तूलेत्वा	तूलेत्वा	tuletva	tuletva	1.0	0	0
ते	ते	te	te	1.0	0	0
तेन	तेन	tena	tena	1.0	0	0
तेनस्सा	तेनास्याः	tenassa	tenasyah	0.6428571428571428	3	2
तेनुपसङ्कम	उपसङ्क्रम	tenupasa~nkama	upasa~nkrama	0.5	6	4
तेनुपसङ्कमि	तेनुपसङ्कमि	tenupasa~nkami	tenupasa~nkami	1.0	0	0
तेनुपसङ्कमिंसु	उपसङ्क्रम्य	tenupasa~nkamimsu	upasa~nkramya	0.3928571428571429	9	8
तेनेव	तेनैवो	teneva	tenaivo	0.5	2	3
तेविज्‍जके	त्रैविद्यके	tevij{}jake	traividyake	0.4	6	6
तेसं	तेषां	tesam	tesham	0.625	2	1
त्तित्वा	अस्मिन्	ttitva	asmin	0.25	6	6
त्वं	त्वं	tvam	tvam	1.0	0	0
थामसम्पन्नो	स्थामसम्पन्नः	thamasampanno	sthamasampannah	0.7272727272727273	3	3
थोकं	स्तोकं	thokam	stokam	0.375	3	2
दक्षिणपस्सं	दक्षिणपार्श्वं	dakshinapassam	dakshinaparshvam	0.6363636363636364	5	3
दत्त्वा	दत्त्वा	dattva	dattva	1.0	0	0
दस्सनं	दर्शनं	dassanam	darshanam	0.6666666666666667	2	2
दस्सनाय	दस्सनाय	dassanaya	dassanaya	1.0	0	0
दस्ससि	दास्यसि	dassasi	dasyasi	0.75	2	1
दस्सामी	दास्यामि	dassami	dasyami	0.7142857142857143	3	1
दस्सेत्वा	दर्शयित्वा	dassetva	darshayitva	0.5	4	5
दस्सेन्तो	दर्शयन्	dassento	darshayan	0.38888888888888884	5	6
दाता	दाता	data	data	1.0	0	0
दायकत्तं	दायकत्वं	dayakattam	dayakatvam	0.875	1	1
दिन्‍नं	देयं	din{}nam	deyam	0.2857142857142857	5	5
दिवसे	दिवसे	divase	divase	1.0	0	0
दिव्बसयनं	दिव्यशयनं	divbasayanam	divyashayanam	0.7777777777777778	2	2
दिव्यवत्थं	दिव्यवस्त्रं	divyavattham	divyavastram	0.75	3	2
दिव्व	निवास्य	divva	nivasya	0.19999999999999996	4	4
दिस्वा	दुष्ट्वा	disva	dushtva	0.41666666666666663	4	3
दिस्सति	दृश्यते	dissati	drrishyate	0.3571428571428571	4	5
दिस्सतीति	इति	dissatiti	iti	0.2777777777777778	7	6
दीघनिकाये	दीर्घनिकाये	dighanikaye	dirghanikaye	0.8333333333333334	2	1
दीपकस्स	द्वीपकस्य	dipakassa	dvipakasya	0.6428571428571428	3	2
दीपका	गत्वा	dipaka	gatva	0.09999999999999998	4	5
दीपके	द्वीपके	dipake	dvipake	0.7	2	1
दीपको	द्वीपको	dipako	dvipako	0.7	2	1
दुक्खं	दुःखं	dukkham	duhkham	0.75	2	1
दुक्खस्स	दुःखस्य	dukkhassa	duhkhasya	0.6875	3	2
दुक्खो	दुःखः	dukkho	duhkhah	0.5	3	3
दुक्‍कटस्स	दुष्कृतस्य	duk{}katassa	dushkrritasya	0.4	5	7
दुग्गतकुलस्स	दुर्गंतकुलस्य	duggatakulassa	durgamtakulasya	0.75	3	3
दुभ्गतकुले	दुर्गतकुले	dubhgatakule	durgatakule	0.85	1	2
दुम्मनो	दुर्मनः	dummano	durmanah	0.6428571428571428	2	3
दूरतोव	दूरत	duratova	durata	0.6666666666666667	2	2
दूसेन्ति	दूषयन्ति	dusenti	dushayanti	0.625	2	4
देवमनुस्सानं	देवमनुष्याणां	devamanussanam	devamanushyanam	0.75	4	2
देवमनुस्सेसु	देवमनुष्येषु	devamanussesu	devamanushyeshu	0.75	3	3
देविं	देव्यः	devim	devyah	0.4	3	3
देविया	देव्यास्ते	deviya	devyaste	0.25	5	4
देवियो	देव्यः	deviyo	devyah	0.5833333333333333	2	3
देवी	देवी	devi	devi	1.0	0	0
देसदेसन्तरसम्मन्तनेसु	सम्मन्तनेषु?	desadesantarasammantanesu	sammantaneshu?	0.3571428571428571	12	15
देसेति	देशति	deseti	deshati	0.6666666666666667	2	2
देसेत्वा	दिष्वा	desetva	dishva	0.5625	4	3
दोसो	दोषः	doso	doshah	0.375	2	3
दोहळो	दोहद	dohalo	dohada	0.6	2	2
द्वत्तिंस	द्वात्रिंशत्	dvattimsa	dvatrimshat	0.5555555555555556	5	3
द्वादसमे	द्वादश	dvadasame	dvadasha	0.625	3	3
द्वे	द्वौ	dve	dvau	0.625	1	2
द्वेयेव	येव	dveyeva	yeva	0.5	4	3
धम्मं	धर्मं	dhammam	dharmam	0.8	1	1
धम्मदानं	धर्मदानं	dhammadanam	dharmadanam	0.875	1	1
धम्मदानगहणे	धर्मदानग्रहणे	dhammadanagahane	dharmadanagrahane	0.7727272727272727	3	2
धम्मदानसङ्गहं	धर्मदानसङ्घं	dhammadanasa~ngaham	dharmadanasa~ngham	0.8076923076923077	3	2
धम्मदानसङ्गहमारब्भ	धर्मदानसङ्घम्	dhammadanasa~ngahamarabbha	dharmadanasa~ngham	0.5555555555555556	7	9
धम्मदानसङ्गहे	धर्मदानसङ्घे	dhammadanasa~ngahe	dharmadanasa~nghe	0.8076923076923077	3	2
धम्मराजा	धर्मराजः	dhammaraja	dharmarajah	0.75	2	2
धम्मस्स	धर्मस्य	dhammassa	dharmasya	0.7142857142857143	2	2
धम्मारामत्थेरस्स	धर्मारामस्थाविरस्य	dhammaramattherassa	dharmaramasthavirasya	0.625	6	6
धम्मारामत्थेरो	धर्माराम	dhammaramatthero	dharmarama	0.5	7	7
धम्मिं	धर्मिणीं	dhammim	dharminim	0.5	3	3
धम्मिको	धार्मिकः	dhammiko	dharmikah	0.5714285714285714	3	3
धम्मे	धर्मे	dhamme	dharme	0.8	1	1
धम्मेन	धर्मेन	dhammena	dharmena	0.8333333333333334	1	1
धम्मेहि	धर्मैः	dhammehi	dharmaih	0.4285714285714286	4	4
धम्मो	जराधर्मो	dhammo	jaradharmo	0.09999999999999998	4	5
धोता	दुहिता	dhota	duhita	0.25	4	2
न	न	na	na	1.0	0	0
नं	मां	nam	mam	0.25	2	1
नक्खत्तं	नक्षत्रं	nakkhattam	nakshatram	0.75	2	2
नक्खत्तकीळं	नक्षत्रक्रीडाम्	nakkhattakilam	nakshatrakridam	0.4545454545454546	8	4
नत्थि	नास्ति	natthi	nasti	0.5	3	2
नत्थी	अर्थं	natthi	artham	0.30000000000000004	3	4
नदित्वा	नदित्वा	naditva	naditva	1.0	0	0
नदिया	नद्याः	nadiya	nadyah	0.6	2	2
नदीतीरे	नदीतीरे	naditire	naditire	1.0	0	0
नदीमज्झे	नदीमध्ये	nadimajjhe	nadimadhye	0.6875	2	3
नन्दे	नन्दे	nande	nande	1.0	0	0
नयेन	नयेन	nayena	nayena	1.0	0	0
नहापेत्वा	स्नापयित्वा	nahapetva	snapayitva	0.5	5	4
नहायित्वा	स्नात्वा	nahayitva	snatva	0.4444444444444444	5	5
नागबलो	नागबलः	nagabalo	nagabalah	0.75	1	2
नाणपरियाकं	ज्ञानपरिपाकं	nanapariyakam	j~nanaparipakam	0.6	5	3
नानप्पकारानि	नानाप्रकाराणि	nanappakarani	nanaprakarani	0.8333333333333334	3	1
नानप्पकाहि	नानाप्रकारैः	nanappakahi	nanaprakaraih	0.55	5	4
नानाकुला	नानाकुलाः	nanakula	nanakulah	0.875	1	1
नानागोत्ता	नानागोत्राः	nanagotta	nanagotrah	0.8	2	2
नानाजच्‍चा	नानाजात्याः	nanajach{}cha	nanajatyah	0.44999999999999996	5	6
नानानामा	नानानामानः	nananama	nananamanah	0.6875	2	3
नानारतनानि	नानारत्नानि	nanaratanani	nanaratnani	0.9	1	1
नाम	नाम	nama	nama	1.0	0	0
नामेसा	नाम	namesa	nama	0.5833333333333333	3	2
नाहं	नाहं	naham	naham	1.0	0	0
निक्खम्म	निष्क्रम्य	nikkhamma	nishkramya	0.5	4	4
निगमनं	निगमनं	nigamanam	nigamanam	1.0	0	0
निगमनवसेन	निगमनवशेन	nigamanavasena	nigamanavashena	0.8888888888888888	1	1
निद्दं	निपन्ना	niddam	nipanna	0.25	4	5
निद्देसे	निर्देशे	niddese	nirdeshe	0.75	2	2
निपज्जि	न्यपादि	nipajji	nyapadi	0.3571428571428571	5	4
निपञ्जापेसुं	प्रज्ञाप्य	nipa~njapesum	praj~napya	0.25	9	9
निपतति	निपतति	nipatati	nipatati	1.0	0	0
निपन्ना	निपन्ना	nipanna	nipanna	1.0	0	0
निब्ब	स	nibba	sa	0.09999999999999998	5	4
निब्बत्त	निर्वृत्त	nibbatta	nirvrritta	0.5	3	5
निब्बत्तट्टाने	निर्वृत्तस्थाने	nibbattattane	nirvrrittasthane	0.5714285714285714	5	7
निब्बत्ति	गौतमी	nibbatti	gautami	0.2222222222222222	8	6
निब्बत्तित्वा	निर्वृत्य	nibbattitva	nirvrritya	0.46153846153846156	8	6
निब्बा	निर्वा	nibba	nirva	0.6666666666666667	2	2
निब्बान	न	nibbana	na	0.2142857142857143	6	5
निब्बानगामिना	निर्वाणगामिना	nibbanagamina	nirvanagamina	0.8076923076923077	3	2
निब्बानगामिनि	निर्वाणगामिनि	nibbanagamini	nirvanagamini	0.8076923076923077	3	2
निब्बानेनापि	निर्वाणेनापि	nibbanenapi	nirvanenapi	0.7916666666666666	3	2
निमीलन्ति	निमीलतः	nimilanti	nimilatah	0.6666666666666667	3	3
निमीलेत्वा	निमील्य	nimiletva	nimilya	0.65	4	3
निमुग्गेन	निमग्नेन	nimuggena	nimagnena	0.7777777777777778	2	2
नियमेन	नियमेन	niyamena	niyamena	1.0	0	0
निरुत्ति	निरुक्तिः	nirutti	niruktih	0.75	2	2
निरुत्तिया	निरुक्त्या	niruttiya	niruktya	0.8	2	2
निरुत्तियाति	निरुक्त्या	niruttiyati	niruktya	0.6666666666666667	4	4
निवासापेत्वा	निवास्य	nivasapetva	nivasya	0.5416666666666667	6	5
निसिन्नानं	आसनानि	nisinnanam	asanani	0.4	6	6
निसिन्नो	नाम	nisinno	nama	0.1875	7	6
निसिन्‍ना	निषण्णौ	nisin{}na	nishannau	0.38888888888888884	6	5
निसिन्‍नो	निषिण्णः	nisin{}no	nishinnah	0.4444444444444444	5	5
निसीदि	निषीदत्?	nisidi	nishidat?	0.33333333333333337	4	4
निसीदिंसु	निषेदतुः	nisidimsu	nishedatuh	0.33333333333333337	6	6
निसीदित्वा	निषद्य	nisiditva	nishadya	0.44999999999999996	6	5
नु	नु	nu	nu	1.0	0	0
नेतं	नेदं	netam	nedam	0.75	1	1
नेत्वा	नीत्वा	netva	nitva	0.8333333333333334	1	1
नेनापि	णेनापि	nenapi	nenapi	0.9166666666666666	1	0
नेस्सामी	नेष्यामि	nessami	neshyami	0.6875	3	2
नेहि	हि	nehi	hi	0.5	2	2
नो	नो	no	no	1.0	0	0
न्ति	इति	nti	iti	0.625	2	1
न्ति?	इति?	nti?	iti?	0.7	2	1
पकासेति	प्रकाशेति	pakaseti	prakasheti	0.6428571428571428	3	2
पकासेन्तो	प्रकाशयन्	pakasento	prakashayan	0.33333333333333337	6	6
पक्कोसा	राजा	pakkosa	raja	0.2142857142857143	6	5
पच्चागन्त्वा	प्रत्यागत्य	pachchagantva	pratyagatya	0.375	8	7
पच्चामित्ते	अस्मिन्	pachchamitte	asmin	0.2727272727272727	7	9
पच्‍चोरोहित्वा	पच्‍चोरोहित्वा	pach{}chorohitva	pach{}chorohitva	1.0	0	0
पजं	प्रजां	pajam	prajam	0.33333333333333337	3	1
पञ्चवण्णपदुमसञ्छन्नं	पञ्चवर्णपद्मसञ्छन्नं	pa~nchavannapadumasa~nchannam	pa~nchavarnapadmasa~nchannam	0.9	2	2
पञ्झायन्तो	पराजितः	pa~njhayanto	parajitah	0.25	7	8
पञ्ञा	प्रज्ञा	pa~n~na	praj~na	0.4	3	3
पञ्ञापेत्वा	प्रज्ञाप्य	pa~n~napetva	praj~napya	0.40909090909090906	7	6
पञ्‍चमत्तेहि	पञ्चमात्रैः	pa~n{}chamattehi	pa~nchamatraih	0.5	6	6
पटि	परि	pati	pari	0.6666666666666667	1	1
पटिकुञ्जेत्वा	पूरयित्वा	patiku~njetva	purayitva	0.3846153846153846	8	8
पटिग्गहेता	पाठगृहीता	patiggaheta	pathagrrihita	0.44999999999999996	5	6
पटिपक्खभूतो	प्रतिपक्षभूतः	patipakkhabhuto	pratipakshabhutah	0.5909090909090908	5	4
पटिपखभूतं	प्रतिपक्षभूतं	patipakhabhutam	pratipakshabhutam	0.5555555555555556	6	2
पटिसन्धिं	प्रतिसन्धिम्	patisandhim	pratisandhim	0.6666666666666667	5	1
पटिसन्धिगहणं	प्रतिसन्धिग्रहणं	patisandhigahanam	pratisandhigrahanam	0.7083333333333333	5	2
पटिस्सुत्वा	पटिश्रुत्वा	patissutva	patishrutva	0.8181818181818181	2	2
पट्ठाय	प्रस्थाय	patthaya	prasthaya	0.5	4	2
पण्डित	पण्डित	pandita	pandita	1.0	0	0
पण्डिता	पण्डिताः	pandita	panditah	0.8571428571428572	1	1
पण्डितो	पण्डितः	pandito	panditah	0.7857142857142857	1	2
पतंति	पतति	patamti	patati	0.8	1	1
पतिकुलं	पतिकुलं	patikulam	patikulam	1.0	0	0
पतिद्वापेसि	सत्त्वानि	patidvapesi	sattvani	0.4545454545454546	6	6
पत्तं	पत्रं	pattam	patram	0.8	1	1
पत्तन्ति	पात्रम्	pattanti	patram	0.4375	5	4
पत्तिकोव	पत्तिकोव	pattikova	pattikova	1.0	0	0
पथविं	पृथिवीं	pathavim	prrithivim	0.30000000000000004	3	4
पदको	पदको?	padako	padako?	0.75	1	1
पदक्खिणं	प्रदक्षिणं	padakkhinam	pradakshinam	0.6875	3	2
पदिक्खिणं	प्रदक्षिणां	padikkhinam	pradakshinam	0.5555555555555556	5	3
पदेसे	प्रदेशे	padese	pradeshe	0.5	3	2
पन	पन	pana	pana	1.0	0	0
पनसेहि	पनसैः	panasehi	panasaih	0.5	3	3
पनस्स	अस्य	panassa	asya	0.30000000000000004	3	4
पनस्सा	पुनरस्याः	panassa	punarasyah	0.25	4	5
पनाहं	पुनरहं	panaham	punaraham	0.5	2	3
पबुद्धा	प्रबुद्धा	pabuddha	prabuddha	0.7857142857142857	2	1
पब्बजति	प्रव्रजति	pabbajati	pravrajati	0.5	4	3
पब्बजिता	प्रव्रजिताः	pabbajita	pravrajitah	0.4375	5	4
पब्बजितो	प्रव्रजितः	pabbajito	pravrajitah	0.375	5	5
पयोगसिद्धिब्याकरणञ्च	प्रयोगसिद्धिव्याकरणं	payogasiddhibyakarana~ncha	prayogasiddhivyakaranam	0.675	6	7
परतीरे	परतीरे	paratire	paratire	1.0	0	0
परयेसने	पर्येषणे	parayesane	paryeshane	0.6428571428571428	3	2
परसेनप्पमद्दना	परसेनप्रमर्दना	parasenappamaddana	parasenapramardana	0.8571428571428572	2	2
पराजितो	पराजितः	parajito	parajitah	0.7857142857142857	1	2
परिणायकरतनमेव	परिणायकरत्नम्	parinayakaratanameva	parinayakaratnam	0.7307692307692308	3	4
परिदीपितं	परिदीपितम्	paridipitam	paridipitam	0.8888888888888888	2	0
परिधावित्वा	परिधाव्य	paridhavitva	paridhavya	0.6818181818181819	4	3
परिभवप्पत्ता	परिभवप्राप्त	paribhavappatta	paribhavaprapta	0.75	4	2
परियापुणितु	पर्याप्नोति”	pariyapunitu	paryapnoti”	0.5	6	5
परियायेन	दर्शयति	pariyayena	darshayati	0.25	6	6
परियेसन	पर्येषण	pariyesana	paryeshana	0.6428571428571428	3	2
परियेसनं	पर्येषणं	pariyesanam	paryeshanam	0.6875	3	2
परियेसनविसयभूमि	पर्येषणविषयभूमिः	pariyesanavisayabhumi	paryeshanavishayabhumih	0.7	5	4
परियेसनविसये	पर्येषणविषये	pariyesanavisaye	paryeshanavishaye	0.7083333333333333	4	3
परियेसिकानं	पर्येषकानां	pariyesikanam	paryeshakanam	0.6818181818181819	4	3
परियेसितुं	पर्येषितुं	pariyesitum	paryeshitum	0.8	2	2
परियोसानकल्याणं	पर्यवसानकल्याणं	pariyosanakalyanam	paryavasanakalyanam	0.8	2	4
परिर्भावसु	परा	parirbhavasu	para	0.25	7	8
परिवारभूतं	परिवारभूतं	parivarabhutam	parivarabhutam	1.0	0	0
परिवारेत्वा	परिवार्यं	parivaretva	parivaryam	0.6363636363636364	4	4
परिसुद्धं	परिशुद्धं	parisuddham	parishuddham	0.8888888888888888	1	1
परोसहस्सं	सहस्रं	parosahassam	sahasram	0.5	4	5
पलायति	पलायते	palayati	palayate	0.8333333333333334	1	1
पलायनमग्गे	पलायनमार्गे	palayanamagge	palayanamarge	0.85	2	1
पल्लङ्कं	पर्यंङ्कम्	palla~nkam	paryam~nkam	0.5	5	3
पवत्तितस्स	प्रवर्तितस्य	pavattitassa	pravartitasya	0.65	4	3
पविट्ठसदिसो	प्रविष्टसदृशोऽ	pavitthasadiso	pravishtasadrrisho.a	0.2727272727272727	7	9
पविसित्वा	ताडयित्वा	pavisitva	tadayitva	0.5555555555555556	4	4
पवेदेति	प्रवेदति	pavedeti	pravedati	0.6428571428571428	3	2
पसन्नं	प्रसन्नम्	pasannam	prasannam	0.5833333333333333	4	1
पसादाय…पे॰…	प्रसादाय…पे॰…	pasadaya…pe॰…	prasadaya…pe॰…	0.8636363636363636	2	1
पसेनदिना	प्रसेनजिता	pasenadina	prasenajita	0.5625	4	3
पस्स	पश्य	passa	pashya	0.5	2	2
पस्सेतानि	पश्यैतानि	passetani	pashyaitani	0.6111111111111112	3	4
पाचीनसीसकं	शीर्षकं	pachinasisakam	shirshakam	0.30000000000000004	7	7
पाटिया	पाट्या	patiya	patya	0.8333333333333334	1	1
पातो	प्रातः	pato	pratah	0.25	3	3
पापकस्स	पापकस्य	papakassa	papakasya	0.8571428571428572	1	1
पापिकाय	पापिकायां	papikaya	papikayam	0.7857142857142857	2	1
पायासि	पायासि	payasi	payasi	1.0	0	0
पारं	पारं	param	param	1.0	0	0
पारगङ्गाय	पारेगङ्गायाम्	paraga~ngaya	parega~ngayam	0.6666666666666667	4	2
पारगू	पारगः	paragu	paragah	0.7	1	2
पालिं	पाळिं	palim	palim	0.9	1	0
पाऴि	पाळि	pazhi	pali	0.625	1	2
पाऴिं	पाळिं	pazhim	palim	0.7	1	2
पाऴिअङ्गली	आङ्ग्लीय	pazhia~ngali	a~ngliya	0.25	7	8
पाऴिगन्थसमितिं	पाळिग्रन्थसमितिं	pazhiganthasamitim	paligranthasamitim	0.7857142857142857	3	3
पाऴिभासं	पाळिभाषां	pazhibhasam	palibhasham	0.625	3	3
पाऴिभासा	पाळिभाषा	pazhibhasa	palibhasha	0.6875	2	3
पाऴिभासाय	पाळिभाषया	pazhibhasaya	palibhashaya	0.6111111111111112	4	3
पाऴिभासायेव	पाळिभाषया	pazhibhasayeva	palibhashaya	0.5454545454545454	5	5
पाऴिसाहिच्चं	पाळिसाहित्यं	pazhisahichcham	palisahityam	0.625	3	6
पाऴिसाहिच्चमारब्भ	पाळिसाहित्यमारब्भ?	pazhisahichchamarabbha	palisahityamarabbha?	0.6764705882352942	4	7
पाऴिसाहिच्चस्स	पाळिसाहित्यस्य	pazhisahichchassa	palisahityasya	0.6071428571428572	4	7
पावचने	प्रवचने	pavachane	pravachane	0.75	2	1
पाविसि	पाविसि	pavisi	pavisi	1.0	0	0
पिट्ठि	इति	pitthi	iti	0.33333333333333337	5	3
पिट्ठितो	पृष्ठत	pitthito	prrishthata	0.375	4	6
पिट्ठिपासाणो	पृष्टिपाषाणः	pitthipasano	prrishtipashanah	0.45833333333333337	5	8
पिथीयिसुं	अथास्य	pithiyisum	athasya	0.2222222222222222	7	7
पिलन्धापेत्वा	स्नापयित्वा	pilandhapetva	snapayitva	0.42307692307692313	7	8
पुग्गलस्सेव	पुद्गलस्यैव	puggalasseva	pudgalasyaiva	0.6818181818181819	3	4
पुग्गलो	पुरुषः	puggalo	purushah	0.2142857142857143	5	6
पुच्छि	इति	puchchi	iti	0.08333333333333337	5	6
पुण्णमाय	पूर्णिमायाः	punnamaya	purnimayah	0.5	5	3
पुत्तं	पुत्रं	puttam	putram	0.8333333333333334	1	1
पुत्तलाभेन	पुत्रलाभेन	puttalabhena	putralabhena	0.9	1	1
पुत्तस्स	पुत्रस्य	puttassa	putrasya	0.75	2	2
पुत्ता	पित्राः	putta	pitrah	0.5	3	3
पुत्तो	पुत्रः	putto	putrah	0.5833333333333333	2	3
पुन	पुनः	puna	punah	0.6666666666666667	1	1
पुनदिवसे	पुनर्दिवसेऽपि	punadivase	punardivase.api	0.375	5	5
पुनब्भवे	पुनर्भवे	punabbhave	punarbhave	0.875	1	1
पुप्फानि	पिनाह्य	pupphani	pinahya	0.1875	7	6
पुब्बे	अहं	pubbe	aham	0.08333333333333337	6	5
पुरिमतरमेव	पुरिमतरम्?	purimatarameva	purimataram?	0.75	2	3
पुरिसगब्भो	पुरुषगर्भः	purisagabbho	purushagarbhah	0.55	4	5
पुरिसदम्मसारथि	पुरुषदम्मसारथिः	purisadammasarathi	purushadammasarathih	0.7857142857142857	3	3
पुरिसस्स	पुरुषस्य	purisassa	purushasya	0.625	3	3
पुरिसस्सेव	पुरुषस्यैव	purisasseva	purushasyaiva	0.55	4	5
पुरिसेन	पुरुषेण	purisena	purushena	0.6428571428571428	3	2
पुरिसो	पुरुषो	puriso	purusho	0.6666666666666667	2	2
पुरे	पुरः	pure	purah	0.625	1	2
पूरेत्वा	पूरयित्वा	puretva	purayitva	0.6875	2	3
पूर्ति	पूर्ति	purti	purti	1.0	0	0
पेत्वा	राजा	petva	raja	0.25	5	4
पेसेतब्बं	इत्य	pesetabbam	itya	0.16666666666666663	7	8
पेसेसि	वारे	pesesi	vare	0.16666666666666663	5	5
पोक्खरसाति	पुष्करसातिः	pokkharasati	pushkarasatih	0.55	4	5
पोक्खरसातिं	पुष्करसातिं?	pokkharasatim	pushkarasatim?	0.5909090909090908	4	5
पोक्खरसातिवत्थु	पुष्करसारिः?	pokkharasativatthu	pushkarasarih?	0.3666666666666667	9	10
पोक्खरसातिस्स	पुष्करसातेः	pokkharasatissa	pushkarasateh	0.42307692307692313	7	8
पोक्खरसाती	पुष्करसारिः	pokkharasati	pushkarasarih	0.4	6	6
पोक्खरसादि	पुष्करसारिः	pokkharasadi	pushkarasarih	0.44999999999999996	5	6
प्रबजिस्सति	प्रव्रजिष्यति	prabajissati	pravrajishyati	0.5909090909090908	5	4
प्रविसित्वा	प्रविश्य	pravisitva	pravishya	0.6363636363636364	5	3
फक्कफलपिण्डिसम्पन्नं	पक्वफलपिण्डिसम्पन्नं	phakkaphalapindisampannam	pakvaphalapindisampannam	0.9	2	2
फलरुक्खेहि	फलवृक्षैः	phalarukkhehi	phalavrrikshaih	0.35	6	7
फलानि	फलानि	phalani	phalani	1.0	0	0
फलाफलं	फलाफलं	phalaphalam	phalaphalam	1.0	0	0
बत	बत	bata	bata	1.0	0	0
बहू	बहूनि	bahu	bahuni	0.33333333333333337	2	2
बालसुंसुमार	बालशिशुमार	balasumsumara	balashishumara	0.6818181818181819	4	3
बालो	बालोऽसि	balo	balo.asi	0.125	3	4
बुद्धगुणकथायं	बुद्धगुणकथां	buddhagunakathayam	buddhagunakatham	0.8846153846153846	1	2
बुद्धचरितं	बुद्धचरितम्	buddhacharitam	buddhacharitam	0.9	2	0
बुद्धपट्टानं	बुद्धोपस्थान	buddhapattanam	buddhopasthana	0.6666666666666667	4	4
बुद्धप्पादे	बुद्धोत्पादे	buddhappade	buddhotpade	0.8181818181818181	2	2
बुद्धवचनं	बुद्धवचनं	buddhavachanam	buddhavachanam	1.0	0	0
बुद्धस्स	बुद्धस्य	buddhassa	buddhasya	0.875	1	1
बुद्धिं	बुद्धिम्	buddhim	buddhim	0.8571428571428572	2	0
बुद्धुपट्टानं	बुद्धोपस्थानं	buddhupattanam	buddhopasthanam	0.7692307692307692	3	3
बुद्धो	बुद्धो	buddho	buddho	1.0	0	0
बेदानं	वेदानां	bedanam	vedanam	0.75	2	1
बोधिसत्तो	बोधिसत्त्वो	bodhisatto	bodhisattvo	0.8333333333333334	2	1
बोन्दि	न	bondi	na	0.25	5	4
ब्याकरणं	व्याकरणं	byakaranam	vyakaranam	0.875	1	1
ब्याकरणसम्पदायो	व्याकरणसम्प्रदायः	byakaranasampadayo	vyakaranasampradayah	0.7333333333333334	4	4
ब्यापितं	व्यापितम्	byapitam	vyapitam	0.75	3	1
ब्रह्मचरियं	ब्रह्मचर्यं	brahmachariyam	brahmacharyam	0.9090909090909091	1	1
