nid,naks,gname,sname,hip
N18-Jye,ज्येष्ठा,* alf Sco,Antares,HIP 80763
N18-Jye,ज्येष्ठा,* eps Sco,Larawag,HIP 82396
N18-Jye,ज्येष्ठा,* sig Sco,Alniyat,HIP 80112
N18-Jye,ज्येष्ठा,* tau Sco,Alniyat II,HIP 81266
N19-Mul,मूलं,* lam Sco,Shaula,HIP 85927
N19-Mul,मूलं,* tet Sco,Sargas,HIP 86228
N19-Mul,मूलं,* nu Sco,Lesath,HIP 85696
N19-Mul,मूलं,* zet2 Sco,zet2Sco,HIP 82729
N19-Mul,मूलं,* iot1 Sco,Girtab,HIP 87073
N19-Mul,मूलं,* kap Sco,Mula,HIP 86670
N20-PAsh,पूर्वाषाढा,* eps Sgr,Kaus Australis,HIP 90185
N20-PAsh,पूर्वाषाढा,* gam Sgr,Alnasl,HIP 88635
N20-PAsh,पूर्वाषाढा,* del Sgr,Kaus Media,HIP 89931
N20-PAsh,पूर्वाषाढा,* lam Sgr,Kaus Borealis,HIP 90496
N21-UAsh,उत्तराषाढा,* sig Sgr,Nunki,HIP 92855
N21-UAsh,उत्तराषाढा,* phi Sgr,Namalsadirah I,HIP 92041
N21-UAsh,उत्तराषाढा,* zet Sgr,Ascella,HIP 93506
N21-UAsh,उत्तराषाढा,* tau Sgr,Namalsadirah II,HIP 93864
N28-Abh,Abh,* alf Lyr,Vega,HIP 91262
N28-Abh,Abh,* eps1 Lyr,Double Double I,HIP 91919
N28-Abh,Abh,* zet1 Lyr,Nasr Alwaki,HIP 91971
N22-Shr,श्रवणः,* alf Aql,Altair,HIP 97649
N22-Shr,श्रवणः,* gam Aql,Tarazed,HIP 97278
N22-Shr,श्रवणः,* bet Aql,Alshain,HIP 98036
N23-Dha,धनिष्ठा,* alf Del,Sualocin,HIP 101958
N23-Dha,धनिष्ठा,* eps Del,Aldulfin,HIP 101421
N23-Dha,धनिष्ठा,* bet Del,Rotanev,HIP 101769
N23-Dha,धनिष्ठा,* del Del,Al Ukud,HIP 102281
N23-Dha,धनिष्ठा,* gam2 Del,Al Salib,HIP 102532
N24-Sha,शतभिषक्,* lam Aqr,Hydor,HIP 112961
N25-PBha,पूर्वाभाद्रपदा,* alf Peg,Markab,HIP 113963
N25-PBha,पूर्वाभाद्रपदा,* bet Peg,Scheat,HIP 113881
N26-UBha,उत्तराभाद्रपदा,* alf And,Alpheratz,HIP 677
N26-UBha,उत्तराभाद्रपदा,* gam Peg,Algenib,HIP 1067
N26-UBha,उत्तराभाद्रपदा,* lam Peg,Sadalnazi,HIP 112440
N27-Rev,रेवती,* alf Psc,Alrescha,HIP 9487
N27-Rev,रेवती,* eps Psc,epsPsc,HIP 4906
N01-Ash,अश्विनी,* alf Ari,Hamal,HIP 9884
N01-Ash,अश्विनी,* bet Ari,Sheratan,HIP 8903
N01-Ash,अश्विनी,* gam Ari,Mesarthim,HIP 8832
N02-Bha,भरणी,* 41 Ari,Bharani,HIP 13209
N02-Bha,भरणी,* 31 Ari,31Ari,HIP 12153
N02-Bha,भरणी,* 35 Ari,Barani II,HIP 12719
