nid,gname,raJ2000,decJ2000,daynum,jd,iso,az,alt
N01-Ash,β Ari,28.660045789,20.808031472,25,990599.5783233102,-2000-01-26 01:52:47.134,82.06520083438222,-16.005956184341105
N01-Ash,β Ari,28.660045789,20.808031472,26,990600.5780728125,-2000-01-27 01:52:25.491,82.52322740231723,-15.227073888843979
N01-Ash,β Ari,28.660045789,20.808031472,27,990601.5775718056,-2000-01-28 01:51:42.204,82.93226693551664,-14.526175953366014
N01-Ash,β Ari,28.660045789,20.808031472,28,990602.5773213079,-2000-01-29 01:51:20.561,83.38441701514574,-13.74579637729876
N01-Ash,β Ari,28.660045789,20.808031472,29,990603.5768203125,-2000-01-30 01:50:37.275,83.78849171567862,-13.043634141888573
N01-Ash,β Ari,28.660045789,20.808031472,30,990604.5763193056,-2000-01-31 01:49:53.988,84.19042848488398,-12.340936934926702
N01-Ash,β Ari,28.660045789,20.808031472,31,990605.5758182986,-2000-02-01 01:49:10.701,84.59036509268591,-11.637737963404767
N01-Ash,β Ari,28.660045789,20.808031472,32,990606.5753173032,-2000-02-02 01:48:27.415,84.9884374671672,-10.934070139395613
N01-Ash,β Ari,28.660045789,20.808031472,33,990607.5748162963,-2000-02-03 01:47:44.128,85.38477373252594,-10.229977043775627
N01-Ash,β Ari,28.660045789,20.808031472,34,990608.5743153009,-2000-02-04 01:47:00.842,85.77950884023133,-9.525487344325931
N01-Ash,β Ari,28.660045789,20.808031472,35,990609.573814294,-2000-02-05 01:46:17.555,86.1727682661775,-8.820644041286666
N01-Ash,β Ari,28.660045789,20.808031472,36,990610.5733132986,-2000-02-06 01:45:34.269,86.56468448978224,-8.115475209037694
N01-Ash,β Ari,28.660045789,20.808031472,37,990611.5728122917,-2000-02-07 01:44:50.982,86.95538060196886,-7.410023224081094
N01-Ash,β Ari,28.660045789,20.808031472,38,990612.5723112847,-2000-02-08 01:44:07.695,87.34498432487571,-6.704319016482837
N01-Ash,β Ari,28.660045789,20.808031472,39,990613.5715597917,-2000-02-09 01:43:02.766,87.69000013561536,-6.077722024060798
N01-Ash,β Ari,28.660045789,20.808031472,40,990614.5710587847,-2000-02-10 01:42:19.479,88.07787782783248,-5.371633836072336
N01-Ash,β Ari,28.660045789,20.808031472,41,990615.5705577778,-2000-02-11 01:41:36.192,88.46501415403176,-4.665388648288705
N01-Ash,β Ari,28.660045789,20.808031472,42,990616.5698062847,-2000-02-12 01:40:31.263,88.8081289106475,-4.0383898046719064
N01-Ash,β Ari,28.660045789,20.808031472,43,990617.5690547801,-2000-02-13 01:39:26.333,89.15083010121815,-3.411316656729268
N01-Ash,β Ari,28.660045789,20.808031472,44,990618.5685537731,-2000-02-14 01:38:43.046,89.53651834254096,-2.7047968229885786
N01-Ash,β Ari,28.660045789,20.808031472,45,990619.5678022685,-2000-02-15 01:37:38.116,89.8786133957169,-2.077628513746075
N01-Ash,β Ari,28.660045789,20.808031472,46,990620.5673012731,-2000-02-16 01:36:54.830,90.26383117146653,-1.3710544432996032
N01-Ash,β Ari,28.660045789,20.808031472,47,990621.5665497686,-2000-02-17 01:35:49.900,90.60569295410133,-0.743892153974138
N01-Ash,β Ari,28.660045789,20.808031472,48,990622.5657982639,-2000-02-18 01:34:44.970,90.94757611701937,-0.11676941945465859
N01-Ash,β Ari,28.660045789,20.808031472,49,990623.5650467592,-2000-02-19 01:33:40.040,91.28956519087576,0.5102897524361021
N01-Ash,β Ari,28.660045789,20.808031472,50,990624.5642952546,-2000-02-20 01:32:35.110,91.63174429872616,1.1372615570745235
N01-Ash,β Ari,28.660045789,20.808031472,51,990625.56354375,-2000-02-21 01:31:30.180,91.97419679371372,1.7641226931803857
N01-Ash,β Ari,28.660045789,20.808031472,52,990626.5627922569,-2000-02-22 01:30:25.251,92.31700715515466,2.390854156433212
N01-Ash,β Ari,28.660045789,20.808031472,53,990627.5620407523,-2000-02-23 01:29:20.321,92.66025312099885,3.0174265262854703
N01-Ash,β Ari,28.660045789,20.808031472,54,990628.5612892477,-2000-02-24 01:28:15.391,93.00401807088033,3.6438217561626742
N01-Ash,β Ari,28.660045789,20.808031472,55,990629.560537743,-2000-02-25 01:27:10.461,93.3483834423315,4.270018209820693
N01-Ash,β Ari,28.660045789,20.808031472,56,990630.5597862385,-2000-02-26 01:26:05.531,93.69343113617182,4.895994023583444
N01-Ash,β Ari,28.660045789,20.808031472,57,990631.5590347338,-2000-02-27 01:25:00.601,94.03924380653791,5.521726857527088
N01-Ash,β Ari,28.660045789,20.808031472,58,990632.5582832291,-2000-02-28 01:23:55.671,94.38590503987814,6.147193760334605
N01-Ash,β Ari,28.660045789,20.808031472,59,990633.5575317246,-2000-02-29 01:22:50.741,94.73349946359367,6.772371149000129
N01-Ash,β Ari,28.660045789,20.808031472,60,990634.5565297222,-2000-03-01 01:21:24.168,95.03792258493725,7.318151789960556
N01-Ash,β Ari,28.660045789,20.808031472,61,990635.5557782176,-2000-03-02 01:20:19.238,95.38749655798314,7.942721410898873
N01-Ash,β Ari,28.660045789,20.808031472,62,990636.5550267246,-2000-03-03 01:19:14.309,95.73825577404766,8.56693441482166
N01-Ash,β Ari,28.660045789,20.808031472,63,990637.5540247107,-2000-03-04 01:17:47.735,96.04564569896459,9.111806733914987
N01-Ash,β Ari,28.660045789,20.808031472,64,990638.5532732176,-2000-03-05 01:16:42.806,96.39886394396449,9.735275657760626
N01-Ash,β Ari,28.660045789,20.808031472,65,990639.552521713,-2000-03-06 01:15:37.876,96.7535247303387,10.358306281307502
N01-Ash,β Ari,28.660045789,20.808031472,66,990640.5515197107,-2000-03-07 01:14:11.303,97.06454338132869,10.902089862006981
N01-Ash,β Ari,28.660045789,20.808031472,67,990641.550768206,-2000-03-08 01:13:06.373,97.4221615136799,11.524234381261838
N01-Ash,β Ari,28.660045789,20.808031472,68,990642.5497662037,-2000-03-09 01:11:39.800,97.73590685027263,12.067202713225601
N01-Ash,β Ari,28.660045789,20.808031472,69,990643.5490146991,-2000-03-10 01:10:34.870,98.0968088938439,12.688369488530515
N01-Ash,β Ari,28.660045789,20.808031472,70,990644.5482631944,-2000-03-11 01:09:29.940,98.45959734384425,13.30897780131728
N01-Ash,β Ari,28.660045789,20.808031472,71,990645.5472611921,-2000-03-12 01:08:03.367,98.77807688633358,13.850544041884488
N01-Ash,β Ari,28.660045789,20.808031472,72,990646.5465096876,-2000-03-13 01:06:58.437,99.14465533384052,14.470035783209863
N01-Ash,β Ari,28.660045789,20.808031472,73,990647.5455076852,-2000-03-14 01:05:31.864,99.46659474067667,15.010585081333213
N01-Ash,β Ari,28.660045789,20.808031472,74,990648.5445056829,-2000-03-15 01:04:05.291,99.79025505847132,15.550629104873618
N01-Ash,β Ari,28.660045789,20.808031472,75,990649.5437541782,-2000-03-16 01:03:00.361,100.16303627439909,16.16829877186534
N01-Ash,β Ari,28.660045789,20.808031472,76,990650.5427521759,-2000-03-17 01:01:33.788,100.49063247897463,16.70718549126773
N01-Ash,β Ari,28.660045789,20.808031472,77,990651.5420006713,-2000-03-18 01:00:28.858,100.86811351248821,17.323472204035806
N01-Ash,β Ari,28.660045789,20.808031472,78,990652.540998669,-2000-03-19 00:59:02.285,101.19998533350024,17.86109929107097
N01-Ash,β Ari,28.660045789,20.808031472,79,990653.5402471643,-2000-03-20 00:57:57.355,101.58255747996868,18.475886527119115
N01-Ash,β Ari,28.660045789,20.808031472,80,990654.539245162,-2000-03-21 00:56:30.782,101.91904984766796,19.012152244642106
N01-Ash,β Ari,28.660045789,20.808031472,81,990655.5384936574,-2000-03-22 00:55:25.852,102.30711176862879,19.625323715030973
N01-Ash,β Ari,28.660045789,20.808031472,82,990656.5374916551,-2000-03-23 00:53:59.279,102.64857675929855,20.16012633746588
N01-Ash,β Ari,28.660045789,20.808031472,83,990657.5364896412,-2000-03-24 00:52:32.705,102.99248122047763,20.694207660206644
N01-Ash,β Ari,28.660045789,20.808031472,84,990658.5357381481,-2000-03-25 00:51:27.776,103.38934100412466,21.304797616086223
N01-Ash,β Ari,28.660045789,20.808031472,85,990659.5347361342,-2000-03-26 00:50:01.202,103.73875829918555,21.837259148899733
N01-Ash,β Ari,28.660045789,20.808031472,86,990660.5339846412,-2000-03-27 00:48:56.273,104.14215283961104,22.44592826859673
N01-Ash,β Ari,28.660045789,20.808031472,87,990661.5329826273,-2000-03-28 00:47:29.699,104.49747496154012,22.976652828145056
N01-Ash,β Ari,28.660045789,20.808031472,88,990662.531980625,-2000-03-29 00:46:03.126,104.85569210591328,23.50652848777213
N01-Ash,β Ari,28.660045789,20.808031472,89,990663.5312291203,-2000-03-30 00:44:58.196,105.26950609092384,24.112122505318112
N01-Ash,β Ari,28.660045789,20.808031472,90,990664.530227118,-2000-03-31 00:43:31.623,105.6342425988157,24.64007246784197
N01-Ash,β Ari,28.660045789,20.808031472,91,990665.5294756134,-2000-04-01 00:42:26.693,106.05577422201857,25.243383421410048
N01-Ash,β Ari,28.660045789,20.808031472,92,990666.5284736111,-2000-04-02 00:41:00.120,106.42747711372941,25.769268763508073
N01-Ash,β Ari,28.660045789,20.808031472,93,990667.5277221064,-2000-04-03 00:39:55.190,106.85724967884975,26.370133668992978
N01-Ash,β Ari,28.660045789,20.808031472,94,990668.5267201042,-2000-04-04 00:38:28.617,107.23638694253115,26.893807959787765
N01-Ash,β Ari,28.660045789,20.808031472,95,990669.5259685995,-2000-04-05 00:37:23.687,107.67494580790456,27.492055994525
N01-Ash,β Ari,28.660045789,20.808031472,96,990670.5249665972,-2000-04-06 00:35:57.114,108.06200160641814,28.013367600105564
N01-Ash,β Ari,28.660045789,20.808031472,97,990671.5242150926,-2000-04-07 00:34:52.184,108.50990920263314,28.608823070162263
N01-Ash,β Ari,28.660045789,20.808031472,98,990672.5232130903,-2000-04-08 00:33:25.611,108.9053809601407,29.127617472673872
N01-Ash,β Ari,28.660045789,20.808031472,99,990673.5224615857,-2000-04-09 00:32:20.681,109.36322013949574,29.72009889301148
N01-Ash,β Ari,28.660045789,20.808031472,100,990674.5214595833,-2000-04-10 00:30:54.108,109.76763022733572,30.236212845717883
N01-Ash,β Ari,28.660045789,20.808031472,101,990675.5207080788,-2000-04-11 00:29:49.178,110.23602272672001,30.82552250158478
N01-Ash,β Ari,28.660045789,20.808031472,102,990676.5199565741,-2000-04-12 00:28:44.248,110.71032001039181,31.41304994733175
N01-Ash,β Ari,28.660045789,20.808031472,103,990677.5189545718,-2000-04-13 00:27:17.675,111.12955089378329,31.92469013542753
N01-Ash,β Ari,28.660045789,20.808031472,104,990678.5182030671,-2000-04-14 00:26:12.745,111.6154424918321,32.50870027048435
N01-Ash,β Ari,28.660045789,20.808031472,105,990679.5174515741,-2000-04-15 00:25:07.816,112.10781811915355,33.0907378797056
N01-Ash,β Ari,28.660045789,20.808031472,106,990680.5167000694,-2000-04-16 00:24:02.886,112.60688075801707,33.67072579514358
N01-Ash,β Ari,28.660045789,20.808031472,107,990681.5156980671,-2000-04-17 00:22:36.313,113.04839915475222,34.175558009988876
N01-Ash,β Ari,28.660045789,20.808031472,108,990682.5149465625,-2000-04-18 00:21:31.383,113.56057307084913,34.751516890986395
N01-Ash,β Ari,28.660045789,20.808031472,109,990683.5141950579,-2000-04-19 00:20:26.453,114.08006375882464,35.3252173358187
N01-Ash,β Ari,28.660045789,20.808031472,110,990684.5134435532,-2000-04-20 00:19:21.523,114.6071003695457,35.89658076668017
N01-Ash,β Ari,28.660045789,20.808031472,111,990685.5126920486,-2000-04-21 00:18:16.593,115.14191836785064,36.465525583467056
N01-Ash,β Ari,28.660045789,20.808031472,112,990686.511940544,-2000-04-22 00:17:11.663,115.68475986146714,37.03196685898719
N01-Ash,β Ari,28.660045789,20.808031472,113,990687.5111890393,-2000-04-23 00:16:06.733,116.2358738669898,37.59581607982102
N01-Ash,β Ari,28.660045789,20.808031472,114,990688.5104375463,-2000-04-24 00:15:01.804,116.79551980094881,38.15698421913267
N01-Ash,β Ari,28.660045789,20.808031472,115,990689.5096860416,-2000-04-25 00:13:56.874,117.36395445914641,38.71536849983724
N01-Ash,β Ari,28.660045789,20.808031472,116,990690.5089345371,-2000-04-26 00:12:51.944,117.94145172409725,39.270872038869534
N01-Ash,β Ari,28.660045789,20.808031472,117,990691.5081830324,-2000-04-27 00:11:47.014,118.52828952654066,39.82339068130547
N01-Ash,β Ari,28.660045789,20.808031472,118,990692.5074315278,-2000-04-28 00:10:42.084,119.12475302578326,40.37281627049261
N01-Ash,β Ari,28.660045789,20.808031472,119,990693.5066800232,-2000-04-29 00:09:37.154,119.7311344356578,40.91903660135619
N01-Ash,β Ari,28.660045789,20.808031472,120,990694.5059285185,-2000-04-30 00:08:32.224,120.34773274203505,41.461935366669735
N01-Ash,β Ari,28.660045789,20.808031472,121,990695.5054275232,-2000-05-01 00:07:48.938,121.05502257425066,42.06943726866857
N01-Ash,β Ari,28.660045789,20.808031472,122,990696.5046760185,-2000-05-02 00:06:44.008,121.69437029244622,42.60486731647626
N01-Ash,β Ari,28.660045789,20.808031472,123,990697.5039245139,-2000-05-03 00:05:39.078,122.34490886450824,43.13658573564592
N01-Ash,β Ari,28.660045789,20.808031472,124,990698.5034235185,-2000-05-04 00:04:55.792,123.09162357549744,43.7310095229433
N01-Ash,β Ari,28.660045789,20.808031472,125,990699.502672014,-2000-05-05 00:03:50.862,123.76703985999599,44.254387063213684
N01-Ash,β Ari,28.660045789,20.808031472,126,990700.502171007,-2000-05-06 00:03:07.575,124.54262343695375,44.83905260325648
N01-Ash,β Ari,28.660045789,20.808031472,127,990701.5014195023,-2000-05-07 00:02:02.645,125.24443080886223,45.35344142295807
N01-Ash,β Ari,28.660045789,20.808031472,128,990702.500918507,-2000-05-08 00:01:19.359,126.05063293946786,45.927591844723544
N01-Ash,β Ari,28.660045789,20.808031472,129,990703.5004175,-2000-05-09 00:00:36.072,126.87378064216007,46.49583238204051
N01-Ash,β Ari,28.660045789,20.808031472,130,990704.4999165046,-2000-05-09 23:59:52.786,127.71439994388129,47.057922693365306
N01-Ash,β Ari,28.660045789,20.808031472,131,990705.499165,-2000-05-10 23:58:47.856,128.4755979786447,47.55148802290241
N01-Ash,β Ari,28.660045789,20.808031472,132,990706.4986639931,-2000-05-11 23:58:04.569,129.35061199922254,48.10125286092161
N01-Ash,β Ari,28.660045789,20.808031472,133,990707.4981629977,-2000-05-12 23:57:21.283,130.24461305330078,48.64410018639381
N01-Ash,β Ari,28.660045789,20.808031472,134,990708.4976619907,-2000-05-13 23:56:37.996,131.15811692165298,49.179740423562286
N01-Ash,β Ari,28.660045789,20.808031472,135,990709.4971609839,-2000-05-14 23:55:54.709,132.09165094503507,49.70788238159179
N01-Ash,β Ari,28.660045789,20.808031472,136,990710.4966599884,-2000-05-15 23:55:11.423,133.04573864279112,50.22822399179516
N01-Ash,β Ari,28.660045789,20.808031472,137,990711.4961589815,-2000-05-16 23:54:28.136,134.020881985271,50.74044383101521
N01-Ash,β Ari,28.660045789,20.808031472,138,990712.4959084837,-2000-05-17 23:54:06.493,135.13097374871384,51.300285682197384
N01-Ash,β Ari,28.660045789,20.808031472,139,990713.4954074769,-2000-05-18 23:53:23.206,136.152241229855,51.79426284018265
N01-Ash,β Ari,28.660045789,20.808031472,140,990714.4949064815,-2000-05-19 23:52:39.920,137.19609212232479,52.279064101781124
N01-Ash,β Ari,28.660045789,20.808031472,141,990715.4946559838,-2000-05-20 23:52:18.277,138.384326856571,52.80711165666254
N01-Ash,β Ari,28.660045789,20.808031472,142,990716.4941549768,-2000-05-21 23:51:34.990,139.47731459855788,53.27130705909518
N01-Ash,β Ari,28.660045789,20.808031472,143,990717.4939044792,-2000-05-22 23:51:13.347,140.72122338942287,53.77548240134949
N01-Ash,β Ari,28.660045789,20.808031472,144,990718.4934034722,-2000-05-23 23:50:30.060,141.86508798148634,54.21733556941683
N01-Ash,β Ari,28.660045789,20.808031472,145,990719.4931529745,-2000-05-24 23:50:08.417,143.16640632331521,54.69564712269544
N01-Ash,β Ari,28.660045789,20.808031472,146,990720.4929024768,-2000-05-25 23:49:46.774,144.49849490891668,55.159502423905344
N01-Ash,β Ari,28.660045789,20.808031472,147,990721.4926519676,-2000-05-26 23:49:25.130,145.86160862960458,55.60830512756284
N01-Ash,β Ari,28.660045789,20.808031472,148,990722.49240147,-2000-05-27 23:49:03.487,147.25592247439195,56.0414540180842
N01-Ash,β Ari,28.660045789,20.808031472,149,990723.4921509722,-2000-05-28 23:48:41.844,148.68148114583394,56.45833268095166
N01-Ash,β Ari,28.660045789,20.808031472,150,990724.491900463,-2000-05-29 23:48:20.200,150.1382052475083,56.8583187259685
N01-Ash,β Ari,28.660045789,20.808031472,151,990725.4916499653,-2000-05-30 23:47:58.557,151.62590034669236,57.24079194319254
N01-Ash,β Ari,28.660045789,20.808031472,152,990726.4913994676,-2000-05-31 23:47:36.914,153.1442047814167,57.60512616751935
N01-Ash,β Ari,28.660045789,20.808031472,153,990727.4911489699,-2000-06-01 23:47:15.271,154.6926062308977,57.95069988417262
N01-Ash,β Ari,28.660045789,20.808031472,154,990728.4908984606,-2000-06-02 23:46:53.627,156.27041824954603,58.27689576014097
N01-Ash,β Ari,28.660045789,20.808031472,155,990729.4908984606,-2000-06-03 23:46:53.627,158.04063839845364,58.612903524989704
N01-Ash,β Ari,28.660045789,20.808031472,156,990730.490647963,-2000-06-04 23:46:31.984,159.67726705054602,58.89642602399807
N01-Ash,β Ari,28.660045789,20.808031472,157,990731.490647963,-2000-06-05 23:46:31.984,161.50945448874197,59.18402384440723
N01-Ash,β Ari,28.660045789,20.808031472,158,990732.4903974653,-2000-06-06 23:46:10.341,163.19940413680536,59.42233298374165
N01-Ash,β Ari,28.660045789,20.808031472,159,990733.4903974653,-2000-06-07 23:46:10.341,165.08654141134772,59.65884589027352
N01-Ash,β Ari,28.660045789,20.808031472,160,990734.4903974653,-2000-06-08 23:46:10.341,166.99901959352943,59.86762714051059
N01-Ash,β Ari,28.660045789,20.808031472,161,990735.4903974653,-2000-06-09 23:46:10.341,168.9341153859853,60.04809229549649
N01-Ash,β Ari,28.660045789,20.808031472,162,990736.4903974653,-2000-06-10 23:46:10.341,170.88886065771933,60.19972461131559
N01-Ash,β Ari,28.660045789,20.808031472,163,990737.4903974653,-2000-06-11 23:46:10.341,172.86006723104822,60.3220813084155
N01-Ash,β Ari,28.660045789,20.808031472,164,990738.4903974653,-2000-06-12 23:46:10.341,174.84435707873115,60.41479912590797
N01-Ash,β Ari,28.660045789,20.808031472,165,990739.4903974653,-2000-06-13 23:46:10.341,176.83819751063334,60.47759914077881
N01-Ash,β Ari,28.660045789,20.808031472,166,990740.4903974653,-2000-06-14 23:46:10.341,178.8379407277236,60.51029067603027
N01-Ash,β Ari,28.660045789,20.808031472,167,990741.4903974653,-2000-06-15 23:46:10.341,180.83986681387074,60.51277408007225
N01-Ash,β Ari,28.660045789,20.808031472,168,990742.4903974653,-2000-06-16 23:46:10.341,182.8402289439044,60.48504220646547
N01-Ash,β Ari,28.660045789,20.808031472,169,990743.490647963,-2000-06-17 23:46:31.984,185.01796009579397,60.420362238820026
N01-Ash,β Ari,28.660045789,20.808031472,170,990744.490647963,-2000-06-18 23:46:31.984,187.00307374974105,60.32981089471942
N01-Ash,β Ari,28.660045789,20.808031472,171,990745.4908984606,-2000-06-19 23:46:53.627,189.15555894189083,60.19709140566987
N01-Ash,β Ari,28.660045789,20.808031472,172,990746.4908984606,-2000-06-20 23:46:53.627,191.10997206703547,60.04491273351283
N01-Ash,β Ari,28.660045789,20.808031472,173,990747.4911489699,-2000-06-21 23:47:15.271,193.22110934424234,59.84587494747659
N01-Ash,β Ari,28.660045789,20.808031472,174,990748.4913994676,-2000-06-22 23:47:36.914,195.30491296946406,59.61316669308974
N01-Ash,β Ari,28.660045789,20.808031472,175,990749.4913994676,-2000-06-23 23:47:36.914,197.18663019972084,59.371130799592706
N01-Ash,β Ari,28.660045789,20.808031472,176,990750.4916499653,-2000-06-24 23:47:58.557,199.2086505323912,59.076132596347186
N01-Ash,β Ari,28.660045789,20.808031472,177,990751.491900463,-2000-06-25 23:48:20.200,201.19423520915808,58.74992869279059
N01-Ash,β Ari,28.660045789,20.808031472,178,990752.4921509722,-2000-06-26 23:48:41.844,203.1410386329166,58.39349262084819
N01-Ash,β Ari,28.660045789,20.808031472,179,990753.49240147,-2000-06-27 23:49:03.487,205.0470907873819,58.00784796339949
N01-Ash,β Ari,28.660045789,20.808031472,180,990754.4926519676,-2000-06-28 23:49:25.130,206.9108325925897,57.594047832507925
N01-Ash,β Ari,28.660045789,20.808031472,181,990755.4929024768,-2000-06-29 23:49:46.774,208.7310754685879,57.15316676294252
N01-Ash,β Ari,28.660045789,20.808031472,182,990756.4931529745,-2000-06-30 23:50:08.417,210.5069581944097,56.686295295339804
N01-Ash,β Ari,28.660045789,20.808031472,183,990757.4934034722,-2000-07-01 23:50:30.060,212.2379625815768,56.194519726472464
N01-Ash,β Ari,28.660045789,20.808031472,184,990758.4939044792,-2000-07-02 23:51:13.347,214.0634870432779,55.63452978055979
N01-Ash,β Ari,28.660045789,20.808031472,185,990759.4941549768,-2000-07-03 23:51:34.990,215.700519396236,55.09430818331832
N01-Ash,β Ari,28.660045789,20.808031472,186,990760.4944054745,-2000-07-04 23:51:56.633,217.29276685886785,54.532462978070974
N01-Ash,β Ari,28.660045789,20.808031472,187,990761.4949064815,-2000-07-05 23:52:39.920,218.9688094013981,53.90015266053956
N01-Ash,β Ari,28.660045789,20.808031472,188,990762.4951569792,-2000-07-06 23:53:01.563,220.46948473389395,53.29649545955208
N01-Ash,β Ari,28.660045789,20.808031472,189,990763.4956579861,-2000-07-07 23:53:44.850,222.0480122417985,52.621161793029536
N01-Ash,β Ari,28.660045789,20.808031472,190,990764.4959084837,-2000-07-08 23:54:06.493,223.4606471782075,51.97986805969636
N01-Ash,β Ari,28.660045789,20.808031472,191,990765.4964094907,-2000-07-09 23:54:49.780,224.94608062260934,51.26587472268855
N01-Ash,β Ari,28.660045789,20.808031472,192,990766.4966599884,-2000-07-10 23:55:11.423,226.2751917952294,50.590810650492415
N01-Ash,β Ari,28.660045789,20.808031472,193,990767.4971609839,-2000-07-11 23:55:54.709,227.67278678161,49.842170840721245
N01-Ash,β Ari,28.660045789,20.808031472,194,990768.4976619907,-2000-07-12 23:56:37.996,229.02694313864882,49.07696882152155
N01-Ash,β Ari,28.660045789,20.808031472,195,990769.4979124884,-2000-07-13 23:56:59.639,230.23896265703192,48.357219762725954
N01-Ash,β Ari,28.660045789,20.808031472,196,990770.4984134954,-2000-07-14 23:57:42.926,231.51406150362124,47.5627649725254
N01-Ash,β Ari,28.660045789,20.808031472,197,990771.4989144907,-2000-07-15 23:58:26.212,232.75036795038127,46.754345765709765
N01-Ash,β Ari,28.660045789,20.808031472,198,990772.4994154976,-2000-07-16 23:59:09.499,233.94947756331598,45.93274905429843
N01-Ash,β Ari,28.660045789,20.808031472,199,990773.4996659954,-2000-07-17 23:59:31.142,235.02399215414417,45.16381729988223
N01-Ash,β Ari,28.660045789,20.808031472,200,990774.5001670023,-2000-07-19 00:00:14.429,236.15595535176303,44.31895523330734
N01-Ash,β Ari,28.660045789,20.808031472,201,990775.5006679976,-2000-07-20 00:00:57.715,237.25520046036382,43.46298698503995
N01-Ash,β Ari,28.660045789,20.808031472,202,990776.5011690046,-2000-07-21 00:01:41.002,238.32319968401262,42.59653431905134
N01-Ash,β Ari,28.660045789,20.808031472,203,990777.5016700116,-2000-07-22 00:02:24.289,239.36137069132124,41.7201918035036
N01-Ash,β Ari,28.660045789,20.808031472,204,990778.502171007,-2000-07-23 00:03:07.575,240.37108667048136,40.834520037993265
N01-Ash,β Ari,28.660045789,20.808031472,205,990779.502672014,-2000-07-24 00:03:50.862,241.35368518153558,39.9400380475512
N01-Ash,β Ari,28.660045789,20.808031472,206,990780.5031730093,-2000-07-25 00:04:34.148,242.3104420482686,39.03724737403094
N01-Ash,β Ari,28.660045789,20.808031472,207,990781.5034235185,-2000-07-26 00:04:55.792,243.17118880846323,38.1974770909193
N01-Ash,β Ari,28.660045789,20.808031472,208,990782.5039245139,-2000-07-27 00:05:39.078,244.08169952417984,37.279993877998955
N01-Ash,β Ari,28.660045789,20.808031472,209,990783.5044255208,-2000-07-28 00:06:22.365,244.9698472127488,36.35548305705247
