#,chapter_number,sloka_number,sloka,transliterated,vyakhya,translation,fn_text
,,,प्रथमः सर्गः ॥,,,First Canto,
141,3,23,प्रदर्शिताश्लेषनिपीडनोल्लसद्रसातिरेकेषु न यत्र जातुचित् । कुचेषु नैबिड्यमधीरचक्षुषां महाकवीनां च वचःसु शीर्यते ॥ २३ ॥,pradarśitāśleṣanipīḍanollasadrasātirekeṣu na yatra jātucit | kuceṣu naibiḍyamadhīracakṣuṣāṃ mahākavīnāṃ ca vacaḥsu śīryate || 23 ||,प्रदर्शितमालिङ्गनेन निपीडनं मण्डलाकारताप्राप्तिस्तेनोल्लसन्रसातिरेको येषु । कठिनो हि स्तन आलिङ्गनेन पीडितो भवति । इति स्तनपक्षे । न श्लेषेण निपीडनमश्लेषनिपीडनं श्लेषाभावस्तेन सरसेषु । इति वचःपक्षे । स्त्रीस्तनेषु काव्येषु च निर्विवरत्वं गाढत्वलक्षणमोजश्च न जातु शीर्यते । यत्र पानाशनगुणेन स्त्रियो नित्ययौवनाः शारदाप्रसादेन कवयः सरसकाव्याश्च भवन्तीत्यर्थः ॥,"In that city, neither the breasts of women with roving eyes nor the words of masterly poets – exuding excessive loveliness when pressed down by an embrace/pure aesthetic joy that steers clear of (verbal jugglery such as) pun – abandon their robustness at any time.","On a funny note, Mankha employs śleṣa (pun) in this very verse, even as he praises the city’s poets for steering clear of it. Robustness, in the context of poetry, refers to the style known as 'Ojas', which is characterized by compactness of structure ('gāḍhabandhatvamojaḥ, Kāvyālaṅkārasūtra, 3.1.5)."
142,3,24,पयोनिधिप्रेमभुवोर्महासरिद्वितस्तयोर्यत्र चकास्ति सङ्गमः । वनं घनावर्तनिभेन योजयन्नवालवालैरिव धर्मगर्मुताम् ॥ २४ ॥,payonidhipremabhuvormahāsaridvitastayoryatra cakāsti saṅgamaḥ | vanaṃ ghanāvartanibhena yojayannavālavālairiva dharmagarmutām || 24 ||,घना य आवर्ता जलभ्रमास्तद्व्याजेन धर्मगर्मुतां पुण्यलतानां वने जलधारणैः सङ्गमयन्निव महत्त्वादविरोधाद्वा समुद्रप्रिययोर्महासरिद्वितस्तयोर्महानद्योः सङ्गमो यत्र शोभते । तत्र सङ्गमे स्नानादि महाफलमित्यर्थः ॥,"Therein shines the confluence of Mahasarit and Vitasta, beloved wives of the Ocean. By way of its dense whirlpools, it (i.e., this confluence) seems to freshly carve out circular basins for the grove of creepers, namely, righteous actions, to prosper.","Mahasarit is the river Sindhu. Mankha employs a rare synonym, ‘garmut’, for creeper (‘garmut strī svarṇalatayoḥ’, Medinīkośa, Tāntavarga, 108). The purport of the verse is that people earn great merit by bathing in this holy confluence of Sindhu and Vitasta (JR)."
143,3,25,निशासु यस्मिन्वलभीषु विभ्रमादपास्तनीरङ्गिकवक्ररोचिषा । विलासलोला बहुलेऽपि कुर्वते विधोर्विपत्सङ्गमभङ्गमङ्गनाः ॥ २५ ॥,niśāsu yasminvalabhīṣu vibhramādapāstanīraṅgikavakrarociṣā | vilāsalolā bahule'pi kurvate vidhorvipatsaṅgamabhaṅgamaṅganāḥ || 25 ||,असूर्यस्पृष्टत्वान्निशासु विलासव्यसनित्वेन वलभीषु विशिष्टाद्भ्रमात्सञ्चाराद्धेतोरपास्ता निवारिता नीरङ्गिकावगुण्ठनपटो यस्य तद्वक्रं तस्य रोचिषा कान्त्या स्त्रियः कृष्णपक्षेऽपि चन्द्रस्य विपत्सङ्गमः कलाक्षयस्तस्य भङ्गं पूर्णतां कुर्वते । यत्र स्त्रीणां मुखं चन्द्रादधिकमित्याशयः ॥,"At nights, on its terraces, sportive women put an end to the moon’s gloominess during the darker half of the month with the radiant light of their face, its veil drawn aside frolickingly."," 'Vipatsaṅgamaḥ' ('gloominess'/'association with adversity') is 'kalākṣayaḥ' ('waning of digits'). 'Nīraṅgikā' = 'avaguṇṭhanapaṭa' = veil.
The purport is that the faces of women in Pravarapura surpass the moon in beauty (JR). "
144,3,26,इतस्ततः कुङ्कुमरेणुधोरणीर्वियोगिनीवध्यपटानिव क्षिपन् । न यत्र वायुः सहते नतभ्रुवामकाण्डमानग्रहकीर्तिडिण्डिमम् ॥ २६ ॥,itastataḥ kuṅkumareṇudhoraṇīrviyoginīvadhyapaṭāniva kṣipan | na yatra vāyuḥ sahate natabhruvāmakāṇḍamānagrahakīrtiḍiṇḍimam || 26 ||,विरहिणीनां वध्यपटानिव कुङ्कुमरजःपङ्क्तीः किरन् । वध्यत्वज्ञापनाय रक्ताम्बरेण प्रावृत्य वध्यो हन्यत इत्याचारः । वायुर्यत्र स्त्रीणां पत्यपराधाभावेऽपि मानग्रहणेन या कीर्तिः सैव डिण्डिमः पटहस्तं न सहते । कुङ्कुमवायोः कामोद्दीपनत्वान्मानं न गृह्णन्तीत्यर्थः ॥,The wind blowing through that city hurls a mass of saffron dust here and there as if that mass were the lovelorn women’s (crimson) robe of execution. And it does not tolerate curvy-browed beauties beating the drum of fame for their untimely love anger.,"In ancient India, persons sentenced for execution were dressed up in red garments ('vadhyapaṭa). The wind blowing across Pravarapura torments lovelorn women; it is such a strong stimulant of love that women cannot hold onto their love anger in its presence."
145,3,27,मधुव्रतानां श्रवणोत्पलस्पृशां कुलैरुपश्लोकितदैर्घ्यरीतयः । हरन्ति यत्रैणदृशां दृशो रतेरसह्यवैधव्यविषादविक्रियाम् ॥ २७ ॥,madhuvratānāṃ śravaṇotpalaspṛśāṃ kulairupaślokitadairghyarītayaḥ | haranti yatraiṇadṛśāṃ dṛśo raterasahyavaidhavyaviṣādavikriyām || 27 ||,कर्णोत्पलं जिघ्रतामपि मधुव्रतानां भ्रमराणां कुलैः स्तुतदैर्घ्यगुणाः । स्वाभाविके भ्रमराणां शब्दे स्तुतिसम्भावनम् । स्त्रीणां दृशो रतेरसह्यो यो वैधव्यविषादो भर्तृमरणदुःखं तेन विकारं हरन्ति । स्त्रीणां कटाक्षपातमात्रेण कामोत्पत्तिर्भवतीति भावः ॥,"Their expanse eulogized by the bees adhering to the blue lilies that adorn the ear, the eyes of its gazelle-eyed girls remove Rati’s insufferable malady of grief resulting from widowhood.","The idea is this: The buzz of the bees that are attracted to the blue lilies adorning the ears of the maidens appears like a song in praise of their elongated eyes, which, because they arouse passion, revive Kama and put an end to the sorrow of Rati, his widowed wife (JR)."
146,3,28,सरःसु यस्मिन्बिसदण्डमण्डली चकास्ति शेषेण निजा फणावली । स्फुटं विसृष्टेव मुकुन्दसुन्दरीं सरोजपर्यङ्कजुषं निषेवितुम् ॥ २८ ॥,saraḥsu yasminbisadaṇḍamaṇḍalī cakāsti śeṣeṇa nijā phaṇāvalī | sphuṭaṃ visṛṣṭeva mukundasundarīṃ sarojaparyaṅkajuṣaṃ niṣevitum || 28 ||,पद्ममेव पर्वङ्कस्तं जुषमाणां लक्ष्मीं निषेवितुम् । पर्यङ्कशायिन्याः श्रियः सेवावसरप्राप्तेः । शेषेणोत्क्षिप्ता स्वशिरःपङ्क्तिरिव मृणालदण्डसंहतिर्यत्र सरःसु शोभते । शेषो हि हरिसेवकः । अतस्तत्प्रियाया अपि सेवोक्तिरुचिता ॥,"Its ponds are distinguished by a circle of (white) lotus stalks that evidently appear like a series of hoods lifted up by Shesha, lord of serpents, in order to wait upon Goddess Shri, Vishnu’s (i.e., his master’s) wife, whose seat is the lotus.",N/A
147,3,29,हिमागमे यत्र गृहेषु योषितां ज्वलद्बहुच्छिद्रसखी हसन्तिका । विभाति जेतुं मदनेन शूलिनं धृता ततिर्वह्निमयीव चक्षुषाम् ॥ २९ ॥,himāgame yatra gṛheṣu yoṣitāṃ jvaladbahucchidrasakhī hasantikā | vibhāti jetuṃ madanena śūlinaṃ dhṛtā tatirvahnimayīva cakṣuṣām || 29 ||,हरपराभवाय कामेन धृताग्नेयदृष्टिपङ्क्तिरिव । हरेण ह्येकेनाग्नेयेन नेत्रेण कामो जितः। अतोऽनेकाग्रेयनेत्रत्वाभिनयात्कामेन जेतुमिष्यते । यत्र हिमर्तावन्तःपुरगृहे ज्वलतां निर्गच्छदग्नीनामनेकेषां छिद्राणां परिचिताङ्गारशकटिका शोभते । हसन्तिकागुणैः शीतनिवृत्तौ कामोद्दीपनं भवतीत्यर्थः ॥,"Therein, during winter, the Hasantika baskets, with numerous blazing holes, appear like a row of fiery eyes which Kama acquired for defeating Shiva.","JR explains ‘Hasantikā’ as ‘aṅgāraśakaṭikā’ (‘a small cart containing glowing coal’); the Hasantikā, by providing warmth to lovers during winters, acts as a stimulant of their love. It is a small, portable furnace with holes that is filled with burning coal. Mankha alludes to it again in 6.15 and 22.43, where JR adds that it is ‘endowed with lattices’ (‘jālayuktā’), ‘made of iron’ (‘śastramayī’), and ‘contains fire within’ (‘magnāgni’). Since Shiva has only one fire-bearing eye, Kama, his enemy, pretends to possess several such eyes by taking recourse to the passion-arousing Hasantika furnaces that have numerous blazing holes (JR)."
148,3,30,विभाव्य यत्राननकेलिकानने विलासचैत्रोत्सवमेणचक्षुषाम् । प्रियासखो दीर्घगुणैरभङ्गुरामपाङ्गदोलामधिरोहति स्मरः ॥ ३० ॥,vibhāvya yatrānanakelikānane vilāsacaitrotsavameṇacakṣuṣām | priyāsakho dīrghaguṇairabhaṅgurāmapāṅgadolāmadhirohati smaraḥ || 30 ||,यत्र स्त्रीणां मुखोद्याने विलास एवाह्लादकत्वाच्चैत्रोत्सवस्तं विलोक्य रतिसचिवः कामो दीर्घगुणामपाङ्ग एव दोला तामधिरोहति । यत्र स्त्रीणां कटाक्षपातमात्रेण सर्वे कामवशा भवन्तीत्यर्थः । चैत्रे दोलाधिरोहणमाचारः । तत्पक्षे गुणा रज्जवः॥,"Having admired the youthful charm that brightens up the pleasure garden of its deer-eyed damsels’ countenance in the manner of spring’s festivity, Kama, accompanied by his sweetheart, ascends the swing, namely, the corner of their eye, which is evenly elongated/held strongly by long ropes.",People play on the swing during spring (JR)
149,3,31,स मन्मथो नाम जगाम तद्भुवि प्रथां प्रसन्नेश्वरदृष्टिभाजनम् । न मार्गणानां सुमनोमयात्मनां मनागपि क्षेपकलासु शिक्षितः॥ ३१ ॥,sa manmatho nāma jagāma tadbhuvi prathāṃ prasanneśvaradṛṣṭibhājanam | na mārgaṇānāṃ sumanomayātmanāṃ manāgapi kṣepakalāsu śikṣitaḥ|| 31 ||,प्रसन्नायाः सानुग्रहाया ईश्वराणां खामिनां दृष्टे जनं राजप्रसादपात्रं तथा सुमनोमयः पण्डितरूप आत्मा येषां मार्गणानां याचकानां धिक्कृत्य विसर्जनेषु न शिक्षितः । स मन्मथो नाम प्रवरपुरभूमौ प्रसिद्धिमगमत् । कामः प्रसन्नाया हरदृष्टेः पात्रं पुष्पशराणां मोक्षे च न शिक्षित इति शब्दशक्तिमूलो विरोधध्वनिः ॥,"There lived in this place the famed Manmatha who (unlike his namesake, the god of love) was a recipient of Shiva’s gracious glances and had no training in spurning scholarly supplicants/discharging flowery arrows.","The contrast between this Manmatha and the namesake Kama is not literally expressed but suggested ('virodhadhvani') through the power of words ('śabdaśaktimūla') such as 'prasanneśvaradṛṣṭibhājanam', 'mārgaṇānāṃ', 'sumanomayātmanāṃ', and 'kṣepakalāsu' (JR); whereas the word 'Manmatha', creates an expectation that the Manmatha of Pravarapura must resemble his namesake Kama, the rest of the description thwarts that expectation by suggesting a contrast between the two."
150,3,32,अपारिजातप्रसरे प्रदर्शितक्षमास्थितावच्छदयाश्रियाञ्चिते । बभार यस्मिन्सततं मनः पिता प्ररोहदानन्दमपूर्वनन्दने ॥ ३२ ॥,apārijātaprasare pradarśitakṣamāsthitāvacchadayāśriyāñcite | babhāra yasminsatataṃ manaḥ pitā prarohadānandamapūrvanandane || 32 ||,अरिजातस्य वैरिव्रातस्य प्रसरोऽपगतो यस्य शत्रुरहिते। यतः प्रदर्शिता क्षमायां क्षान्तौ स्थितिर्येन । अच्छा निर्मला दया तस्याः श्रिया पूजिते । अपूर्वे लोकोत्तरगुणे नन्दने पुत्रे पिता मनः सहर्षमुवाह । अविद्यमानः पारिजातप्रसरो यत्र तथा प्रदर्शिता क्षमायां भूमौ स्थितिर्येन । तथाच्छदयापत्रया श्रियाञ्चिते। अत एवापूर्वभूते नन्दने देवोद्यान इति सादृश्यध्वनिः ॥,His father’s mind was always joyfully inclined towards him – an unparalleled son/a strange Nadana garden that knew no enemies/was bereft of the Parijata’s spreading canopy; displayed endurance/flourished on the earth; and was distinguished by surplus kindness/a leafless beauty.,"The Nandana garden is graced by the Parijatha tree, grows in the heaven, and is full of leaves. The Nandana in this verse is qualified as strange because it possesses the opposite features."
151,3,33,सिषेच पुण्यद्रुमकाननानि यः समग्रमक्षालयदान्तरं रजः । वृषप्रमोदाश्रुसमानधर्मिभिर्द्विजातिहस्तार्पितदक्षिणाम्बुभिः॥ ३३ ॥,siṣeca puṇyadrumakānanāni yaḥ samagramakṣālayadāntaraṃ rajaḥ | vṛṣapramodāśrusamānadharmibhirdvijātihastārpitadakṣiṇāmbubhiḥ|| 33 ||,वृषस्य धर्मस्यानन्दाश्रुजलं तेन समानो धर्मो येषां तैर्ब्राह्मणहस्तेषु दत्तानि यानि दक्षिणाजलानि तैः पुण्यमेव द्रुमवनानि सिक्तवान् । समग्रं चान्तरस्थं रजः पापमक्षालयत् । जलेन सेको रजःक्षालनं चोचितम् ॥,"With the ritual waters poured into the hands of Brahmins while making a gift to them – waters, which appeared like tears of joy shed by Dharma – he watered the lush forest of merit and completely washed off the inner stain (of sin).",N/A
152,3,34,अशेषमाहेश्वरमौलिरत्नतामुपेयिवान्यः स्वयशःप्रयुक्तिभिः । प्रसादनायेव विभोः किलाखिलान्नगान्निनाय स्फटिकाद्रिभूमिकाम् ॥ ३४ ॥,aśeṣamāheśvaramauliratnatāmupeyivānyaḥ svayaśaḥprayuktibhiḥ | prasādanāyeva vibhoḥ kilākhilānnagānnināya sphaṭikādribhūmikām || 34 ||,समस्तानामीश्वरसेवकानां मुकुटरत्नत्वं धारयन् । महामाहेश्वर इत्यर्थः । यो मन्मथः कैलासवासिनः स्वामिनः प्रसादापादनायेव सकलान्पर्वतान्स्वयशःप्रयोगैः कैलाससाम्यं निनाय । तद्यशः सर्वत्रैव प्रसिद्धमभूदित्यर्थः ॥,"The crest-jewel of all Shaivas, he transformed every mountain into the Crystal Mountain (Mt. Kailasa) by means of his (white) fame, verily to please the Lord.","The Crystal Mountain, which is the abode of Shiva, is an epitome of whiteness. The overall purport of te verse is that Manmatha's fame spread everywhere (JR)."
153,3,35,वदान्यमास्त्यानबृहत्कृपारसप्रवाहशङ्काजननैकदक्षिणम् । स्वसूक्तिकीर्तिप्रसरैरनश्वरं स विश्ववर्ताख्यमवाप नन्दनम् ॥ ३५ ॥,vadānyamāstyānabṛhatkṛpārasapravāhaśaṅkājananaikadakṣiṇam | svasūktikīrtiprasarairanaśvaraṃ sa viśvavartākhyamavāpa nandanam || 35 ||,बहुप्रदमत एवास्त्यानः कठिनीकृतः करुणारस इति सम्भावनाया जनन एकं दक्षिणमनुकूलम् । शङ्काया जननं यस्याः सा दक्षिणा धनादिदानं यस्येति वा । अयं मूर्तः करुणारस एवेति सम्भाव्यते । स्वाकृत्रिमा याः सूक्तिकीर्तयस्तासामुल्लासैरनश्वरमविनाशिनं स्थिरप्रियोक्तियशसं विश्ववर्तनामानं पुत्रं स लेभे ॥,"He begot a son by name Vishvavarta – made immortal by the spreading fame of his good sayings; a generous man, about whom one wondered if he were the massive stream of melting compassion that had become solidified.","A contrast seems implied through the words 'vadānya' (= 'bahuprada', JR) that means 'generous' and 'ekadakṣiṇa', meaning 'making only one object as gift'."
154,3,36,अनेकशो येन धृताङ्कुशा इव प्रचारशान्त्यै कलिदुष्टदन्तिनः । अरालसौवर्णविषाणकोटयः कति द्विजेभ्यो ददिरे न धेनवः ॥ ३६ ॥,anekaśo yena dhṛtāṅkuśā iva pracāraśāntyai kaliduṣṭadantinaḥ | arālasauvarṇaviṣāṇakoṭayaḥ kati dvijebhyo dadire na dhenavaḥ || 36 ||,कलिः कलहः कलियुगं च । स एव दुष्टो मत्तो हस्ती तस्य यः प्रचारो यथेष्टं सञ्चरणं तन्निरोधाय धृतोऽङ्कुशो याभिस्तादृश्य इव । अराला कुटिला सौवर्णी विषाणकोटिः शृङ्गाग्रं यासां ताः । कति न धेनवो नवप्रसूता गावो येन विश्ववर्तेन दत्ताः। विधिपूर्वकस्य गोप्रदानस्य माहात्म्यात्कलिः सङ्कुचतीत्यर्थः ॥,"How many cows, with curved, golden horn tips – carrying goads as it were in order to restrain the movement of the rogue elephant, namely, the (wicked) Kali epoch – did he not donate to Brahmins repeatedly?","The gift of cows, being a Dharmic act, can counter Kali’s evil presence (JR). The horns are compared to goads because of their curvedness. Since the word 'kali' also means 'kalaha' ('fight'), as noted by JR, ' kaliduṣṭadantī' can also be translated as 'the attacking rogue elephant'. "
155,3,37,गलत्यविद्यातिमिरे शुभापतद्गुरूपदेशाञ्जनसेवनेन यः । विशुद्धदृष्टिः क्व न पारमेश्वरं वपुर्विमुच्य द्वयमेकमैक्षत ॥ ३७ ॥,galatyavidyātimire śubhāpatadgurūpadeśāñjanasevanena yaḥ | viśuddhadṛṣṭiḥ kva na pārameśvaraṃ vapurvimucya dvayamekamaikṣata || 37 ||,शुभैरापतञ्छुभ आपतन्वा यो गुरूपदेशः स एवाञ्जनं तत्सेवनेनाविद्यातिमिरेऽज्ञानरूपे नेत्ररोगविशेषे गलति सति विशुद्धा निर्मला दृष्टिर्ज्ञानं यस्य सः। द्वयं द्वैतं त्यक्त्वैकं पारमेश्वरं वपुः क्व नैक्षत सर्वगतं परमेश्वरमपश्यदित्यर्थः । अञ्जनसेवया च तिमिरे शाम्यति सति चन्द्रादि विषयं द्वैताभासं त्यक्त्वैक एव दृश्यते ॥,"The Guru’s teaching was a potent salve which he had earned by the merit of his past actions. As the darkness of his ignorance melted away under its influence and his vision cleared, he was cured of his double vision and beheld the unity of Shiva’s form everywhere.",The application of medicated salve to the eyes cures double vision (JR).
156,3,38,सहस्रशो भक्तिकथासु वक्षसि स्खलद्भिरानन्दभुवोऽश्रुणः कणैः । रराज यो हृद्गतमिन्दुशेखरं भजन्निवानर्गलमर्घमौक्तिकैः ॥ ३८ ॥,sahasraśo bhaktikathāsu vakṣasi skhaladbhirānandabhuvo'śruṇaḥ kaṇaiḥ | rarāja yo hṛdgataminduśekharaṃ bhajannivānargalamarghamauktikaiḥ || 38 ||,परमेश्वरभक्तिचर्चासु सहस्रसङ्ख्यैर्वक्षसि पतद्भिरानन्दजलकणैर्हेतुभिरर्घमुक्ताफलैर्हृद्गतं हरं सेवमानो यः शुशुभे। सहजभक्तिवशादीश्वरकथासु तस्यानन्दाश्रु पततीत्यर्थः॥,"Through the teardrops of joy scattering over his chest in their hundreds during devotional discourses, he seemed to freely worship Shiva, seated in his heart, with a shower of precious pearls.",N/A
157,3,39,महद्भिरामूर्धतलं दिवः पदं निजैर्विशङ्क्येव भृतं सुकर्मभिः । अनुल्बणो यो विनयावरुद्धया धिया सदैवावनताननोऽभवत् ॥ ३९ ॥,mahadbhirāmūrdhatalaṃ divaḥ padaṃ nijairviśaṅkyeva bhṛtaṃ sukarmabhiḥ | anulbaṇo yo vinayāvaruddhayā dhiyā sadaivāvanatānano'bhavat || 39 ||,सविनयया बुद्ध्या शान्तो यः पुण्यैः पूरितं नभः शङ्कित्वेव नित्यमेव नतमुखोऽभवत् । अवकाशे हि सति शिर उन्नमयितुं शक्यते । मदहेतुभूतानां धनादीनां सम्भवेऽप्यनुद्धतकन्धर आसीदित्यर्थः॥,"Quiet and unassuming due to his refined intellect, he always kept his face down believing, as it were, that great men, by their pious actions, had completely filled up the higher regions as far below as the crown of his head.","The purport is that he was free of pride in spite of being wealthy, etc. One cannot lift one’s head up if there is no space above (JR)."
158,3,40,उपेत्य पादद्वितयं जगाहिरे नमत्समग्रामरकेशकौशलम् । करालकालोरगकङ्कणस्रजां भुजेषु चक्रुः पुनरुक्तकल्पनम् ॥ ४० ॥,upetya pādadvitayaṃ jagāhire namatsamagrāmarakeśakauśalam | karālakāloragakaṅkaṇasrajāṃ bhujeṣu cakruḥ punaruktakalpanam || 40 ||,See under verse 44 below,See under verse 44 below,See under verse 44 below
159,3,41,वितेनिरे प्राप्य गलस्थलं शनैरकाण्डरोहद्गरलान्तरभ्रमम् । नवोद्गतश्मश्रुनिवेशपेशलं कपोलमूले दधति स्म विभ्रमम् ॥ ४१ ॥,"vitenire prāpya galasthalaṃ śanairakāṇḍarohadgaralāntarabhramam |
navodgataśmaśruniveśapeśalaṃ kapolamūle dadhati sma vibhramam || 41 ||",See under verse 44 below,See under verse 44 below,See under verse 44 below
160,3,42,ललाटिकालिङ्गनलीढपार्वतीकुरङ्गनाभीतिलकाङ्कुरायितम् । क्रमात्प्रपद्यालिकपट्टवर्त्मनि क्षणावतंसप्रणयं प्रणिन्यिरे ॥ ४२ ॥,lalāṭikāliṅganalīḍhapārvatīkuraṅganābhītilakāṅkurāyitam | kramātprapadyālikapaṭṭavartmani kṣaṇāvataṃsapraṇayaṃ praṇinyire || 42 ||,See under verse 44 below,See under verse 44 below,See under verse 44 below
161,3,43,शिरःशशाङ्कस्य विवव्रुरन्तिके सभाजनासन्ननिशीथिनीप्रथाम् । ययुस्ततो जूटसुरापगातटे जलग्रहव्यग्रपयोदवैदुषीम् ॥ ४३ ॥,śiraḥśaśāṅkasya vivavrurantike sabhājanāsannaniśīthinīprathām | yayustato jūṭasurāpagātaṭe jalagrahavyagrapayodavaiduṣīm || 43 ||,See under verse 44 below,See under verse 44 below,See under verse 44 below
162,3,44,समुच्छ्वसद्भक्तिलतानिमन्त्रितद्विरेफपङ्क्तिप्रतिनायकश्रियः । अनेकदग्धागुरुधूमराजयो यदर्चनस्यावसरे पिनाकिनः॥ ४४ ॥ (कुलकम्),"samucchvasadbhaktilatānimantritadvirephapaṅktipratināyakaśriyaḥ
anekadagdhāgurudhūmarājayo yadarcanasyāvasare pinākinaḥ || 44 || (kulakam) ",विकसन्त्या भक्तिलतयाहूता या भ्रमरमाला तत्प्रतिनिधिशोभा यत्कर्तृकस्य हरपूजनस्य समयेऽनेका दग्धागुरोर्धूमपङ्क्तयो महेश्वरचरणद्वयं प्राप्य नमतां समग्राणाममराणां सम्बन्धिनां केशानां कौशलं शोभां प्रापुः । तथेश्वरस्य भुजौ प्राप्य कालसर्पा एव कङ्कणस्रजस्तासां पुनरुक्तकल्पनं द्विर्भावं कल्पयामासुः । सर्पसमा आसन्नित्यर्थः । ततश्च गलतलं प्राप्य धूमरेखा अकाण्डे समुद्रादिमथनव्यतिरिक्तकाले रोहतो गरलान्तरस्य द्वितीयविषस्य भ्रान्तिं चक्रुः । नव उद्गतो भिन्नो यः कूर्चसन्निवेशस्तेन पेशलं मनोरमं विभ्रमं गण्डतले दधुः । ततश्च ललाटिका ललाटभूषणं तदालिङ्गनेऽवलीढः सङ्क्रान्तो यो गौरीकस्तूरीतिलकस्तद्वदाचरितं सादृश्यं प्राप्य ललाटतटेक्षणं भूषणत्वं चक्रुः । पूर्वकालविवक्षा नात्र प्रधानम् । तिलकत्वं चक्रुरिति वा योजना । ततश्च मौलिचन्द्रमसो निकटे धूमलेखाश्चन्द्रस्य नायकत्वात्प्रीतिदर्शनार्थमागता रात्रिस्तद्भ्रान्तिं चक्रुः । ततश्च गङ्गातटे धूमलेखा जलग्रहणागतमेघभ्रान्ति चक्रुः ॥,"40 to 44. Akin to swarms of bees summoned by the blooming creeper of devotion, copious coils of smoke billowed up from the incense that burned during his ritualistic worship of Shiva. Approaching the feet (of Shiva, as identified with his image), they cleverly mimicked the locks of all the celestials bending down; over the arms, they duplicated the dark serpents that formed a row of bracelets; nearing the neck, they gradually conjured up a second poison arising out of the blue; on the sides of the cheeks, they assumed the loveliness of a freshly sprouting beard; on the forehead’s broad, tablet-like surface, they became a momentary ornament - resembling Parvati’s sprout-like musk mark stamped therein when the Lord rubbed his forehead against her forehead design; in the vicinity of the Moon adorning the crown, they bespoke the glory of Lady Night drawing close (to her lover, the Moon) for conveying her love; and on the banks of the Celestial River in the matted tresses, they put up a skilful display of impatient clouds come to imbibe water.","This is a set of five verses forming one unit. A set of more than four connected verses goes by the name of Kulaka (‘kalāpakaṃ caturbhiśca tadūrdhvaṃ kulakaṃ matam’, Sāhityadarpaṇa, 6.287). These verses all describe the various shapes assumed by the coils of incense smoke; swarms of bees, locks of hair, serpents, poison, beard, musk mark, night, and clouds are all black in colour."
163,3,45,पुरः स शृङ्गारमुदारचेष्टितं सुतं प्रपेदे पदमेकमुन्नतेः । मुखेन यः सत्यसरस्वतीमयश्रिणार्धनारीश्वरतामिवाग्रहीत् ॥ ४५ ॥,puraḥ sa śṛṅgāramudāraceṣṭitaṃ sutaṃ prapede padamekamunnateḥ | mukhena yaḥ satyasarasvatīmayaśriṇārdhanārīśvaratāmivāgrahīt || 45 ||,"सत्यं च सरस्वती च तन्मयी श्रीर्यस्य तेन मुखेन यः शृङ्गारोऽर्धनारीश्वरभावमिव गृहीतवान् । तथौन्नत्यस्थानं तं पुत्रं प्राप्तवान् । सत्यमीश्वरस्थानीयम्, सरस्वती नारीस्थानीया ॥","He first fathered a son, Shrngara by name, who was noble in his conduct and singularly held an eminent status. His (i.e., Shrngara’s) countenance beamed with the lustre born of truth and eloquence, so it seemed he had partaken of Shiva’s androgynous nature.","Truth stands for Shiva and eloquence for Parvati, wherefore the androgynous nature of his countenance (JR)."
164,3,46,कवित्ववक्तृत्वमयैरनुद्रुतं प्रदानभोगादिमयैस्तथोर्मिभिः । सरस्वती श्रीश्च मिथः समागते यमाश्रितद्वीपदशं विवव्रतुः ॥ ४६ ॥,kavitvavaktṛtvamayairanudrutaṃ pradānabhogādimayaistathormibhiḥ | sarasvatī śrīśca mithaḥ samāgate yamāśritadvīpadaśaṃ vivavratuḥ || 46 ||,कवित्वं च वक्तृत्वं च तन्मयैरूर्मिभिरनुगतं तथा दानभोगप्रकृतिभिस्तरङ्गैरनुगतं यं सरखती लक्ष्मीश्च द्वीपदशं चक्रतुः । लक्ष्मीश्च सरस्वती च तस्यास्तामित्यर्थः ॥,Sarasvati and Lakshmi came together and made him their island of refuge - kissed by the waves of poesy and oratory on one side and the waves of munificence and enjoyment on the other.,An island is kissed by waves on both sides.
165,3,47,अरालयद्भ्रूकुटिकृष्णपन्नगीनिरङ्कुशश्छिन्नपथो यतोऽभवत् । अतः प्रतापो युधि हर्षभूभुजश्चकार यात्रामपुनर्निवृत्तये ॥ ४७ ॥,arālayadbhrūkuṭikṛṣṇapannagīniraṅkuśaśchinnapatho yato'bhavat | ataḥ pratāpo yudhi harṣabhūbhujaścakāra yātrāmapunarnivṛttaye || 47 ||,See under verse 50 below,See under verse 50 below,See under verse 50 below
166,3,48,ज्वलत्प्रतापाग्निसमक्षमक्षतं जयश्रियो यो घटयन्करग्रहम् । अखण्डजन्यान्तरबद्धपद्धतिः सहेलमैक्षिष्ट कबन्धनर्तनम् ॥ ४८ ॥,jvalatpratāpāgnisamakṣamakṣataṃ jayaśriyo yo ghaṭayankaragraham | akhaṇḍajanyāntarabaddhapaddhatiḥ sahelamaikṣiṣṭa kabandhanartanam || 48 ||,See under verse 50 below,See under verse 50 below,See under verse 50 below
167,3,49,अनुक्षणानेकनिपीतशात्रवप्रतापवह्निप्रतिवर्षणादिव । असह्यतां कस्य न नाम निष्पतज्जगाम यद्वामविलोचनाञ्चलम् ॥ ४९ ॥,anukṣaṇānekanipītaśātravapratāpavahniprativarṣaṇādiva | asahyatāṃ kasya na nāma niṣpatajjagāma yadvāmavilocanāñcalam || 49 ||,See under verse 50 below,See under verse 50 below,See under verse 50 below
