म०,सू०,मं०,अष्ट०,अ०,व०,Mantra
1,2,6,1,1,4,वाय॒विन्द्र॑श्च सुन्व॒त आ या॑त॒मुप॑ निष्कृ॒तम् । म॒क्ष्वि१॒॑त्था धि॒या न॑रा ॥ 
1,2,7,1,1,4,मि॒त्रं हु॑वे पू॒तद॑क्षं॒ वरु॑णं च रि॒शाद॑सम् । धियं॑ घृ॒ताचीं॒ साध॑न्ता ॥
1,2,8,1,1,4,ऋ॒तेन॑ मित्रावरुणावृतावृधावृतस्पृशा । क्रतुं॑ बृ॒हन्त॑माशाथे ॥ 
1,2,9,1,1,4,क॒वी नो॑ मि॒त्रावरु॑णा तुविजा॒ता उ॑रु॒क्षया॑ । दक्षं॑ दधाते अ॒पस॑म् ॥
1,3,1,1,1,5,अश्वि॑ना॒ यज्व॑री॒रिषो॒ द्रव॑त्पाणी॒ शुभ॑स्पती । पुरु॑भुजा चन॒स्यत॑म् ॥ 
1,3,2,1,1,5,अश्वि॑ना॒ पुरु॑दंससा॒ नरा॒ शवी॑रया धि॒या । धिष्ण्या॒ वन॑तं॒ गिर॑ः ॥
1,3,3,1,1,5,दस्रा॑ यु॒वाक॑वः सु॒ता नास॑त्या वृ॒क्तब॑र्हिषः । आ या॑तं रुद्रवर्तनी ॥ 
1,3,4,1,1,5,इन्द्रा या॑हि चित्रभानो सु॒ता इ॒मे त्वा॒यव॑ः । अण्वी॑भि॒स्तना॑ पू॒तास॑ः ॥
1,3,5,1,1,5,इन्द्रा या॑हि धि॒येषि॒तो विप्र॑जूतः सु॒ताव॑तः । उप॒ ब्रह्मा॑णि वा॒घत॑ः ॥ 
1,3,6,1,1,5,इन्द्रा या॑हि॒ तूतु॑जान॒ उप॒ ब्रह्मा॑णि हरिवः । सु॒ते द॑धिष्व न॒श्चन॑ः ॥
1,3,7,1,1,6,ओमा॑सश्चर्षणीधृतो॒ विश्वे॑ देवास॒ आ ग॑त । दा॒श्वांसो॑ दा॒शुष॑ः सु॒तम् ॥ 
1,3,8,1,1,6,विश्वे॑ दे॒वासो॑ अ॒प्तुर॑ः सु॒तमा ग॑न्त॒ तूर्ण॑यः । उ॒स्रा इ॑व॒ स्वस॑राणि ॥
1,3,9,1,1,6,विश्वे॑ दे॒वासो॑ अ॒स्रिध॒ एहि॑मायासो अ॒द्रुह॑ः । मेधं॑ जुषन्त॒ वह्न॑यः ॥ 
1,3,10,1,1,6,पा॒व॒का न॒ः सर॑स्वती॒ वाजे॑भिर्वा॒जिनी॑वती । य॒ज्ञं व॑ष्टु धि॒याव॑सुः ॥
1,3,11,1,1,6,चो॒द॒यि॒त्री सू॒नृता॑नां॒ चेत॑न्ती सुमती॒नाम् । य॒ज्ञं द॑धे॒ सर॑स्वती ॥ 
1,3,12,1,1,6,म॒हो अर्ण॒ः सर॑स्वती॒ प्र चे॑तयति के॒तुना॑ । धियो॒ विश्वा॒ वि रा॑जति ॥
1,4,1,1,1,7,सु॒रू॒प॒कृ॒त्नुमू॒तये॑ सु॒दुघा॑मिव गो॒दुहे॑ । जु॒हू॒मसि॒ द्यवि॑द्यवि ॥ 
1,4,2,1,1,7,उप॑ न॒ः सव॒ना ग॑हि॒ सोम॑स्य सोमपाः पिब । गो॒दा इद्रे॒वतो॒ मद॑ः ॥
1,4,3,1,1,7,अथा॑ ते॒ अन्त॑मानां वि॒द्याम॑ सुमती॒नाम् । मा नो॒ अति॑ ख्य॒ आ ग॑हि ॥
1,4,4,1,1,7,परे॑हि॒ विग्र॒मस्तृ॑त॒मिन्द्रं॑ पृच्छा विप॒श्चित॑म् । यस्ते॒ सखि॑भ्य॒ आ वर॑म् ॥
1,4,5,1,1,7,उ॒त ब्रु॑वन्तु नो॒ निदो॒ निर॒न्यत॑श्चिदारत । दधा॑ना॒ इन्द्र॒ इद्दुव॑ः ॥
1,4,6,1,1,8,उ॒त न॑ः सु॒भगाँ॑ अ॒रिर्वो॒चेयु॑र्दस्म कृ॒ष्टय॑ः । स्यामेदिन्द्र॑स्य॒ शर्म॑णि ॥
1,4,7,1,1,8,एमा॒शुमा॒शवे॑ भर यज्ञ॒श्रियं॑ नृ॒माद॑नम् । प॒त॒यन्म॑न्द॒यत्स॑खम् ॥
1,4,8,1,1,8,अ॒स्य पी॒त्वा श॑तक्रतो घ॒नो वृ॒त्राणा॑मभवः । प्रावो॒ वाजे॑षु वा॒जिन॑म् ॥
1,4,9,1,1,8,तं त्वा॒ वाजे॑षु वा॒जिनं॑ वा॒जया॑मः शतक्रतो । धना॑नामिन्द्र सा॒तये॑ ॥
1,4,10,1,1,8,यो रा॒यो॒३॒॑ऽवनि॑र्म॒हान्सु॑पा॒रः सु॑न्व॒तः सखा॑ । तस्मा॒ इन्द्रा॑य गायत ॥
1,5,1,1,1,9,आ त्वेता॒ नि षी॑द॒तेन्द्र॑म॒भि प्र गा॑यत । सखा॑य॒ः स्तोम॑वाहसः ॥
1,5,2,1,1,9,पु॒रू॒तमं॑ पुरू॒णामीशा॑नं॒ वार्या॑णाम् । इन्द्रं॒ सोमे॒ सचा॑ सु॒ते ॥
1,5,3,1,1,9,स घा॑ नो॒ योग॒ आ भु॑व॒त्स रा॒ये स पुरं॑ध्याम् । गम॒द्वाजे॑भि॒रा स न॑ः ॥
1,5,4,1,1,9,यस्य॑ सं॒स्थे न वृ॒ण्वते॒ हरी॑ स॒मत्सु॒ शत्र॑वः । तस्मा॒ इन्द्रा॑य गायत ॥
1,5,5,1,1,9,सु॒त॒पाव्ने॑ सु॒ता इ॒मे शुच॑यो यन्ति वी॒तये॑ । सोमा॑सो॒ दध्या॑शिरः ॥
1,5,6,1,1,10,त्वं सु॒तस्य॑ पी॒तये॑ स॒द्यो वृ॒द्धो अ॑जायथाः । इन्द्र॒ ज्यैष्ठ्या॑य सुक्रतो ॥
1,5,7,1,1,10,आ त्वा॑ विशन्त्वा॒शव॒ः सोमा॑स इन्द्र गिर्वणः । शं ते॑ सन्तु॒ प्रचे॑तसे ॥
1,5,8,1,1,10,त्वां स्तोमा॑ अवीवृध॒न्त्वामु॒क्था श॑तक्रतो । त्वां व॑र्धन्तु नो॒ गिर॑ः ॥
1,5,9,1,1,10,अक्षि॑तोतिः सनेदि॒मं वाज॒मिन्द्र॑ः सह॒स्रिण॑म् । यस्मि॒न्विश्वा॑नि॒ पौंस्या॑ ॥
1,5,10,1,1,10,मा नो॒ मर्ता॑ अ॒भि द्रु॑हन्त॒नूना॑मिन्द्र गिर्वणः । ईशा॑नो यवया व॒धम् ॥
1,6,1,1,1,11,यु॒ञ्जन्ति॑ ब्र॒ध्नम॑रु॒षं चर॑न्तं॒ परि॑ त॒स्थुष॑ः । रोच॑न्ते रोच॒ना दि॒वि ॥
1,6,2,1,1,11,यु॒ञ्जन्त्य॑स्य॒ काम्या॒ हरी॒ विप॑क्षसा॒ रथे॑ । शोणा॑ धृ॒ष्णू नृ॒वाह॑सा ॥
1,6,3,1,1,11,के॒तुं कृ॒ण्वन्न॑के॒तवे॒ पेशो॑ मर्या अपे॒शसे॑ । समु॒षद्भि॑रजायथाः ॥
1,6,4,1,1,11,आदह॑ स्व॒धामनु॒ पुन॑र्गर्भ॒त्वमे॑रि॒रे । दधा॑ना॒ नाम॑ य॒ज्ञिय॑म् ॥
1,6,5,1,1,11,वी॒ळु चि॑दारुज॒त्नुभि॒र्गुहा॑ चिदिन्द्र॒ वह्नि॑भिः । अवि॑न्द उ॒स्रिया॒ अनु॑ ॥
1,6,6,1,1,12,दे॒व॒यन्तो॒ यथा॑ म॒तिमच्छा॑ वि॒दद्व॑सुं॒ गिर॑ः । म॒हाम॑नूषत श्रु॒तम् ॥
1,6,7,1,1,12,इन्द्रे॑ण॒ सं हि दृक्ष॑से संजग्मा॒नो अबि॑भ्युषा । म॒न्दू स॑मा॒नव॑र्चसा ॥
1,6,8,1,1,12,अ॒न॒व॒द्यैर॒भिद्यु॑भिर्म॒खः सह॑स्वदर्चति । ग॒णैरिन्द्र॑स्य॒ काम्यै॑ः ॥
1,6,9,1,1,12,अत॑ः परिज्म॒न्ना ग॑हि दि॒वो वा॑ रोच॒नादधि॑ । सम॑स्मिन्नृञ्जते॒ गिर॑ः ॥
1,6,10,1,1,12,इ॒तो वा॑ सा॒तिमीम॑हे दि॒वो वा॒ पार्थि॑वा॒दधि॑ । इन्द्रं॑ म॒हो वा॒ रज॑सः ॥
1,7,1,1,1,13,इन्द्र॒मिद्गा॒थिनो॑ बृ॒हदिन्द्र॑म॒र्केभि॑र॒र्किण॑ः । इन्द्रं॒ वाणी॑रनूषत ॥
1,7,2,1,1,13,इन्द्र॒ इद्धर्यो॒ः सचा॒ सम्मि॑श्ल॒ आ व॑चो॒युजा॑ । इन्द्रो॑ व॒ज्री हि॑र॒ण्यय॑ः ॥
1,7,3,1,1,13,इन्द्रो॑ दी॒र्घाय॒ चक्ष॑स॒ आ सूर्यं॑ रोहयद्दि॒वि । वि गोभि॒रद्रि॑मैरयत् ॥
1,7,4,1,1,13,इन्द्र॒ वाजे॑षु नोऽव स॒हस्र॑प्रधनेषु च । उ॒ग्र उ॒ग्राभि॑रू॒तिभि॑ः ॥
1,7,5,1,1,13,इन्द्रं॑ व॒यं म॑हाध॒न इन्द्र॒मर्भे॑ हवामहे । युजं॑ वृ॒त्रेषु॑ व॒ज्रिण॑म् ॥
1,7,6,1,1,14,स नो॑ वृषन्न॒मुं च॒रुं सत्रा॑दाव॒न्नपा॑ वृधि । अ॒स्मभ्य॒मप्र॑तिष्कुतः ॥
1,7,7,1,1,14,तु॒ञ्जेतु॑ञ्जे॒ य उत्त॑रे॒ स्तोमा॒ इन्द्र॑स्य व॒ज्रिण॑ः । न वि॑न्धे अस्य सुष्टु॒तिम् ॥
1,7,8,1,1,14,वृषा॑ यू॒थेव॒ वंस॑गः कृ॒ष्टीरि॑य॒र्त्योज॑सा । ईशा॑नो॒ अप्र॑तिष्कुतः ॥
1,7,9,1,1,14,य एक॑श्चर्षणी॒नां वसू॑नामिर॒ज्यति॑ । इन्द्र॒ः पञ्च॑ क्षिती॒नाम् ॥
1,7,10,1,1,14,इन्द्रं॑ वो वि॒श्वत॒स्परि॒ हवा॑महे॒ जने॑भ्यः । अ॒स्माक॑मस्तु॒ केव॑लः ॥
1,8,1,1,1,15,एन्द्र॑ सान॒सिं र॒यिं स॒जित्वा॑नं सदा॒सह॑म् । वर्षि॑ष्ठमू॒तये॑ भर ॥
1,8,2,1,1,15,नि येन॑ मुष्टिह॒त्यया॒ नि वृ॒त्रा रु॒णधा॑महै । त्वोता॑सो॒ न्यर्व॑ता ॥
1,8,3,1,1,15,इन्द्र॒ त्वोता॑स॒ आ व॒यं वज्रं॑ घ॒ना द॑दीमहि । जये॑म॒ सं यु॒धि स्पृध॑ः ॥
1,8,4,1,1,15,व॒यं शूरे॑भि॒रस्तृ॑भि॒रिन्द्र॒ त्वया॑ यु॒जा व॒यम् । सा॒स॒ह्याम॑ पृतन्य॒तः ॥
1,8,5,1,1,15,म॒हाँ इन्द्र॑ः प॒रश्च॒ नु म॑हि॒त्वम॑स्तु व॒ज्रिणे॑ । द्यौर्न प्र॑थि॒ना शव॑ः ॥
1,8,6,1,1,16,स॒मो॒हे वा॒ य आश॑त॒ नर॑स्तो॒कस्य॒ सनि॑तौ । विप्रा॑सो वा धिया॒यव॑ः ॥
1,8,7,1,1,16,यः कु॒क्षिः सो॑म॒पात॑मः समु॒द्र इ॑व॒ पिन्व॑ते । उ॒र्वीरापो॒ न का॒कुद॑ः ॥
1,8,8,1,1,16,ए॒वा ह्य॑स्य सू॒नृता॑ विर॒प्शी गोम॑ती म॒ही । प॒क्वा शाखा॒ न दा॒शुषे॑ ॥
1,8,9,1,1,16,ए॒वा हि ते॒ विभू॑तय ऊ॒तय॑ इन्द्र॒ माव॑ते । स॒द्यश्चि॒त्सन्ति॑ दा॒शुषे॑ ॥
1,8,10,1,1,16,ए॒वा ह्य॑स्य॒ काम्या॒ स्तोम॑ उ॒क्थं च॒ शंस्या॑ । इन्द्रा॑य॒ सोम॑पीतये ॥
1,9,1,1,1,17,इन्द्रेहि॒ मत्स्यन्ध॑सो॒ विश्वे॑भिः सोम॒पर्व॑भिः । म॒हाँ अ॑भि॒ष्टिरोज॑सा ॥
1,9,2,1,1,17,एमे॑नं सृजता सु॒ते म॒न्दिमिन्द्रा॑य म॒न्दिने॑ । चक्रिं॒ विश्वा॑नि॒ चक्र॑ये ॥
1,9,3,1,1,17,मत्स्वा॑ सुशिप्र म॒न्दिभि॒ः स्तोमे॑भिर्विश्वचर्षणे । सचै॒षु सव॑ने॒ष्वा ॥
1,9,4,1,1,17,असृ॑ग्रमिन्द्र ते॒ गिर॒ः प्रति॒ त्वामुद॑हासत । अजो॑षा वृष॒भं पति॑म् ॥
1,9,5,1,1,17,सं चो॑दय चि॒त्रम॒र्वाग्राध॑ इन्द्र॒ वरे॑ण्यम् । अस॒दित्ते॑ वि॒भु प्र॒भु ॥
1,9,6,1,1,18,अ॒स्मान्सु तत्र॑ चोद॒येन्द्र॑ रा॒ये रभ॑स्वतः । तुवि॑द्युम्न॒ यश॑स्वतः ॥
1,9,7,1,1,18,सं गोम॑दिन्द्र॒ वाज॑वद॒स्मे पृ॒थु श्रवो॑ बृ॒हत् । वि॒श्वायु॑र्धे॒ह्यक्षि॑तम् ॥
1,9,8,1,1,18,अ॒स्मे धे॑हि॒ श्रवो॑ बृ॒हद्द्यु॒म्नं स॑हस्र॒सात॑मम् । इन्द्र॒ ता र॒थिनी॒रिष॑ः ॥
1,9,9,1,1,18,वसो॒रिन्द्रं॒ वसु॑पतिं गी॒र्भिर्गृ॒णन्त॑ ऋ॒ग्मिय॑म् । होम॒ गन्ता॑रमू॒तये॑ ॥
1,9,10,1,1,18,सु॒तेसु॑ते॒ न्यो॑कसे बृ॒हद्बृ॑ह॒त एद॒रिः । इन्द्रा॑य शू॒षम॑र्चति ॥
1,10,1,1,1,19,गाय॑न्ति त्वा गाय॒त्रिणोऽर्च॑न्त्य॒र्कम॒र्किण॑ः । ब्र॒ह्माण॑स्त्वा शतक्रत॒ उद्वं॒शमि॑व येमिरे ॥
1,10,2,1,1,19,यत्सानो॒ः सानु॒मारु॑ह॒द्भूर्यस्प॑ष्ट॒ कर्त्व॑म् । तदिन्द्रो॒ अर्थं॑ चेतति यू॒थेन॑ वृ॒ष्णिरे॑जति ॥
1,10,3,1,1,19,यु॒क्ष्वा हि के॒शिना॒ हरी॒ वृष॑णा कक्ष्य॒प्रा । अथा॑ न इन्द्र सोमपा गि॒रामुप॑श्रुतिं चर ॥
1,10,4,1,1,19,एहि॒ स्तोमाँ॑ अ॒भि स्व॑रा॒भि गृ॑णी॒ह्या रु॑व । ब्रह्म॑ च नो वसो॒ सचेन्द्र॑ य॒ज्ञं च॑ वर्धय ॥
1,10,5,1,1,19,उ॒क्थमिन्द्रा॑य॒ शंस्यं॒ वर्ध॑नं पुरुनि॒ष्षिधे॑ । श॒क्रो यथा॑ सु॒तेषु॑ णो रा॒रण॑त्स॒ख्येषु॑ च ॥
1,10,6,1,1,19,तमित्स॑खि॒त्व ई॑महे॒ तं रा॒ये तं सु॒वीर्ये॑ । स श॒क्र उ॒त न॑ः शक॒दिन्द्रो॒ वसु॒ दय॑मानः ॥
1,10,7,1,1,20,सु॒वि॒वृतं॑ सुनि॒रज॒मिन्द्र॒ त्वादा॑त॒मिद्यश॑ः । गवा॒मप॑ व्र॒जं वृ॑धि कृणु॒ष्व राधो॑ अद्रिवः ॥
1,10,8,1,1,20,न॒हि त्वा॒ रोद॑सी उ॒भे ऋ॑घा॒यमा॑ण॒मिन्व॑तः । जेष॒ः स्व॑र्वतीर॒पः सं गा अ॒स्मभ्यं॑ धूनुहि ॥
1,10,9,1,1,20,आश्रु॑त्कर्ण श्रु॒धी हवं॒ नू चि॑द्दधिष्व मे॒ गिर॑ः । इन्द्र॒ स्तोम॑मि॒मं मम॑ कृ॒ष्वा यु॒जश्चि॒दन्त॑रम् ॥
1,10,10,1,1,20,वि॒द्मा हि त्वा॒ वृष॑न्तमं॒ वाजे॑षु हवन॒श्रुत॑म् । वृष॑न्तमस्य हूमह ऊ॒तिं स॑हस्र॒सात॑माम् ॥
1,10,11,1,1,20,आ तू न॑ इन्द्र कौशिक मन्दसा॒नः सु॒तं पि॑ब । नव्य॒मायु॒ः प्र सू ति॑र कृ॒धी स॑हस्र॒सामृषि॑म् ॥
1,10,12,1,1,20,परि॑ त्वा गिर्वणो॒ गिर॑ इ॒मा भ॑वन्तु वि॒श्वत॑ः । वृ॒द्धायु॒मनु॒ वृद्ध॑यो॒ जुष्टा॑ भवन्तु॒ जुष्ट॑यः ॥
1,11,1,1,1,21,इन्द्रं॒ विश्वा॑ अवीवृधन्समु॒द्रव्य॑चसं॒ गिर॑ः । र॒थीत॑मं र॒थीनां॒ वाजा॑नां॒ सत्प॑तिं॒ पति॑म् ॥
1,11,2,1,1,21,स॒ख्ये त॑ इन्द्र वा॒जिनो॒ मा भे॑म शवसस्पते । त्वाम॒भि प्र णो॑नुमो॒ जेता॑र॒मप॑राजितम् ॥
1,11,3,1,1,21,पू॒र्वीरिन्द्र॑स्य रा॒तयो॒ न वि द॑स्यन्त्यू॒तय॑ः । यदी॒ वाज॑स्य॒ गोम॑तः स्तो॒तृभ्यो॒ मंह॑ते म॒घम् ॥
1,11,4,1,1,21,पु॒रां भि॒न्दुर्युवा॑ क॒विरमि॑तौजा अजायत । इन्द्रो॒ विश्व॑स्य॒ कर्म॑णो ध॒र्ता व॒ज्री पु॑रुष्टु॒तः ॥
1,11,5,1,1,21,त्वं व॒लस्य॒ गोम॒तोऽपा॑वरद्रिवो॒ बिल॑म् । त्वां दे॒वा अबि॑भ्युषस्तु॒ज्यमा॑नास आविषुः ॥
1,11,6,1,1,21,तवा॒हं शू॑र रा॒तिभि॒ः प्रत्या॑यं॒ सिन्धु॑मा॒वद॑न् । उपा॑तिष्ठन्त गिर्वणो वि॒दुष्टे॒ तस्य॑ का॒रव॑ः ॥
1,11,7,1,1,21,मा॒याभि॑रिन्द्र मा॒यिनं॒ त्वं शुष्ण॒मवा॑तिरः । वि॒दुष्टे॒ तस्य॒ मेधि॑रा॒स्तेषां॒ श्रवां॒स्युत्ति॑र ॥
1,11,8,1,1,21,इन्द्र॒मीशा॑न॒मोज॑सा॒भि स्तोमा॑ अनूषत । स॒हस्रं॒ यस्य॑ रा॒तय॑ उ॒त वा॒ सन्ति॒ भूय॑सीः ॥
1,12,1,1,1,22,अ॒ग्निं दू॒तं वृ॑णीमहे॒ होता॑रं वि॒श्ववे॑दसम् । अ॒स्य य॒ज्ञस्य॑ सु॒क्रतु॑म् ॥
1,12,2,1,1,22,अ॒ग्निम॑ग्निं॒ हवी॑मभि॒ः सदा॑ हवन्त वि॒श्पति॑म् । ह॒व्य॒वाहं॑ पुरुप्रि॒यम् ॥
1,12,3,1,1,22,अग्ने॑ दे॒वाँ इ॒हा व॑ह जज्ञा॒नो वृ॒क्तब॑र्हिषे । असि॒ होता॑ न॒ ईड्य॑ः ॥
1,12,4,1,1,22,ताँ उ॑श॒तो वि बो॑धय॒ यद॑ग्ने॒ यासि॑ दू॒त्य॑म् । दे॒वैरा स॑त्सि ब॒र्हिषि॑ ॥
1,12,5,1,1,22,घृता॑हवन दीदिव॒ः प्रति॑ ष्म॒ रिष॑तो दह । अग्ने॒ त्वं र॑क्ष॒स्विन॑ः ॥
1,12,6,1,1,22,अ॒ग्निना॒ग्निः समि॑ध्यते क॒विर्गृ॒हप॑ति॒र्युवा॑ । ह॒व्य॒वाड्जु॒ह्वा॑स्यः ॥
1,12,7,1,1,23,क॒विम॒ग्निमुप॑ स्तुहि स॒त्यध॑र्माणमध्व॒रे । दे॒वम॑मीव॒चात॑नम् ॥
1,12,8,1,1,23,यस्त्वाम॑ग्ने ह॒विष्प॑तिर्दू॒तं दे॑व सप॒र्यति॑ । तस्य॑ स्म प्रावि॒ता भ॑व ॥
1,12,9,1,1,23,यो अ॒ग्निं दे॒ववी॑तये ह॒विष्माँ॑ आ॒विवा॑सति । तस्मै॑ पावक मृळय ॥
1,12,10,1,1,23,स न॑ः पावक दीदि॒वोऽग्ने॑ दे॒वाँ इ॒हा व॑ह । उप॑ य॒ज्ञं ह॒विश्च॑ नः ॥
1,12,11,1,1,23,स न॒ः स्तवा॑न॒ आ भ॑र गाय॒त्रेण॒ नवी॑यसा । र॒यिं वी॒रव॑ती॒मिष॑म् ॥
1,12,12,1,1,23,अग्ने॑ शु॒क्रेण॑ शो॒चिषा॒ विश्वा॑भिर्दे॒वहू॑तिभिः । इ॒मं स्तोमं॑ जुषस्व नः ॥
1,13,1,1,1,24,सुस॑मिद्धो न॒ आ व॑ह दे॒वाँ अ॑ग्ने ह॒विष्म॑ते । होत॑ः पावक॒ यक्षि॑ च ॥
1,13,2,1,1,24,मधु॑मन्तं तनूनपाद्य॒ज्ञं दे॒वेषु॑ नः कवे । अ॒द्या कृ॑णुहि वी॒तये॑ ॥
1,13,3,1,1,24,नरा॒शंस॑मि॒ह प्रि॒यम॒स्मिन्य॒ज्ञ उप॑ ह्वये । मधु॑जिह्वं हवि॒ष्कृत॑म् ॥
1,13,4,1,1,24,अग्ने॑ सु॒खत॑मे॒ रथे॑ दे॒वाँ ई॑ळि॒त आ व॑ह । असि॒ होता॒ मनु॑र्हितः ॥
1,13,5,1,1,24,स्तृ॒णी॒त ब॒र्हिरा॑नु॒षग्घृ॒तपृ॑ष्ठं मनीषिणः । यत्रा॒मृत॑स्य॒ चक्ष॑णम् ॥
1,13,6,1,1,24,वि श्र॑यन्तामृता॒वृधो॒ द्वारो॑ दे॒वीर॑स॒श्चत॑ः । अ॒द्या नू॒नं च॒ यष्ट॑वे ॥
1,13,7,1,1,25,नक्तो॒षासा॑ सु॒पेश॑सा॒स्मिन्य॒ज्ञ उप॑ ह्वये । इ॒दं नो॑ ब॒र्हिरा॒सदे॑ ॥
1,13,8,1,1,25,ता सु॑जि॒ह्वा उप॑ ह्वये॒ होता॑रा॒ दैव्या॑ क॒वी । य॒ज्ञं नो॑ यक्षतामि॒मम् ॥
1,13,9,1,1,25,इळा॒ सर॑स्वती म॒ही ति॒स्रो दे॒वीर्म॑यो॒भुव॑ः । ब॒र्हिः सी॑दन्त्व॒स्रिध॑ः ॥
1,13,10,1,1,25,इ॒ह त्वष्टा॑रमग्रि॒यं वि॒श्वरू॑प॒मुप॑ ह्वये । अ॒स्माक॑मस्तु॒ केव॑लः ॥
1,13,11,1,1,25,अव॑ सृजा वनस्पते॒ देव॑ दे॒वेभ्यो॑ ह॒विः । प्र दा॒तुर॑स्तु॒ चेत॑नम् ॥
1,13,12,1,1,25,स्वाहा॑ य॒ज्ञं कृ॑णोत॒नेन्द्रा॑य॒ यज्व॑नो गृ॒हे । तत्र॑ दे॒वाँ उप॑ ह्वये ॥
1,14,1,1,1,26,ऐभि॑रग्ने॒ दुवो॒ गिरो॒ विश्वे॑भि॒ः सोम॑पीतये । दे॒वेभि॑र्याहि॒ यक्षि॑ च ॥
1,14,2,1,1,26,आ त्वा॒ कण्वा॑ अहूषत गृ॒णन्ति॑ विप्र ते॒ धिय॑ः । दे॒वेभि॑रग्न॒ आ ग॑हि ॥
1,14,3,1,1,26,इ॒न्द्र॒वा॒यू बृह॒स्पतिं॑ मि॒त्राग्निं पू॒षणं॒ भग॑म् । आ॒दि॒त्यान्मारु॑तं ग॒णम् ॥
1,14,4,1,1,26,प्र वो॑ भ्रियन्त॒ इन्द॑वो मत्स॒रा मा॑दयि॒ष्णव॑ः । द्र॒प्सा मध्व॑श्चमू॒षद॑ः ॥
1,14,5,1,1,26,ईळ॑ते॒ त्वाम॑व॒स्यव॒ः कण्वा॑सो वृ॒क्तब॑र्हिषः । ह॒विष्म॑न्तो अरं॒कृत॑ः ॥
1,14,6,1,1,26,घृ॒तपृ॑ष्ठा मनो॒युजो॒ ये त्वा॒ वह॑न्ति॒ वह्न॑यः । आ दे॒वान्सोम॑पीतये ॥
1,14,7,1,1,27,तान्यज॑त्राँ ऋता॒वृधोऽग्ने॒ पत्नी॑वतस्कृधि । मध्व॑ः सुजिह्व पायय ॥
1,14,8,1,1,27,ये यज॑त्रा॒ य ईड्या॒स्ते ते॑ पिबन्तु जि॒ह्वया॑ । मधो॑रग्ने॒ वष॑ट्कृति ॥
1,14,9,1,1,27,आकीं॒ सूर्य॑स्य रोच॒नाद्विश्वा॑न्दे॒वाँ उ॑ष॒र्बुध॑ः । विप्रो॒ होते॒ह व॑क्षति ॥
1,14,10,1,1,27,विश्वे॑भिः सो॒म्यं मध्वग्न॒ इन्द्रे॑ण वा॒युना॑ । पिबा॑ मि॒त्रस्य॒ धाम॑भिः ॥
1,14,11,1,1,27,त्वं होता॒ मनु॑र्हि॒तोऽग्ने॑ य॒ज्ञेषु॑ सीदसि । सेमं नो॑ अध्व॒रं य॑ज ॥
1,14,12,1,1,27,यु॒क्ष्वा ह्यरु॑षी॒ रथे॑ ह॒रितो॑ देव रो॒हित॑ः । ताभि॑र्दे॒वाँ इ॒हा व॑ह ॥
