YAJURVED	मन्त्रसंख्या				
22	1.22	1	22	22	जनयत्यै त्वा संयौमीदमग्नेरिदमग्नीषोमयोरिषे त्वा घर्मोऽसि विश्वायुरुरुप्रथाऽउरु प्रथस्वोरु। ते यज्ञपतिः प्रथतामग्निष्टे त्वचं मा हिꣳसीद् देवस्त्वा सविता श्रपयतु वर्षिष्ठेऽधि नाके ॥२२॥
23	1.23	1	23	23	मा भेर्मा संविक्थाऽअतमेरुर्यज्ञोऽतमेरुर्यजमानस्य प्रजा भूयात् त्रिताय त्वा द्विताय त्वैकताय त्वा ॥२३॥
24	1.24	1	24	24	देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। आददेऽध्वरकृतं देवेभ्यऽइन्द्रस्य बाहुरसि दक्षिणः सहस्रभृष्टिः शततेजा वायुरसि तिग्मतेजा द्विषतो वधः ॥२४॥
25	1.25	1	25	25	पृथिवि देवयजन्योषध्यास्ते मूलं मा हिꣳसिषं व्रजं गच्छ गोष्ठानं वर्षतु ते द्यौर्बधान देव सवितः परमस्यां पृथिव्या शतेन पाशैर्योऽस्मान्द्वेष्टि यं च वयं द्विष्मस्तमतो मा मौक् ॥२५॥
26	1.26	1	26	26	अपाररुं पृथिव्यै देवयजनाद्वध्यासं व्रजं गच्छ गोष्ठानं वर्षतु ते द्यौर्बधान देव सवितः परमस्यां पृथिव्या शतेन पाशैर्योऽस्मान्द्वेष्टि यं च वयं द्विष्मस्तमतो मा मौक्। अररो दिवं मा पप्तो द्रप्सस्ते द्यां मा स्कन् व्रजं गच्छ गोष्ठानं वर्षतु ते द्यौर्बधान देव सवितः परमस्यां पृथिव्या शतेन पाशैर्योऽस्मान्द्वेष्टि यं च वयं द्विष्मस्तमतो मा मौक् ॥२६॥
27	1.27	1	27	27	गायत्रेण त्वा छन्दसा परिगृह्णामि त्रैष्टुभेन त्वा छन्दसा परिगृह्णामि जागतेन त्वा छन्दसा परिगृह्णामि। सुक्ष्मा चासि शिवा चासि स्योना चासि सुषदा चास्यूर्जस्वती चासि पयस्वती च ॥२७॥
28	1.28	1	28	28	पुरा क्रूरस्य विसृपो विरप्शिन्नुदादाय पृथिवीं जीवदानुम्। यामैरयँश्चन्द्रमसि स्वधाभिस्तामु धीरासोऽअनुदिश्य यजन्ते। प्रोक्षणीरासादय द्विषतो वधोसि ॥२८॥
29	1.29	1	29	29	प्रत्युष्टꣳ रक्षः प्रत्युष्टाऽअरातयो निष्टप्तꣳ रक्षो निष्टप्ताऽअरातयः। अनिशितोऽसि सपत्नक्षिद्वाजिनं त्वा वाजेध्यायै सम्मार्ज्मि। प्रत्युष्टꣳ रक्षः प्रत्युष्टाऽअरातयो निष्टप्तꣳ रक्षो निष्टप्ताऽअरातयः। अनिशितासि सपत्नक्षिद्वाजिनीं त्वा वाजेध्यायै सम्मार्ज्मि ॥२९॥
30	1.30	1	30	30	अदित्यै रास्नासि विष्णोर्वेष्पोस्यूर्ज्जे त्वाऽदब्धेन त्वा चक्षुषावपश्यामि। अग्नेर्जिह्वासि सुहूर्देवेभ्यो धाम्ने धाम्ने मे भव यजुषे यजुषे ॥३०॥
31	1.31	1	31	31	सवितुस्त्वा प्रसवऽउत्पुनाम्यच्छिद्रेण पवित्रेण सूर्य्यस्य रश्मिभिः। सवितुर्वः प्रसवऽउत्पुनाम्यच्छिद्रेण पवित्रेण सूर्य्यस्य रश्मिभिः। तेजोऽसि शुक्रमस्यमृतमसि धाम नामासि प्रियं देवानामनाधृष्टं देवयजनमसि ॥३१॥
32	2.1	2	1	32	कृष्णोऽस्याखरेष्ठोऽग्नये त्वा जुष्टं प्रोक्षामि वेदिरसि बर्हिषे त्वा जुष्टां प्रोक्षामि बर्हिरसि स्रुग्भ्यस्त्वा जुष्टं प्रोक्षामि ॥१॥
33	2.2	2	2	33	अदित्यै व्युन्दनमसि विष्णो स्तुपोऽस्यूर्णम्रदसं त्वा स्तृणामि स्वासस्थां देवेभ्यो भुवपतये स्वाहा भुवनपतये स्वाहा भूतानां पतये स्वाहा ॥२॥
34	2.3	2	3	34	गन्धर्वस्त्वा विश्वावसुः परिदधातु विश्वस्यारिष्ट्यै यजमानस्य परिधिरस्यग्निरिडऽईडितः। इन्द्रस्य बाहुरसि दक्षिणो विश्वस्यारिष्ट्यै यजमानस्य परिधिरस्यग्निरिडऽईडितः। मित्रावरुणौ त्वोत्तरतः परिधत्तां ध्रुवेण धर्मणा विश्वस्यारिष्ट्यै यजमानस्य परिधिरस्यग्निरिडऽईडितः ॥३॥
35	2.4	2	4	35	वीतिहोत्रं त्वा कवे द्युमन्तꣳ समिधीमहि। अग्ने बृहन्तमध्वरे ॥४॥
36	2.5	2	5	36	समिदसि सूर्य्यस्त्वा पुरस्तात् पातु कस्याश्चिदभिशस्त्यै। सवितुर्बाहू स्थऽऊर्णम्रदसं त्वा स्तृणामि स्वासस्थं देवेभ्यऽआ त्वा वसवो रुद्राऽआदित्याः सदन्तु ॥५॥
37	2.6	2	6	37	घृताच्यसि जुहूर्नाम्ना सेदं प्रियेण धाम्ना प्रियꣳ सदऽआसीद घृताच्यस्युपभृन्नाम्ना सेदं प्रियेण धाम्ना प्रियꣳ सदऽआसीद घृताच्यसि ध्रुवा नाम्ना सेदं प्रियेण धाम्ना प्रियꣳ सदऽआसीद प्रियेण धाम्ना प्रियꣳ सदऽआसीद। ध्रुवाऽअसदन्नृतस्य योनौ ता विष्णो पाहि पाहि यज्ञं पाहि यज्ञपतिं पाहि मां यज्ञन्यम् ॥६॥
38	2.7	2	7	38	अग्ने वाजजिद् वाजं त्वा सरिष्यन्तं वाजजितꣳ सम्मार्ज्मि। नमो देवेभ्यः स्वधा पितृभ्यः सुयमे मे भूयास्तम् ॥७॥
39	2.8	2	8	39	अस्कन्नमद्य देवेभ्यऽआज्यꣳ संभ्रियासमङ्घ्रिणा विष्णो मा त्वावक्रमिषं वसुमतीमग्ने ते छायामुपस्थेषं विष्णो स्थानमसीतऽइन्द्रो वीर्य्यमकृणोदूर्ध्वोऽध्वरऽआस्थात् ॥८॥
40	2.9	2	9	40	अग्ने वेर्होत्रं वेर्दूत्यमवतां त्वां द्यावापृथिवीऽअव त्वं द्यावापृथिवी स्विष्टकृद्देवेभ्यऽइन्द्रऽआज्ज्येन हविषा भूत्स्वाहा सं ज्योतिषा ज्योतिः ॥९॥
41	2.10	2	10	41	मयीदमिन्द्रऽइन्द्रियं दधात्वस्मान् रायो मघवानः सचन्ताम्। अस्माकꣳ सन्त्वाशिषः सत्या नः सन्त्वाशिषऽउपहूता पृथिवी मातोप मां पृथिवी माता ह्वयतामग्निराग्नीध्रात् स्वाहा ॥१०॥
42	2.11	2	11	42	उपहूतो द्यौष्पितोप मां द्यौष्पिता ह्वयतामग्निराग्नीध्रात् स्वाहा। देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। प्रति गृह्णाम्यग्नेष्ट्वास्येन प्राश्नामि ॥११॥
43	2.12	2	12	43	एतं ते देव सवितर्यज्ञं प्राहुर्बृहस्पतये ब्रह्मणे। तेन यज्ञमव तेन यज्ञपतिं तेन मामव ॥१२॥
44	2.13	2	13	44	मनो जूतिर्जुषतामाज्यस्य बृहस्पतिर्यज्ञमिमं तनोत्वरिष्टं यज्ञꣳ समिमं दधातु। विश्वे देवासऽइह मादयन्तामो३म्प्रतिष्ठ ॥१३॥
45	2.14	2	14	45	एषा तेऽअग्ने समित्तया वर्धस्व चा च प्यायस्व। वर्धिषीमहि च वयमा च प्यासिषीमहि। अग्ने वाजजिद् वाजं त्वा संसृवासं वाजजितꣳ सम्मार्ज्मि ॥१४॥
46	2.15	2	15	46	अग्नीषोमयोरुज्जितिमनूज्जेषं वाजस्य मा प्रसवेन प्रोहामि। अग्नीषोमौ तमपनुदतां योऽस्मान् द्वेष्टि यं च वयं द्विष्मो वाजस्यैनं प्रसवेनापोहामि। इन्द्राग्न्योरुज्जितिमनूज्जेषं वाजस्य मा प्रसवेन प्रोहामि। इन्द्राग्नी तमपनुदतां योऽस्मान् द्वेष्टि यं च वयं द्विष्मो वाजस्यैनं प्रसवेनापोहामि ॥१५॥
47	2.16	2	16	47	वसुभ्यस्त्वा रुद्रेभ्यस्त्वादित्येभ्यस्त्वा संजानाथां द्यावापृथिवी मित्रावरुणौ त्वा वृष्ट्यावताम्। व्यन्तु वयोक्तꣳ रिहाणा मरुतां पृषतीर्गच्छ वशा पृश्निर्भूत्वा दिवं गच्छ ततो नो वृष्टिमावह। चक्षुष्पाऽअग्नेऽसि चक्षुर्मे पाहि ॥१६॥
48	2.17	2	17	48	य परिधिं पर्य्यधत्थाऽअग्ने देवपणिभिर्गुह्यमानः। तं तऽएतमनु जोषं भराम्येष मेत्त्वदपचेतयाताऽअग्नेः प्रियं पाथोऽपीतम् ॥१७॥
49	2.18	2	18	49	सꣳस्रवभागा स्थेषा बृहन्तः प्रस्तरेष्ठाः परिधेयाश्च देवाः। इमां वाचमभि विश्वे गृणन्तऽआसद्यास्मिन् बर्हिषि मादयध्वꣳ स्वाहा वाट् ॥१८॥
50	2.19	2	19	50	घृताची स्थो धुर्यौ पातꣳ सुम्ने स्थः सुम्ने मा धत्तम्। यज्ञ नमश्च तऽउप च यज्ञस्य शिवे सन्तिष्ठस्व स्विष्टे मे संतिष्ठस्व ॥१९॥
51	2.20	2	20	51	अग्नेऽदब्धायोऽशीतम पाहि मा दिद्योः पाहि प्रसित्यै पाहि दुरिष्ट्यै पाहि दुरद्मन्याऽअविषं नः पितुं कृणु। सुषदा योनौ स्वाहा वाडग्नये संवेशपतये स्वाहा सरस्वत्यै यशोभगिन्यै स्वाहा ॥२०॥
52	2.21	2	21	52	वेदोऽसि येन त्वं देव वेद देवेभ्यो वेदोऽभवस्तेन मह्यं वेदो भूयाः। देवा गातुविदो गातुं वित्त्वा गातुमित। मनसस्पतऽइमं देव यज्ञꣳ स्वाहा वाते धाः ॥२१॥
53	2.22	2	22	53	सं बर्हिरङ्क्ता हविषा घृतेन समादित्यैर्वसुभिः सम्मरुद्भिः। समिन्द्रो विश्वदेवेभिरङ्क्तां दिव्यं नभो गच्छतु यत् स्वाहा ॥२२॥
54	2.23	2	23	54	कस्त्वा विमुञ्चति स त्वा विमुञ्चति कस्मै त्वा विमुञ्चति तस्मै त्वा विमुञ्चति। पोषाय रक्षसां भागोऽसि ॥२३॥
55	2.24	2	24	55	सं वर्चसा पयसा सं तनूभिरगन्महि मनसा सꣳ शिवेन। त्वष्टा सुदत्रो विदधातु रायोऽनुमार्ष्टु तन्वो यद्विलिष्टम् ॥२४॥
56	2.25	2	25	56	दिवि विष्णुर्व्यक्रꣳस्त जागतेन च्छन्दसा ततो निर्भक्तो योऽस्मान् द्वेष्टि यं च वयं द्विष्मोऽन्तरिक्षे विष्णुर्व्यक्रꣳस्त त्रैष्टुभेन च्छन्दसा ततो निर्भक्तो योऽस्मान् द्वेष्टि यं च वयं द्विष्मः। पृथिव्यां विष्णुर्व्यक्रꣳस्त गायत्रेण च्छन्दसा ततो निर्भक्तो योऽस्मान् द्वेष्टि यं च वयं द्विष्मोऽस्मादन्नादस्यै प्रतिष्ठायाऽअगन्म स्वः सं ज्योतिषाभूम ॥२५॥
57	2.26	2	26	57	स्वयंभूरसि श्रेष्ठो रश्मिर्वर्चोदाऽअसि वर्चो मे देहि। सूर्यस्यावृतमन्वावर्ते ॥२६॥
58	2.27	2	27	58	अग्ने गृहपते सुगृहपतिस्त्वयाऽग्नेऽहं गृहपतिना भूयासꣳ सुगृहपतिस्त्वं मयाऽग्ने गृहपतिना भूयाः। अस्थूरि णौ गार्हपत्यानि सन्तु शतꣳ हिमाः सूर्य्यस्यावृतमन्वावर्ते ॥२७॥
59	2.28	2	28	59	अग्ने व्रतपते व्रतमचारिषं तदशकं तन्मेऽराधीदमहं यऽएवाऽस्मि सोऽस्मि ॥२८॥
60	2.29	2	29	60	अग्नये कव्यवाहनाय स्वाहा सोमाय पितृमते स्वाहा। अपहताऽअसुरा रक्षासि वेदिषदः ॥२९॥
61	2.30	2	30	61	ये रूपाणि प्रतिमुञ्चमानाऽअसुराः सन्तः स्वधया चरन्ति। परापुरो निपुरो ये भरन्त्यग्निष्टाँल्लोकात् प्रणुदात्यस्मात् ॥३०॥
62	2.31	2	31	62	अत्र पितरो मादयध्वं यथाभागमावृषायध्वम्। अमीमदन्त पितरो यथाभागमावृषायिषत ॥३१॥
63	2.32	2	32	63	नमो वः पितरो रसाय नमो वः पितरः शोषाय नमो वः पितरो जीवाय नमो वः पितरः स्वधायै नमो वः पितरो घोराय नमो वः पितरो मन्यवे नमो वः पितरः पितरो नमो वो गृहान्नः पितरो दत्त सतो वः पितरो देष्मैतद्वः पितरो वासः ॥३२॥
64	2.33	2	33	64	आधत्त पितरो गर्भं कुमारं पुष्करस्रजम्। यथेह पुरुषोऽसत् ॥३३॥
65	2.34	2	34	65	ऊर्जं वहन्तीरमृतं घृतं पयः कीलालं परिस्रुतम्। स्वधा स्थ तर्पयत मे पितॄन् ॥३४॥
66	3.1	3	1	66	समिधाग्निं दुवस्यत घृतैर्बोधयतातिथिम्। आस्मिन् हव्या जुहोतन ॥१॥
67	3.2	3	2	67	सुसमिद्धाय शोचिषे घृतं तीव्रं जुहोतन। अग्नये जातवेदसे ॥२॥
68	3.3	3	3	68	तं त्वा समिद्भिरङ्गिरो घृतेन वर्द्धयामसि। बृहच्छोचा यविष्ठ्य ॥३॥
69	3.4	3	4	69	उप त्वाग्ने हविष्मतीर्घृताचीर्यन्तु हर्यत। जुषस्व समिधो मम ॥४॥
70	3.5	3	5	70	भूर्भुवः स्वर्द्यौरिव भूम्ना पृथिवीव वरिम्णा। तस्यास्ते पृथिवि देवयजनि पृष्ठेऽग्निमन्नादमन्नाद्यायादधे ॥५॥
71	3.6	3	6	71	आयं गौः पृश्निरक्रमीदसदन् मातरं पुरः। पितरं च प्रयन्त्स्वः ॥६॥
72	3.7	3	7	72	अन्तश्चरति रोचनास्य प्राणादपानती। व्यख्यन् महिषो दिवम् ॥७॥
73	3.8	3	8	73	त्रिꣳशद्धाम विराजति वाक् पतङ्गाय धीयते। प्रति वस्तोरह द्युभिः ॥८॥
74	3.9	3	9	74	अग्निर्ज्योतिर्ज्योतिरग्निः स्वाहा सूर्यो ज्योतिर्ज्योतिः सूर्यः स्वाहा। अग्निर्वर्चो ज्योतिर्वर्चः स्वाहा सूर्यो वर्चो ज्योतिर्वर्चः स्वाहा। ज्योतिः सूर्यः सूर्यो ज्योतिः स्वाहा ॥९॥
75	3.10	3	10	75	सजूर्देवेन सवित्रा सजू रात्र्येन्द्रवत्या। जुषाणोऽअग्निर्वेतु स्वाहा। सजूर्देवेन सवित्रा सजूरुषसेन्द्रवत्या। जुषाणः सूर्यो वेतु स्वाहा ॥१०॥
76	3.11	3	11	76	उपप्रयन्तोऽअध्वरं मन्त्रं वोचेमाग्नये। आरेऽअस्मे च शृण्वते ॥११॥
77	3.12	3	12	77	अग्निर्मूर्द्धा दिवः ककुत्पतिः पृथिव्याऽअयम्। अपा रेतासि जिन्वति ॥१२॥
78	3.13	3	13	78	उभा वामिन्द्राग्नीऽआहुवध्याऽउभा राधसः सह मादयध्यै। उभा दाताराविषा रयीणामुभा वाजस्य सातये हुवे वाम् ॥१३॥
79	3.14	3	14	79	अयं ते योनिर्ऋत्वियो यतो जातोऽअरोचथाः। तं जानन्नग्नऽआरोहाथा नो वर्द्धया रयिम् ॥१४॥
80	3.15	3	15	80	अयमिह प्रथमो धायि धातृभिर्होता यजिष्ठोऽअध्वरेष्वीड्यः। यमप्नवानो भृगवो विरुरुचुर्वनेषु चित्रं विभ्वं विशेविशे ॥१५॥
81	3.16	3	16	81	अस्य प्रत्नामनु द्युतꣳ शुक्रं दुदुह्रेऽअह्रयः। पयः सहस्रसामृषिम् ॥१६॥
82	3.17	3	17	82	तनूपाऽअग्नेऽसि तन्वं मे पाह्यायुर्दाऽअग्नेऽस्यायुर्मे देहि वर्चोदाऽअग्नेऽसि वर्चो मे देहि। अग्ने यन्मे तन्वाऽऊनं तन्मऽआपृण ॥१७॥
83	3.18	3	18	83	इन्धानास्त्वा शतꣳ हिमा द्युमन्तꣳ समिधीमहि। वयस्वन्तो वयस्कृतꣳ सहस्वन्तः सहस्कृतम्। अग्ने सपत्नदम्भनमदब्धासोऽअदाभ्यम्। चित्रावसो स्वस्ति ते पारमशीय ॥१८॥
84	3.19	3	19	84	सं त्वमग्ने सूर्यस्य वर्च्चसागथाः समृषीणा स्तुतेन। सं प्रियेण धाम्ना समहमायुषा सं वर्चसा सं प्रजया संꣳरायस्पोषेण ग्मिषीय ॥१९॥
85	3.20	3	20	85	अन्ध स्थान्धो वो भक्षीय मह स्थ महो वो भक्षीयोर्ज स्थोर्जं वो भक्षीय रायस्पोष स्थ रायस्पोषं वो भक्षीय ॥२०॥
86	3.21	3	21	86	रेवती रमध्वमस्मिन् योनावस्मिन् गोष्ठेऽस्मिँल्लोकेऽस्मिन् क्षये। इहैव स्त मापगात ॥२१॥
87	3.22	3	22	87	सꣳहितासि विश्वरूप्यूर्जा माविश गौपत्येन। उप त्वाग्ने दिवेदिवे दोषावस्तर्धिया वयम्। नमो भरन्तऽएमसि ॥२२॥
88	3.23	3	23	88	राजन्तमध्वराणां गोपामृतस्य दीदिविम्। वर्द्धमानꣳ स्वे दमे ॥२३॥
89	3.24	3	24	89	स नः पितेव सूनवेऽग्ने सूपायनो भव। सचस्वा नः स्वस्तये ॥२४॥
90	3.25	3	25	90	अग्ने त्वं नोऽअन्तमऽउत त्राता शिवो भवा वरूथ्यः। वसुरग्निर्वसुश्रवाऽअच्छा नक्षि द्युमत्तमꣳ रयिं दाः ॥२५॥
91	3.26	3	26	91	तं त्वा शोचिष्ठ दीदिवः सुम्नाय नूनमीमहे सखिभ्यः। स नो बोधि श्रुधी हवमुरुष्या णोऽअघायतः समस्मात् ॥२६॥
92	3.27	3	27	92	इडऽएह्यदितऽएहि काम्याऽएत। मयि वः कामधरणं भूयात् ॥२७॥
93	3.28	3	28	93	सोमानꣳ स्वरणं कृणुहि ब्रह्मणस्पते। कक्षीवन्तं यऽऔशिजः ॥२८॥
94	3.29	3	29	94	यो रेवान् योऽअमीवहा वसुवित् पुष्टिवर्द्धनः। स नः सिषक्तु यस्तुरः ॥२९॥
95	3.30	3	30	95	मा नः शꣳसोऽअररुषो धूर्तिः प्रणङ् मर्त्यस्य। रक्षा णो ब्रह्मणस्पते ॥३०॥
96	3.31	3	31	96	महि त्रीणामवोऽस्तु द्युक्षं मित्रस्यार्यम्णः। दुराधर्षं वरुणस्य ॥३१॥
97	3.32	3	32	97	नहि तेषाममा चन नाध्वसु वारणेषु। ईशे रिपुरघशꣳसः ॥३२॥
98	3.33	3	33	98	ते हि पुत्रासोऽअदितेः प्र जीवसे मर्त्याय। ज्योतिर्यच्छन्त्यजस्रम् ॥३३॥
99	3.34	3	34	99	कदा चन स्तरीरसि नेन्द्र सश्चसि दाशुषे। उपोपेन्नु मघवन् भूयऽइन्नु ते दानं देवस्य पृच्यते ॥३४॥
100	3.35	3	35	100	तत् सवितुर्वरेण्यं भर्गो देवस्य धीमहि। धियो यो नः प्रचोदयात् ॥३५॥
101	3.36	3	36	101	परि ते दूडभो रथोऽस्माँ२ऽअश्नोतु विश्वतः। येन रक्षसि दाशुषः ॥३६॥
102	3.37	3	37	102	भूर्भुवः स्वः सुप्रजाः प्रजाभिः स्या सुवीरो वीरैः सुपोषः पोषैः। नर्य प्रजां मे पाहि शꣳस्य पशून् मे पाह्यथर्य पितुं मे पाहि ॥३७॥
103	3.38	3	38	103	आगन्म विश्ववेदसमस्मभ्यं वसुवित्तमम्। अग्ने सम्राडभि द्युम्नमभि सहऽआयच्छस्व ॥३८॥
104	3.39	3	39	104	अयमग्निर्गृहपतिर्गार्हपत्यः प्रजाया वसुवित्तमः। अग्ने गृहपतेऽभि द्युम्नमभि सहऽआयच्छस्व ॥३९॥
105	3.40	3	40	105	अयमग्निः पुरीष्यो रयिमान् पुष्टिवर्धनः। अग्ने पुरीष्याभि द्युम्नमभि सहऽआयच्छस्व ॥४०॥
106	3.41	3	41	106	गृहा मा बिभीत मा वेपध्वमूर्जं बिभ्रतऽएमसि। ऊर्जं बिभ्रद्वः सुमनाः सुमेधा गृहानैमि मनसा मोदमानः ॥४१॥
107	3.42	3	42	107	येषामद्ध्येति प्रवसन् येषु सौमनसो बहुः। गृहानुपह्वयामहे ते नो जानन्तु जानतः ॥४२॥
108	3.43	3	43	108	उपहूताऽइह गावऽउपहूताऽअजावयः। अथोऽअन्नस्य कीलालऽउपहूतो गृहेषु नः। क्षेमाय वः शान्त्यै प्रपद्ये शिवꣳ शग्मꣳ शंयोः शंयोः ॥४३॥
109	3.44	3	44	109	प्रघासिनो हवामहे मरुतश्च रिशादसः। करम्भेण सजोषसः ॥४४॥
110	3.45	3	45	110	यद् ग्रामे यदरण्ये यत् सभायां यदिन्द्रिये। यदेनश्चकृमा वयमिदं तदवयजामहे स्वाहा ॥४५॥
111	3.46	3	46	111	मो षू णऽइन्द्रात्र पृत्सु देवैरस्ति हि ष्मा ते शुष्मिन्नवयाः। महश्चिद्यस्य मीढुषो यव्या हविष्मतो मरुतो वन्दते गीः ॥४६॥
