Mandala,Sukta,MantraNum,Mantra
1,5,3,स घा नो योग आ भुवत्स राये स पुरंध्याम्। गमद्वाजेभिरा स नः॥
1,5,4,यस्य संस्थे न वृण्वते हरी समत्सु शत्रवः। तस्मा इन्द्राय गायत॥
1,5,5,सुतपाव्ने सुता इमे शुचयो यन्ति वीतये। सोमासो दध्याशिरः॥
1,5,6,त्वं सुतस्य पीतये सद्यो वृद्धो अजायथाः। इन्द्र ज्यैष्ठ्याय सुक्रतो॥
1,5,7,आ त्वा विशन्त्वाशवः सोमास इन्द्र गिर्वणः। शं ते सन्तु प्रचेतसे॥
1,5,8,त्वां स्तोमा अवीवृधन्त्वामुक्था शतक्रतो। त्वां वर्धन्तु नो गिरः॥
1,5,9,अक्षितोतिः सनेदिमं वाजमिन्द्रः सहस्रिणम्। यस्मिन्विश्वानि पौंस्या॥
1,5,10,मा नो मर्ता अभि द्रुहन्तनूनामिन्द्र गिर्वणः। ईशानो यवया वधम्॥
1,6,1,युञ्जन्ति ब्रध्नमरुषं चरन्तं परि तस्थुषः। रोचन्ते रोचना दिवि॥
1,6,2,युञ्जन्त्यस्य काम्या हरी विपक्षसा रथे। शोणा धृष्णू नृवाहसा॥
1,6,3,केतुं कृण्वन्नकेतवे पेशो मर्या अपेशसे। समुषद्भिरजायथाः॥
1,6,4,आदह स्वधामनु पुनर्गर्भत्वमेरिरे। दधाना नाम यज्ञियम्॥
1,6,5,वीळु चिदारुजत्नुभिर्गुहा चिदिन्द्र वह्निभिः। अविन्द उस्रिया अनु॥
1,6,6,देवयन्तो यथा मतिमच्छा विदद्वसुं गिरः। महामनूषत श्रुतम्॥
1,6,7,इन्द्रेण सं हि दृक्षसे संजग्मानो अबिभ्युषा। मन्दू समानवर्चसा॥
1,6,8,अनवद्यैरभिद्युभिर्मखः सहस्वदर्चति। गणैरिन्द्रस्य काम्यैः॥
1,6,9,अतः परिज्मन्ना गहि दिवो वा रोचनादधि। समस्मिन्नृञ्जते गिरः॥
1,6,10,इतो वा सातिमीमहे दिवो वा पार्थिवादधि। इन्द्रं महो वा रजसः॥
1,7,1,इन्द्रमिद्गाथिनो बृहदिन्द्रमर्केभिरर्किणः। इन्द्रं वाणीरनूषत॥
1,7,2,इन्द्र इद्धर्योः सचा सम्मिश्ल आ वचोयुजा। इन्द्रो वज्री हिरण्ययः॥
1,7,3,इन्द्रो दीर्घाय चक्षस आ सूर्यं रोहयद्दिवि। वि गोभिरद्रिमैरयत्॥
1,7,4,इन्द्र वाजेषु नोऽव सहस्रप्रधनेषु च। उग्र उग्राभिरूतिभिः॥
1,7,5,इन्द्रं वयं महाधन इन्द्रमर्भे हवामहे। युजं वृत्रेषु वज्रिणम्॥
1,7,6,स नो वृषन्नमुं चरुं सत्रादावन्नपा वृधि। अस्मभ्यमप्रतिष्कुतः॥
1,7,7,तुञ्जेतुञ्जे य उत्तरे स्तोमा इन्द्रस्य वज्रिणः। न विन्धे अस्य सुष्टुतिम्॥
1,7,8,वृषा यूथेव वंसगः कृष्टीरियर्त्योजसा। ईशानो अप्रतिष्कुतः॥
1,7,9,य एकश्चर्षणीनां वसूनामिरज्यति। इन्द्रः पञ्च क्षितीनाम्॥
1,7,10,इन्द्रं वो विश्वतस्परि हवामहे जनेभ्यः। अस्माकमस्तु केवलः॥
1,8,1,एन्द्र सानसिं रयिं सजित्वानं सदासहम्। वर्षिष्ठमूतये भर॥
1,8,2,नि येन मुष्टिहत्यया नि वृत्रा रुणधामहै। त्वोतासो न्यर्वता॥
1,8,3,इन्द्र त्वोतास आ वयं वज्रं घना ददीमहि। जयेम सं युधि स्पृधः॥
1,8,4,वयं शूरेभिरस्तृभिरिन्द्र त्वया युजा वयम्। सासह्याम पृतन्यतः॥
1,8,5,महाँ इन्द्रः परश्च नु महित्वमस्तु वज्रिणे। द्यौर्न प्रथिना शवः॥
1,8,6,समोहे वा य आशत नरस्तोकस्य सनितौ। विप्रासो वा धियायवः॥
1,8,7,यः कुक्षिः सोमपातमः समुद्र इव पिन्वते। उर्वीरापो न काकुदः॥
1,8,8,एवा ह्यस्य सूनृता विरप्शी गोमती मही। पक्वा शाखा न दाशुषे॥
1,8,9,एवा हि ते विभूतय ऊतय इन्द्र मावते। सद्यश्चित्सन्ति दाशुषे॥
1,8,10,एवा ह्यस्य काम्या स्तोम उक्थं च शंस्या। इन्द्राय सोमपीतये॥
1,9,1,इन्द्रेहि मत्स्यन्धसो विश्वेभिः सोमपर्वभिः। महाँ अभिष्टिरोजसा॥
1,9,2,एमेनं सृजता सुते मन्दिमिन्द्राय मन्दिने। चक्रिं विश्वानि चक्रये॥
1,9,3,मत्स्वा सुशिप्र मन्दिभिः स्तोमेभिर्विश्वचर्षणे। सचैषु सवनेष्वा॥
1,9,4,असृग्रमिन्द्र ते गिरः प्रति त्वामुदहासत। अजोषा वृषभं पतिम्॥
1,9,5,सं चोदय चित्रमर्वाग्राध इन्द्र वरेण्यम्। असदित्ते विभु प्रभु॥
1,9,6,अस्मान्सु तत्र चोदयेन्द्र राये रभस्वतः। तुविद्युम्न यशस्वतः॥
1,9,7,सं गोमदिन्द्र वाजवदस्मे पृथु श्रवो बृहत्। विश्वायुर्धेह्यक्षितम्॥
1,9,8,अस्मे धेहि श्रवो बृहद्द्युम्नं सहस्रसातमम्। इन्द्र ता रथिनीरिषः॥
1,9,9,वसोरिन्द्रं वसुपतिं गीर्भिर्गृणन्त ऋग्मियम्। होम गन्तारमूतये॥
1,9,10,सुतेसुते न्योकसे बृहद्बृहत एदरिः। इन्द्राय शूषमर्चति॥
1,10,1,गायन्ति त्वा गायत्रिणोऽर्चन्त्यर्कमर्किणः। ब्रह्माणस्त्वा शतक्रत उद्वंशमिव येमिरे॥
1,10,2,यत्सानोः सानुमारुहद्भूर्यस्पष्ट कर्त्वम्। तदिन्द्रो अर्थं चेतति यूथेन वृष्णिरेजति॥
1,10,3,युक्ष्वा हि केशिना हरी वृषणा कक्ष्यप्रा। अथा न इन्द्र सोमपा गिरामुपश्रुतिं चर॥
1,10,4,एहि स्तोमाँ अभि स्वराभि गृणीह्या रुव। ब्रह्म च नो वसो सचेन्द्र यज्ञं च वर्धय॥
1,10,5,उक्थमिन्द्राय शंस्यं वर्धनं पुरुनिष्षिधे। शक्रो यथा सुतेषु णो रारणत्सख्येषु च॥
1,10,6,तमित्सखित्व ईमहे तं राये तं सुवीर्ये। स शक्र उत नः शकदिन्द्रो वसु दयमानः॥
1,10,7,सुविवृतं सुनिरजमिन्द्र त्वादातमिद्यशः। गवामप व्रजं वृधि कृणुष्व राधो अद्रिवः॥
1,10,8,नहि त्वा रोदसी उभे ऋघायमाणमिन्वतः। जेषः स्वर्वतीरपः सं गा अस्मभ्यं धूनुहि॥
1,10,9,आश्रुत्कर्ण श्रुधी हवं नू चिद्दधिष्व मे गिरः। इन्द्र स्तोममिमं मम कृष्वा युजश्चिदन्तरम्॥
1,10,10,विद्मा हि त्वा वृषन्तमं वाजेषु हवनश्रुतम्। वृषन्तमस्य हूमह ऊतिं सहस्रसातमाम्॥
1,10,11,आ तू न इन्द्र कौशिक मन्दसानः सुतं पिब। नव्यमायुः प्र सू तिर कृधी सहस्रसामृषिम्॥
1,10,12,परि त्वा गिर्वणो गिर इमा भवन्तु विश्वतः। वृद्धायुमनु वृद्धयो जुष्टा भवन्तु जुष्टयः॥
1,11,1,इन्द्रं विश्वा अवीवृधन्समुद्रव्यचसं गिरः। रथीतमं रथीनां वाजानां सत्पतिं पतिम्॥
1,11,2,सख्ये त इन्द्र वाजिनो मा भेम शवसस्पते। त्वामभि प्र णोनुमो जेतारमपराजितम्॥
1,11,3,पूर्वीरिन्द्रस्य रातयो न वि दस्यन्त्यूतयः। यदी वाजस्य गोमतः स्तोतृभ्यो मंहते मघम्॥
1,11,4,पुरां भिन्दुर्युवा कविरमितौजा अजायत। इन्द्रो विश्वस्य कर्मणो धर्ता वज्री पुरुष्टुतः॥
1,11,5,त्वं वलस्य गोमतोऽपावरद्रिवो बिलम्। त्वां देवा अबिभ्युषस्तुज्यमानास आविषुः॥
1,11,6,तवाहं शूर रातिभिः प्रत्यायं सिन्धुमावदन्। उपातिष्ठन्त गिर्वणो विदुष्टे तस्य कारवः॥
1,11,7,मायाभिरिन्द्र मायिनं त्वं शुष्णमवातिरः। विदुष्टे तस्य मेधिरास्तेषां श्रवांस्युत्तिर॥
1,11,8,इन्द्रमीशानमोजसाभि स्तोमा अनूषत। सहस्रं यस्य रातय उत वा सन्ति भूयसीः॥
1,12,1,अग्निं दूतं वृणीमहे होतारं विश्ववेदसम्। अस्य यज्ञस्य सुक्रतुम्॥
1,12,2,अग्निमग्निं हवीमभिः सदा हवन्त विश्पतिम्। हव्यवाहं पुरुप्रियम्॥
1,12,3,अग्ने देवाँ इहा वह जज्ञानो वृक्तबर्हिषे। असि होता न ईड्यः॥
1,12,4,ताँ उशतो वि बोधय यदग्ने यासि दूत्यम्। देवैरा सत्सि बर्हिषि॥
1,12,5,घृताहवन दीदिवः प्रति ष्म रिषतो दह। अग्ने त्वं रक्षस्विनः॥
1,12,6,अग्निनाग्निः समिध्यते कविर्गृहपतिर्युवा। हव्यवाड्जुह्वास्यः॥
1,12,7,कविमग्निमुप स्तुहि सत्यधर्माणमध्वरे। देवममीवचातनम्॥
1,12,8,यस्त्वामग्ने हविष्पतिर्दूतं देव सपर्यति। तस्य स्म प्राविता भव॥
1,12,9,यो अग्निं देववीतये हविष्माँ आविवासति। तस्मै पावक मृळय॥
1,12,10,स नः पावक दीदिवोऽग्ने देवाँ इहा वह। उप यज्ञं हविश्च नः॥
1,12,11,स नः स्तवान आ भर गायत्रेण नवीयसा। रयिं वीरवतीमिषम्॥
1,12,12,अग्ने शुक्रेण शोचिषा विश्वाभिर्देवहूतिभिः। इमं स्तोमं जुषस्व नः॥
1,13,1,सुसमिद्धो न आ वह देवाँ अग्ने हविष्मते। होतः पावक यक्षि च॥
1,13,2,मधुमन्तं तनूनपाद्यज्ञं देवेषु नः कवे। अद्या कृणुहि वीतये॥
1,13,3,नराशंसमिह प्रियमस्मिन्यज्ञ उप ह्वये। मधुजिह्वं हविष्कृतम्॥
1,13,4,अग्ने सुखतमे रथे देवाँ ईळित आ वह। असि होता मनुर्हितः॥
1,13,5,स्तृणीत बर्हिरानुषग्घृतपृष्ठं मनीषिणः। यत्रामृतस्य चक्षणम्॥
1,13,6,वि श्रयन्तामृतावृधो द्वारो देवीरसश्चतः। अद्या नूनं च यष्टवे॥
1,13,7,नक्तोषासा सुपेशसास्मिन्यज्ञ उप ह्वये। इदं नो बर्हिरासदे॥
1,13,8,ता सुजिह्वा उप ह्वये होतारा दैव्या कवी। यज्ञं नो यक्षतामिमम्॥
1,13,9,इळा सरस्वती मही तिस्रो देवीर्मयोभुवः। बर्हिः सीदन्त्वस्रिधः॥
1,13,10,इह त्वष्टारमग्रियं विश्वरूपमुप ह्वये। अस्माकमस्तु केवलः॥
1,13,11,अव सृजा वनस्पते देव देवेभ्यो हविः। प्र दातुरस्तु चेतनम्॥
1,13,12,स्वाहा यज्ञं कृणोतनेन्द्राय यज्वनो गृहे। तत्र देवाँ उप ह्वये॥
1,14,1,ऐभिरग्ने दुवो गिरो विश्वेभिः सोमपीतये। देवेभिर्याहि यक्षि च॥
1,14,2,आ त्वा कण्वा अहूषत गृणन्ति विप्र ते धियः। देवेभिरग्न आ गहि॥
1,14,3,इन्द्रवायू बृहस्पतिं मित्राग्निं पूषणं भगम्। आदित्यान्मारुतं गणम्॥
1,14,4,प्र वो भ्रियन्त इन्दवो मत्सरा मादयिष्णवः। द्रप्सा मध्वश्चमूषदः॥
1,14,5,ईळते त्वामवस्यवः कण्वासो वृक्तबर्हिषः। हविष्मन्तो अरंकृतः॥
1,14,6,घृतपृष्ठा मनोयुजो ये त्वा वहन्ति वह्नयः। आ देवान्सोमपीतये॥
1,14,7,तान्यजत्राँ ऋतावृधोऽग्ने पत्नीवतस्कृधि। मध्वः सुजिह्व पायय॥
1,14,8,ये यजत्रा य ईड्यास्ते ते पिबन्तु जिह्वया। मधोरग्ने वषट्कृति॥
1,14,9,आकीं सूर्यस्य रोचनाद्विश्वान्देवाँ उषर्बुधः। विप्रो होतेह वक्षति॥
1,14,10,विश्वेभिः सोम्यं मध्वग्न इन्द्रेण वायुना। पिबा मित्रस्य धामभिः॥
1,14,11,त्वं होता मनुर्हितोऽग्ने यज्ञेषु सीदसि। सेमं नो अध्वरं यज॥
1,14,12,युक्ष्वा ह्यरुषी रथे हरितो देव रोहितः। ताभिर्देवाँ इहा वह॥
1,15,1,इन्द्र सोमं पिब ऋतुना त्वा विशन्त्विन्दवः। मत्सरासस्तदोकसः॥
1,15,2,मरुतः पिबत ऋतुना पोत्राद्यज्ञं पुनीतन। यूयं हि ष्ठा सुदानवः॥
1,15,3,अभि यज्ञं गृणीहि नो ग्नावो नेष्टः पिब ऋतुना। त्वं हि रत्नधा असि॥
1,15,4,अग्ने देवाँ इहा वह सादया योनिषु त्रिषु। परि भूष पिब ऋतुना॥
1,15,5,ब्राह्मणादिन्द्र राधसः पिबा सोममृतूँरनु। तवेद्धि सख्यमस्तृतम्॥
1,15,6,युवं दक्षं धृतव्रत मित्रावरुण दूळभम्। ऋतुना यज्ञमाशाथे॥
1,15,7,द्रविणोदा द्रविणसो ग्रावहस्तासो अध्वरे। यज्ञेषु देवमीळते॥
1,15,8,द्रविणोदा ददातु नो वसूनि यानि शृण्विरे। देवेषु ता वनामहे॥
1,15,9,द्रविणोदाः पिपीषति जुहोत प्र च तिष्ठत। नेष्ट्रादृतुभिरिष्यत॥
1,15,10,यत्त्वा तुरीयमृतुभिर्द्रविणोदो यजामहे। अध स्मा नो ददिर्भव॥
1,15,11,अश्विना पिबतं मधु दीद्यग्नी शुचिव्रता। ऋतुना यज्ञवाहसा॥
1,15,12,गार्हपत्येन सन्त्य ऋतुना यज्ञनीरसि। देवान्देवयते यज॥
1,16,1,आ त्वा वहन्तु हरयो वृषणं सोमपीतये। इन्द्र त्वा सूरचक्षसः॥
1,16,2,इमा धाना घृतस्नुवो हरी इहोप वक्षतः। इन्द्रं सुखतमे रथे॥
1,16,3,इन्द्रं प्रातर्हवामह इन्द्रं प्रयत्यध्वरे। इन्द्रं सोमस्य पीतये॥
1,16,4,उप नः सुतमा गहि हरिभिरिन्द्र केशिभिः। सुते हि त्वा हवामहे॥
1,16,5,सेमं नः स्तोममा गह्युपेदं सवनं सुतम्। गौरो न तृषितः पिब॥
1,16,6,इमे सोमास इन्दवः सुतासो अधि बर्हिषि। ताँ इन्द्र सहसे पिब॥
1,16,7,अयं ते स्तोमो अग्रियो हृदिस्पृगस्तु शंतमः। अथा सोमं सुतं पिब॥
1,16,8,विश्वमित्सवनं सुतमिन्द्रो मदाय गच्छति। वृत्रहा सोमपीतये॥
1,16,9,सेमं नः काममा पृण गोभिरश्वैः शतक्रतो। स्तवाम त्वा स्वाध्यः॥
1,17,1,इन्द्रावरुणयोरहं सम्राजोरव आ वृणे। ता नो मृळात ईदृशे॥
1,17,2,गन्तारा हि स्थोऽवसे हवं विप्रस्य मावतः। धर्तारा चर्षणीनाम्॥
1,17,3,अनुकामं तर्पयेथामिन्द्रावरुण राय आ। ता वां नेदिष्ठमीमहे॥
1,17,4,युवाकु हि शचीनां युवाकु सुमतीनाम्। भूयाम वाजदाव्नाम्॥
1,17,5,इन्द्रः सहस्रदाव्नां वरुणः शंस्यानाम्। क्रतुर्भवत्युक्थ्यः॥
1,17,6,तयोरिदवसा वयं सनेम नि च धीमहि। स्यादुत प्ररेचनम्॥
1,17,7,इन्द्रावरुण वामहं हुवे चित्राय राधसे। अस्मान्सु जिग्युषस्कृतम्॥
1,17,8,इन्द्रावरुण नू नु वां सिषासन्तीषु धीष्वा। अस्मभ्यं शर्म यच्छतम्॥
1,17,9,प्र वामश्नोतु सुष्टुतिरिन्द्रावरुण यां हुवे। यामृधाथे सधस्तुतिम्॥
1,18,1,सोमानं स्वरणं कृणुहि ब्रह्मणस्पते। कक्षीवन्तं य औशिजः॥
1,18,2,यो रेवान्यो अमीवहा वसुवित्पुष्टिवर्धनः। स नः सिषक्तु यस्तुरः॥
1,18,3,मा नः शंसो अररुषो धूर्तिः प्रणङ्मर्त्यस्य। रक्षा णो ब्रह्मणस्पते॥
1,18,4,स घा वीरो न रिष्यति यमिन्द्रो ब्रह्मणस्पतिः। सोमो हिनोति मर्त्यम्॥
1,18,5,त्वं तं ब्रह्मणस्पते सोम इन्द्रश्च मर्त्यम्। दक्षिणा पात्वंहसः॥
1,18,6,सदसस्पतिमद्भुतं प्रियमिन्द्रस्य काम्यम्। सनिं मेधामयासिषम्॥
1,18,7,यस्मादृते न सिध्यति यज्ञो विपश्चितश्चन। स धीनां योगमिन्वति॥
1,18,8,आदृध्नोति हविष्कृतिं प्राञ्चं कृणोत्यध्वरम्। होत्रा देवेषु गच्छति॥
1,18,9,नराशंसं सुधृष्टममपश्यं सप्रथस्तमम्। दिवो न सद्ममखसम्॥
1,19,1,प्रति त्यं चारुमध्वरं गोपीथाय प्र हूयसे। मरुद्भिरग्न आ गहि॥
1,19,2,नहि देवो न मर्त्यो महस्तव क्रतुं परः। मरुद्भिरग्न आ गहि॥
1,19,3,ये महो रजसो विदुर्विश्वे देवासो अद्रुहः। मरुद्भिरग्न आ गहि॥
1,19,4,य उग्रा अर्कमानृचुरनाधृष्टास ओजसा। मरुद्भिरग्न आ गहि॥
1,19,5,ये शुभ्रा घोरवर्पसः सुक्षत्रासो रिशादसः। मरुद्भिरग्न आ गहि॥
1,19,6,ये नाकस्याधि रोचने दिवि देवास आसते। मरुद्भिरग्न आ गहि॥
1,19,7,य ईङ्खयन्ति पर्वतान्तिरः समुद्रमर्णवम्। मरुद्भिरग्न आ गहि॥
1,19,8,आ ये तन्वन्ति रश्मिभिस्तिरः समुद्रमोजसा। मरुद्भिरग्न आ गहि॥
1,19,9,अभि त्वा पूर्वपीतये सृजामि सोम्यं मधु। मरुद्भिरग्न आ गहि॥
1,20,1,अयं देवाय जन्मने स्तोमो विप्रेभिरासया। अकारि रत्नधातमः॥
1,20,2,य इन्द्राय वचोयुजा ततक्षुर्मनसा हरी। शमीभिर्यज्ञमाशत॥
1,20,3,तक्षन्नासत्याभ्यां परिज्मानं सुखं रथम्। तक्षन्धेनुं सबर्दुघाम्॥
1,20,4,युवाना पितरा पुनः सत्यमन्त्रा ऋजूयवः। ऋभवो विष्ट्यक्रत॥
1,20,5,सं वो मदासो अग्मतेन्द्रेण च मरुत्वता। आदित्येभिश्च राजभिः॥
1,20,6,उत त्यं चमसं नवं त्वष्टुर्देवस्य निष्कृतम्। अकर्त चतुरः पुनः॥
1,20,7,ते नो रत्नानि धत्तन त्रिरा साप्तानि सुन्वते। एकमेकं सुशस्तिभिः॥
1,20,8,अधारयन्त वह्नयोऽभजन्त सुकृत्यया। भागं देवेषु यज्ञियम्॥
1,21,1,इहेन्द्राग्नी उप ह्वये तयोरित्स्तोममुश्मसि। ता सोमं सोमपातमा॥
1,21,2,ता यज्ञेषु प्र शंसतेन्द्राग्नी शुम्भता नरः। ता गायत्रेषु गायत॥
1,21,3,ता मित्रस्य प्रशस्तय इन्द्राग्नी ता हवामहे। सोमपा सोमपीतये॥
1,21,4,उग्रा सन्ता हवामह उपेदं सवनं सुतम्। इन्द्राग्नी एह गच्छताम्॥
1,21,5,ता महान्ता सदस्पती इन्द्राग्नी रक्ष उब्जतम्। अप्रजाः सन्त्वत्रिणः॥
1,21,6,तेन सत्येन जागृतमधि प्रचेतुने पदे। इन्द्राग्नी शर्म यच्छतम्॥
1,22,1,प्रातर्युजा वि बोधयाश्विनावेह गच्छताम्। अस्य सोमस्य पीतये॥
1,22,2,या सुरथा रथीतमोभा देवा दिविस्पृशा। अश्विना ता हवामहे॥
1,22,3,या वां कशा मधुमत्यश्विना सूनृतावती। तया यज्ञं मिमिक्षतम्॥
1,22,4,नहि वामस्ति दूरके यत्रा रथेन गच्छथः। अश्विना सोमिनो गृहम्॥
1,22,5,हिरण्यपाणिमूतये सवितारमुप ह्वये। स चेत्ता देवता पदम्॥
1,22,6,अपां नपातमवसे सवितारमुप स्तुहि। तस्य व्रतान्युश्मसि॥
1,22,7,विभक्तारं हवामहे वसोश्चित्रस्य राधसः। सवितारं नृचक्षसम्॥
1,22,8,सखाय आ नि षीदत सविता स्तोम्यो नु नः। दाता राधांसि शुम्भति॥
1,22,9,अग्ने पत्नीरिहा वह देवानामुशतीरुप। त्वष्टारं सोमपीतये॥
1,22,10,आ ग्ना अग्न इहावसे होत्रां यविष्ठ भारतीम्। वरूत्रीं धिषणां वह॥
1,22,11,अभि नो देवीरवसा महः शर्मणा नृपत्नीः। अच्छिन्नपत्राः सचन्ताम्॥
1,22,12,इहेन्द्राणीमुप ह्वये वरुणानीं स्वस्तये। अग्नायीं सोमपीतये॥
1,22,13,मही द्यौः पृथिवी च न इमं यज्ञं मिमिक्षताम्। पिपृतां नो भरीमभिः॥
1,22,14,तयोरिद्घृतवत्पयो विप्रा रिहन्ति धीतिभिः। गन्धर्वस्य ध्रुवे पदे॥
1,22,15,स्योना पृथिवि भवानृक्षरा निवेशनी। यच्छा नः शर्म सप्रथः॥
1,22,16,अतो देवा अवन्तु नो यतो विष्णुर्विचक्रमे। पृथिव्याः सप्त धामभिः॥
1,22,17,इदं विष्णुर्वि चक्रमे त्रेधा नि दधे पदम्। समूळ्हमस्य पांसुरे॥
1,22,18,त्रीणि पदा वि चक्रमे विष्णुर्गोपा अदाभ्यः। अतो धर्माणि धारयन्॥
1,22,19,विष्णोः कर्माणि पश्यत यतो व्रतानि पस्पशे। इन्द्रस्य युज्यः सखा॥
1,22,20,तद्विष्णोः परमं पदं सदा पश्यन्ति सूरयः। दिवीव चक्षुराततम्॥
1,22,21,तद्विप्रासो विपन्यवो जागृवांसः समिन्धते। विष्णोर्यत्परमं पदम्॥
1,23,1,तीव्राः सोमास आ गह्याशीर्वन्तः सुता इमे। वायो तान्प्रस्थितान्पिब॥
1,23,2,उभा देवा दिविस्पृशेन्द्रवायू हवामहे। अस्य सोमस्य पीतये॥
1,23,3,इन्द्रवायू मनोजुवा विप्रा हवन्त ऊतये। सहस्राक्षा धियस्पती॥
1,23,4,मित्रं वयं हवामहे वरुणं सोमपीतये। जज्ञाना पूतदक्षसा॥
1,23,5,ऋतेन यावृतावृधावृतस्य ज्योतिषस्पती। ता मित्रावरुणा हुवे॥
1,23,6,वरुणः प्राविता भुवन्मित्रो विश्वाभिरूतिभिः। करतां नः सुराधसः॥
1,23,7,मरुत्वन्तं हवामह इन्द्रमा सोमपीतये। सजूर्गणेन तृम्पतु॥
1,23,8,इन्द्रज्येष्ठा मरुद्गणा देवासः पूषरातयः। विश्वे मम श्रुता हवम्॥
1,23,9,हत वृत्रं सुदानव इन्द्रेण सहसा युजा। मा नो दुःशंस ईशत॥
1,23,10,विश्वान्देवान्हवामहे मरुतः सोमपीतये। उग्रा हि पृश्निमातरः॥
1,23,11,जयतामिव तन्यतुर्मरुतामेति धृष्णुया। यच्छुभं याथना नरः॥
